entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:35:00,2023-01-03 17:00:00,S,1.44341,1.43907,1.44558,1.43907,2.0,tp,6.28,0.41,5.87,5.87
2023-01-03 20:50:00,2023-01-03 21:20:00,S,1.44236,1.44346,1.44346,1.44015,-1.0,sl,-1.6,0.41,-2.01,3.86
2023-01-03 22:10:00,2023-01-04 06:10:00,S,1.44307,1.441,1.44519,1.43882,0.975,time,3.0,0.41,2.59,6.45
2023-01-06 18:00:00,2023-01-09 02:05:00,S,1.42913,1.43307,1.4333,1.42079,-0.945,time,-5.7,0.41,-6.11,0.34
2023-01-12 15:45:00,2023-01-12 23:45:00,L,1.44395,1.4503,1.44004,1.45177,1.623,time,9.19,0.41,8.78,9.12
2023-01-16 15:35:00,2023-01-16 22:50:00,L,1.44869,1.45126,1.4474,1.45126,2.0,tp,3.72,0.41,3.31,12.43
2023-01-18 14:10:00,2023-01-18 15:30:00,L,1.44763,1.4517,1.4456,1.4517,2.0,tp,5.88,0.41,5.47,17.9
2023-01-19 17:00:00,2023-01-19 17:30:00,L,1.4567,1.4547,1.4547,1.4607,-1.0,sl,-2.9,0.41,-3.31,14.59
2023-01-19 18:15:00,2023-01-19 18:35:00,L,1.45489,1.45682,1.45393,1.45682,2.0,tp,2.79,0.41,2.38,16.97
2023-01-20 16:35:00,2023-01-20 17:20:00,L,1.45802,1.45519,1.45519,1.46369,-1.0,sl,-4.1,0.41,-4.51,12.46
2023-01-24 15:20:00,2023-01-24 23:20:00,L,1.45297,1.45512,1.44994,1.45903,0.71,time,3.11,0.41,2.7,15.16
2023-01-27 21:55:00,2023-01-30 04:40:00,S,1.44615,1.44753,1.44753,1.44338,-1.0,sl,-2.0,0.41,-2.41,12.75
2023-02-03 15:25:00,2023-02-03 15:30:00,S,1.45998,1.45642,1.46176,1.45642,2.0,tp,5.15,0.41,4.74,17.49
2023-02-03 15:35:00,2023-02-03 23:35:00,S,1.45434,1.44701,1.46183,1.43935,0.978,time,10.61,0.41,10.2,27.69
2023-02-07 16:35:00,2023-02-07 16:50:00,S,1.4386,1.43674,1.43953,1.43674,2.0,tp,2.68,0.41,2.27,29.96
2023-02-07 17:05:00,2023-02-07 19:50:00,S,1.43652,1.43954,1.43954,1.43049,-1.0,sl,-4.36,0.41,-4.77,25.19
2023-02-07 20:10:00,2023-02-07 23:55:00,S,1.43965,1.43654,1.4412,1.43654,2.0,tp,4.5,0.41,4.09,29.28
2023-02-08 16:30:00,2023-02-08 17:40:00,S,1.43953,1.44049,1.44049,1.43762,-1.0,sl,-1.38,0.41,-1.79,27.49
2023-02-13 15:10:00,2023-02-13 16:20:00,S,1.42633,1.42745,1.42745,1.4241,-1.0,sl,-1.61,0.41,-2.02,25.47
2023-02-13 17:10:00,2023-02-13 17:50:00,S,1.42829,1.42982,1.42982,1.42522,-1.0,sl,-2.22,0.41,-2.63,22.84
2023-02-13 18:35:00,2023-02-14 02:00:00,S,1.43024,1.43133,1.43133,1.42806,-1.0,sl,-1.58,0.41,-1.99,20.85
2023-02-22 17:10:00,2023-02-22 17:25:00,S,1.44215,1.44305,1.44305,1.44035,-1.0,sl,-1.3,0.41,-1.71,19.14
2023-02-22 17:45:00,2023-02-22 20:25:00,S,1.44136,1.4377,1.44319,1.4377,2.0,tp,5.29,0.41,4.88,24.02
2023-02-23 15:45:00,2023-02-23 23:45:00,S,1.43562,1.43542,1.43733,1.43219,0.117,time,0.29,0.41,-0.12,23.9
2023-02-27 14:35:00,2023-02-27 15:05:00,S,1.43614,1.43412,1.43715,1.43412,2.0,tp,2.92,0.41,2.51,26.41
2023-02-28 14:25:00,2023-02-28 15:35:00,L,1.44022,1.44316,1.43875,1.44316,2.0,tp,4.26,0.41,3.85,30.26
2023-02-28 21:40:00,2023-03-01 00:00:00,L,1.44245,1.44146,1.44146,1.44443,-1.0,sl,-1.43,0.41,-1.84,28.42
2023-03-09 18:20:00,2023-03-09 19:45:00,L,1.45573,1.4591,1.45405,1.4591,2.0,tp,4.88,0.41,4.47,32.89
2023-03-10 14:50:00,2023-03-10 15:30:00,L,1.46405,1.46634,1.46291,1.46634,2.0,tp,3.31,0.41,2.9,35.79
2023-03-13 16:55:00,2023-03-13 17:10:00,L,1.46932,1.46789,1.46789,1.47218,-1.0,sl,-2.07,0.41,-2.48,33.31
2023-03-13 17:30:00,2023-03-13 17:45:00,L,1.46825,1.46682,1.46682,1.47111,-1.0,sl,-2.07,0.41,-2.48,30.83
2023-03-17 15:15:00,2023-03-17 17:25:00,L,1.4583,1.46391,1.45549,1.46391,2.0,tp,8.12,0.41,7.71,38.54
2023-03-20 16:10:00,2023-03-20 23:00:00,L,1.46511,1.46368,1.46368,1.46796,-1.0,sl,-2.06,0.41,-2.47,36.07
2023-03-23 14:05:00,2023-03-23 14:05:00,L,1.48626,1.48574,1.48574,1.4873,-1.0,sl,-0.76,0.41,-1.17,34.9
2023-03-23 14:25:00,2023-03-23 14:45:00,L,1.48591,1.48709,1.48532,1.48709,2.0,tp,1.71,0.41,1.3,36.2
2023-03-23 14:50:00,2023-03-23 15:50:00,L,1.48668,1.48531,1.48531,1.48942,-1.0,sl,-1.98,0.41,-2.39,33.81
2023-03-23 16:45:00,2023-03-23 18:30:00,L,1.48539,1.48819,1.48399,1.48819,2.0,tp,4.05,0.41,3.64,37.45
2023-03-30 19:15:00,2023-03-30 20:10:00,L,1.47514,1.47408,1.47408,1.47725,-1.0,sl,-1.53,0.41,-1.94,35.51
2023-03-30 20:40:00,2023-03-30 22:00:00,L,1.47493,1.47394,1.47394,1.47692,-1.0,sl,-1.44,0.41,-1.85,33.66
2023-03-30 22:25:00,2023-03-31 04:20:00,L,1.47461,1.47608,1.47388,1.47608,2.0,tp,2.12,0.41,1.71,35.37
2023-03-31 15:05:00,2023-03-31 15:30:00,L,1.47299,1.475,1.47198,1.475,2.0,tp,2.91,0.41,2.5,37.87
2023-03-31 15:35:00,2023-03-31 16:30:00,L,1.47473,1.47198,1.47198,1.48024,-1.0,sl,-3.99,0.41,-4.4,33.47
2023-04-05 15:20:00,2023-04-05 16:20:00,L,1.47253,1.47119,1.47119,1.47522,-1.0,sl,-1.95,0.41,-2.36,31.11
2023-04-13 14:25:00,2023-04-13 15:30:00,L,1.47552,1.47816,1.4742,1.47816,2.0,tp,3.83,0.41,3.42,34.53
2023-04-18 16:35:00,2023-04-18 19:50:00,L,1.46617,1.46824,1.46513,1.46824,2.0,tp,3.0,0.41,2.59,37.12
2023-04-20 15:35:00,2023-04-20 23:35:00,L,1.47767,1.47796,1.47423,1.48454,0.084,time,0.42,0.41,0.01,37.13
2023-04-21 17:30:00,2023-04-24 01:35:00,L,1.48533,1.48814,1.483,1.49,1.204,time,4.07,0.41,3.66,40.79
2023-04-25 16:00:00,2023-04-25 16:20:00,L,1.4968,1.49771,1.49634,1.49771,2.0,tp,1.32,0.41,0.91,41.7
2023-04-25 16:25:00,2023-04-25 17:10:00,L,1.49742,1.49634,1.49634,1.49958,-1.0,sl,-1.56,0.41,-1.97,39.73
2023-04-25 17:30:00,2023-04-25 17:45:00,L,1.49648,1.49544,1.49544,1.49857,-1.0,sl,-1.51,0.41,-1.92,37.81
2023-04-25 17:50:00,2023-04-25 17:50:00,L,1.49594,1.495,1.495,1.49783,-1.0,sl,-1.37,0.41,-1.78,36.03
2023-04-25 18:05:00,2023-04-26 00:05:00,L,1.49503,1.49389,1.49389,1.49731,-1.0,sl,-1.65,0.41,-2.06,33.97
2023-04-26 18:20:00,2023-04-26 18:55:00,L,1.5041,1.50302,1.50302,1.50626,-1.0,sl,-1.56,0.41,-1.97,32.0
2023-04-26 19:50:00,2023-04-26 21:40:00,L,1.50314,1.50575,1.50183,1.50575,2.0,tp,3.78,0.41,3.37,35.37
2023-04-27 15:00:00,2023-04-27 15:20:00,L,1.5027,1.50409,1.50201,1.50409,2.0,tp,2.01,0.41,1.6,36.97
2023-05-03 20:15:00,2023-05-03 21:00:00,L,1.50239,1.50407,1.50155,1.50407,2.0,tp,2.44,0.41,2.03,39.0
2023-05-03 21:05:00,2023-05-04 05:05:00,L,1.50494,1.5076,1.50145,1.51191,0.763,time,3.85,0.41,3.44,42.44
2023-05-08 20:00:00,2023-05-08 20:50:00,S,1.47303,1.47201,1.47354,1.47201,2.0,tp,1.47,0.41,1.06,43.5
2023-05-09 14:15:00,2023-05-09 15:55:00,S,1.46886,1.46661,1.46999,1.46661,2.0,tp,3.26,0.41,2.85,46.35
2023-05-09 17:40:00,2023-05-09 17:55:00,S,1.46885,1.46741,1.46957,1.46741,2.0,tp,2.08,0.41,1.67,48.02
2023-05-09 18:00:00,2023-05-10 02:00:00,S,1.46753,1.46727,1.46957,1.46345,0.127,time,0.38,0.41,-0.03,47.99
2023-05-10 17:15:00,2023-05-10 17:15:00,S,1.46757,1.46919,1.46919,1.46432,-1.0,sl,-2.35,0.41,-2.76,45.23
2023-05-10 17:40:00,2023-05-10 20:25:00,S,1.46805,1.46984,1.46984,1.46446,-1.0,sl,-2.6,0.41,-3.01,42.22
2023-05-10 21:00:00,2023-05-11 00:00:00,S,1.46927,1.46675,1.47053,1.46675,2.0,tp,3.64,0.41,3.23,45.45
2023-05-15 17:05:00,2023-05-15 17:50:00,S,1.46925,1.46663,1.47056,1.46663,2.0,tp,3.79,0.41,3.38,48.83
2023-05-16 20:15:00,2023-05-16 20:30:00,S,1.4628,1.46392,1.46392,1.46056,-1.0,sl,-1.62,0.41,-2.03,46.8
2023-05-16 20:45:00,2023-05-16 21:30:00,S,1.46375,1.46415,1.46415,1.46295,-1.0,sl,-0.58,0.41,-0.99,45.81
2023-05-16 21:40:00,2023-05-17 00:00:00,S,1.46393,1.46292,1.46444,1.46292,2.0,tp,1.46,0.41,1.05,46.86
2023-05-19 15:30:00,2023-05-19 15:40:00,S,1.45796,1.45687,1.4585,1.45687,2.0,tp,1.57,0.41,1.16,48.02
2023-05-19 15:50:00,2023-05-19 17:40:00,S,1.45664,1.45851,1.45851,1.4529,-1.0,sl,-2.7,0.41,-3.11,44.91
2023-05-23 22:00:00,2023-05-24 06:00:00,S,1.4549,1.45537,1.45649,1.45172,-0.295,time,-0.68,0.41,-1.09,43.82
2023-05-25 14:45:00,2023-05-25 15:10:00,S,1.45891,1.45987,1.45987,1.45699,-1.0,sl,-1.39,0.41,-1.8,42.02
2023-05-25 15:15:00,2023-05-25 15:15:00,S,1.45956,1.45868,1.46,1.45868,2.0,tp,1.27,0.41,0.86,42.88
2023-05-25 15:20:00,2023-05-25 16:30:00,S,1.45869,1.46,1.46,1.45607,-1.0,sl,-1.9,0.41,-2.31,40.57
2023-05-29 22:10:00,2023-05-29 23:00:00,S,1.45577,1.45516,1.45608,1.45516,2.0,tp,0.88,0.41,0.47,41.04
2023-05-30 15:25:00,2023-05-30 16:20:00,S,1.45794,1.45918,1.45918,1.45546,-1.0,sl,-1.8,0.41,-2.21,38.83
2023-05-31 15:35:00,2023-05-31 17:00:00,S,1.45684,1.45296,1.45878,1.45296,2.0,tp,5.62,0.41,5.21,44.04
2023-06-01 14:15:00,2023-06-01 18:05:00,S,1.45217,1.4486,1.45395,1.4486,2.0,tp,5.16,0.41,4.75,48.79
2023-06-05 14:10:00,2023-06-05 15:10:00,S,1.43778,1.43634,1.4385,1.43634,2.0,tp,2.09,0.41,1.68,50.47
2023-06-05 18:15:00,2023-06-06 02:15:00,S,1.43883,1.43966,1.44258,1.43132,-0.221,time,-1.2,0.41,-1.61,48.86
2023-06-07 14:10:00,2023-06-07 14:15:00,S,1.43368,1.43474,1.43474,1.43155,-1.0,sl,-1.54,0.41,-1.95,46.91
2023-06-07 14:35:00,2023-06-07 14:55:00,S,1.43456,1.4351,1.4351,1.43348,-1.0,sl,-0.78,0.41,-1.19,45.72
2023-06-07 17:05:00,2023-06-08 01:05:00,S,1.43145,1.43038,1.43832,1.41771,0.156,time,1.55,0.41,1.14,46.86
2023-06-09 16:20:00,2023-06-12 00:25:00,S,1.43608,1.43326,1.43983,1.42857,0.751,time,4.08,0.41,3.67,50.53
2023-06-14 15:00:00,2023-06-14 15:10:00,S,1.43682,1.43811,1.43811,1.43424,-1.0,sl,-1.87,0.41,-2.28,48.25
2023-06-19 18:05:00,2023-06-19 18:05:00,S,1.44189,1.44263,1.44263,1.44041,-1.0,sl,-1.07,0.41,-1.48,46.77
