entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 15:10:00,2026-02-17 16:35:00,L,1.61485,1.61647,1.61404,1.61647,2.0,tp,2.35,0.41,1.94,1.94
2026-02-17 16:40:00,2026-02-17 18:15:00,L,1.6162,1.61494,1.61494,1.61872,-1.0,sl,-1.82,0.41,-2.23,-0.29
2026-02-17 19:05:00,2026-02-18 03:05:00,L,1.61579,1.61603,1.61459,1.61818,0.201,time,0.35,0.41,-0.06,-0.35
2026-02-18 16:05:00,2026-02-18 16:50:00,S,1.61602,1.61491,1.61657,1.61491,2.0,tp,1.6,0.41,1.19,0.84
2026-02-18 16:55:00,2026-02-19 00:55:00,S,1.6149,1.61348,1.61636,1.61197,0.971,time,2.05,0.41,1.64,2.48
2026-02-19 15:05:00,2026-02-19 23:05:00,S,1.61131,1.6112,1.61252,1.60888,0.091,time,0.16,0.41,-0.25,2.23
2026-02-25 15:05:00,2026-02-25 16:35:00,S,1.61349,1.61404,1.61404,1.6124,-1.0,sl,-0.79,0.41,-1.2,1.03
2026-02-26 17:30:00,2026-02-27 01:30:00,S,1.6151,1.61409,1.61718,1.61093,0.484,time,1.46,0.41,1.05,2.08
2026-02-27 15:25:00,2026-02-27 17:10:00,S,1.61285,1.61046,1.61405,1.61046,2.0,tp,3.46,0.41,3.05,5.13
2026-02-27 17:25:00,2026-03-02 01:30:00,S,1.61034,1.60774,1.61321,1.60461,0.907,time,3.76,0.41,3.35,8.48
2026-03-02 15:25:00,2026-03-02 16:30:00,S,1.60026,1.60145,1.60145,1.59787,-1.0,sl,-1.73,0.41,-2.14,6.34
2026-03-02 17:25:00,2026-03-02 19:00:00,S,1.60099,1.6026,1.6026,1.59778,-1.0,sl,-2.32,0.41,-2.73,3.61
2026-03-03 15:30:00,2026-03-03 16:25:00,S,1.58853,1.58593,1.58983,1.58593,2.0,tp,3.76,0.41,3.35,6.96
2026-03-03 16:35:00,2026-03-03 18:35:00,S,1.58803,1.58443,1.58983,1.58443,2.0,tp,5.2,0.41,4.79,11.75
2026-03-03 18:50:00,2026-03-03 20:35:00,S,1.58468,1.58657,1.58657,1.5809,-1.0,sl,-2.73,0.41,-3.14,8.61
2026-03-05 15:25:00,2026-03-05 17:55:00,S,1.58148,1.58432,1.58432,1.57579,-1.0,sl,-4.11,0.41,-4.52,4.09
2026-03-06 15:10:00,2026-03-06 15:30:00,S,1.57811,1.57952,1.57952,1.57529,-1.0,sl,-2.04,0.41,-2.45,1.64
2026-03-06 16:15:00,2026-03-08 23:00:00,S,1.57855,1.57214,1.58176,1.57214,2.0,tp,9.28,0.41,8.87,10.51
2026-03-11 15:50:00,2026-03-11 16:00:00,S,1.57392,1.57509,1.57509,1.57158,-1.0,sl,-1.69,0.41,-2.1,8.41
2026-03-11 16:25:00,2026-03-12 00:25:00,S,1.57341,1.57131,1.57695,1.56633,0.593,time,3.04,0.41,2.63,11.04
2026-03-12 15:20:00,2026-03-12 19:20:00,S,1.56808,1.57047,1.57047,1.5633,-1.0,sl,-3.46,0.41,-3.87,7.17
