entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2025-01-21 15:05:00,2025-01-21 15:25:00,L,1.4958,1.49469,1.49469,1.49801,-1.0,sl,-1.6,0.41,-2.01,-2.01
2025-01-21 15:35:00,2025-01-21 19:00:00,L,1.49687,1.49321,1.49321,1.50418,-1.0,sl,-5.29,0.41,-5.7,-7.71
2025-01-22 15:10:00,2025-01-22 15:45:00,L,1.49696,1.4983,1.49629,1.4983,2.0,tp,1.94,0.41,1.53,-6.18
2025-01-22 15:50:00,2025-01-22 16:15:00,L,1.4975,1.49636,1.49636,1.49979,-1.0,sl,-1.66,0.41,-2.07,-8.25
2025-01-22 16:30:00,2025-01-22 18:55:00,L,1.4974,1.49606,1.49606,1.50008,-1.0,sl,-1.94,0.41,-2.35,-10.6
2025-01-23 15:05:00,2025-01-23 16:35:00,L,1.49817,1.49696,1.49696,1.50058,-1.0,sl,-1.75,0.41,-2.16,-12.76
2025-01-24 15:05:00,2025-01-24 15:05:00,L,1.50252,1.50183,1.50183,1.50391,-1.0,sl,-1.0,0.41,-1.41,-14.17
2025-01-24 16:10:00,2025-01-24 17:00:00,L,1.50094,1.50469,1.49907,1.50469,2.0,tp,5.42,0.41,5.01,-9.16
2025-01-24 17:55:00,2025-01-27 02:00:00,L,1.50652,1.5053,1.50345,1.51266,-0.397,time,-1.77,0.41,-2.18,-11.34
2025-01-27 15:05:00,2025-01-27 16:20:00,L,1.50947,1.51234,1.50804,1.51234,2.0,tp,4.15,0.41,3.74,-7.6
2025-01-27 16:30:00,2025-01-27 19:10:00,L,1.51207,1.50913,1.50913,1.51796,-1.0,sl,-4.26,0.41,-4.67,-12.27
2025-01-29 17:05:00,2025-01-30 01:05:00,L,1.50184,1.50219,1.49946,1.50661,0.147,time,0.51,0.41,0.1,-12.17
2025-01-30 15:05:00,2025-01-30 15:45:00,L,1.49937,1.50229,1.49791,1.50229,2.0,tp,4.23,0.41,3.82,-8.35
2025-01-30 16:45:00,2025-01-30 17:00:00,L,1.50217,1.50382,1.50135,1.50382,2.0,tp,2.39,0.41,1.98,-6.37
2025-01-30 17:15:00,2025-01-30 18:40:00,L,1.50318,1.50157,1.50157,1.50641,-1.0,sl,-2.34,0.41,-2.75,-9.12
2025-01-31 15:05:00,2025-01-31 15:30:00,L,1.50351,1.50213,1.50213,1.50627,-1.0,sl,-2.0,0.41,-2.41,-11.53
2025-01-31 15:35:00,2025-01-31 16:10:00,L,1.503,1.50518,1.50191,1.50518,2.0,tp,3.15,0.41,2.74,-8.79
2025-01-31 16:45:00,2025-01-31 17:35:00,L,1.50606,1.50203,1.50203,1.51412,-1.0,sl,-5.83,0.41,-6.24,-15.03
2025-01-31 17:50:00,2025-01-31 19:05:00,L,1.50376,1.50157,1.50157,1.50815,-1.0,sl,-3.17,0.41,-3.58,-18.61
2025-02-04 15:25:00,2025-02-04 18:15:00,S,1.48866,1.48533,1.49033,1.48533,2.0,tp,4.82,0.41,4.41,-14.2
2025-02-04 18:40:00,2025-02-04 20:10:00,S,1.48608,1.48894,1.48894,1.48036,-1.0,sl,-4.14,0.41,-4.55,-18.75
2025-02-05 15:40:00,2025-02-05 16:50:00,S,1.48739,1.48867,1.48867,1.48483,-1.0,sl,-1.85,0.41,-2.26,-21.01
2025-02-05 18:05:00,2025-02-05 20:50:00,S,1.48834,1.49048,1.49048,1.48406,-1.0,sl,-3.09,0.41,-3.5,-24.51
2025-02-06 15:05:00,2025-02-06 18:05:00,S,1.48643,1.48423,1.48753,1.48423,2.0,tp,3.18,0.41,2.77,-21.74
2025-02-06 18:45:00,2025-02-06 20:35:00,S,1.48394,1.48625,1.48625,1.47932,-1.0,sl,-3.34,0.41,-3.75,-25.49
2025-02-07 15:15:00,2025-02-07 15:25:00,S,1.4873,1.48541,1.48825,1.48541,2.0,tp,2.74,0.41,2.33,-23.16
2025-02-07 15:35:00,2025-02-07 23:35:00,S,1.48221,1.47547,1.48832,1.47,1.104,time,9.75,0.41,9.34,-13.82
2025-02-10 15:25:00,2025-02-10 15:30:00,S,1.47946,1.48045,1.48045,1.47748,-1.0,sl,-1.43,0.41,-1.84,-15.66
2025-02-10 16:00:00,2025-02-10 16:25:00,S,1.47966,1.47714,1.48092,1.47714,2.0,tp,3.64,0.41,3.23,-12.43
2025-02-10 16:50:00,2025-02-11 00:50:00,S,1.4781,1.47623,1.4806,1.4731,0.749,time,2.71,0.41,2.3,-10.13
2025-02-11 15:05:00,2025-02-11 15:25:00,S,1.47904,1.47761,1.47975,1.47761,2.0,tp,2.06,0.41,1.65,-8.48
2025-02-11 15:40:00,2025-02-11 17:00:00,S,1.47771,1.47971,1.47971,1.47372,-1.0,sl,-2.89,0.41,-3.3,-11.78
2025-02-13 16:05:00,2025-02-13 21:25:00,S,1.48315,1.48555,1.48555,1.47834,-1.0,sl,-3.48,0.41,-3.89,-15.67
2025-02-18 15:05:00,2025-02-18 19:20:00,S,1.48457,1.48245,1.48563,1.48245,2.0,tp,3.07,0.41,2.66,-13.01
2025-02-19 15:10:00,2025-02-19 15:20:00,S,1.48198,1.48074,1.4826,1.48074,2.0,tp,1.79,0.41,1.38,-11.63
2025-02-19 15:35:00,2025-02-19 17:35:00,S,1.48071,1.4826,1.4826,1.47692,-1.0,sl,-2.74,0.41,-3.15,-14.78
2025-02-19 17:50:00,2025-02-19 18:15:00,S,1.48243,1.48114,1.48308,1.48114,2.0,tp,1.87,0.41,1.46,-13.32
2025-02-19 18:20:00,2025-02-19 20:25:00,S,1.48077,1.48308,1.48308,1.47615,-1.0,sl,-3.34,0.41,-3.75,-17.07
2025-02-20 16:10:00,2025-02-20 16:40:00,S,1.484,1.48325,1.48438,1.48325,2.0,tp,1.09,0.41,0.68,-16.39
2025-02-20 16:55:00,2025-02-20 17:25:00,S,1.4834,1.4843,1.4843,1.48159,-1.0,sl,-1.31,0.41,-1.72,-18.11
2025-02-21 15:05:00,2025-02-21 16:05:00,S,1.48524,1.48609,1.48609,1.48354,-1.0,sl,-1.23,0.41,-1.64,-19.75
2025-02-21 17:05:00,2025-02-21 19:55:00,S,1.48594,1.48734,1.48734,1.48314,-1.0,sl,-2.02,0.41,-2.43,-22.18
2025-02-24 16:30:00,2025-02-24 16:55:00,L,1.48781,1.48973,1.48685,1.48973,2.0,tp,2.78,0.41,2.37,-19.81
2025-02-24 17:05:00,2025-02-25 01:05:00,L,1.48993,1.49282,1.48684,1.49611,0.935,time,4.18,0.41,3.77,-16.04
2025-02-25 15:15:00,2025-02-25 17:20:00,L,1.4973,1.50111,1.4954,1.50111,2.0,tp,5.51,0.41,5.1,-10.94
2025-02-25 17:55:00,2025-02-25 23:00:00,L,1.50015,1.50512,1.49767,1.50512,2.0,tp,7.19,0.41,6.78,-4.16
2025-02-26 15:05:00,2025-02-26 17:10:00,L,1.5045,1.50294,1.50294,1.50761,-1.0,sl,-2.25,0.41,-2.66,-6.82
2025-02-26 17:30:00,2025-02-26 17:55:00,L,1.5039,1.50701,1.50234,1.50701,2.0,tp,4.51,0.41,4.1,-2.72
2025-02-26 19:00:00,2025-02-26 19:25:00,L,1.50841,1.50668,1.50668,1.51187,-1.0,sl,-2.5,0.41,-2.91,-5.63
2025-02-27 15:15:00,2025-02-27 15:40:00,L,1.50441,1.50227,1.50227,1.50868,-1.0,sl,-3.09,0.41,-3.5,-9.13
2025-02-27 15:50:00,2025-02-27 16:00:00,L,1.50564,1.50212,1.50212,1.51268,-1.0,sl,-5.09,0.41,-5.5,-14.63
2025-02-27 16:10:00,2025-02-27 17:10:00,L,1.50401,1.50146,1.50146,1.50911,-1.0,sl,-3.69,0.41,-4.1,-18.73
2025-02-28 16:10:00,2025-02-28 17:00:00,L,1.50076,1.50389,1.4992,1.50389,2.0,tp,4.52,0.41,4.11,-14.62
2025-02-28 18:05:00,2025-03-03 01:05:00,L,1.49944,1.50359,1.49737,1.50359,2.0,tp,6.0,0.41,5.59,-9.03
2025-03-03 15:05:00,2025-03-03 15:15:00,L,1.50978,1.50855,1.50855,1.51224,-1.0,sl,-1.78,0.41,-2.19,-11.22
2025-03-03 15:45:00,2025-03-03 17:00:00,L,1.50878,1.5115,1.50742,1.5115,2.0,tp,3.93,0.41,3.52,-7.7
2025-03-03 17:05:00,2025-03-03 22:00:00,L,1.51185,1.51942,1.50807,1.51942,2.0,tp,10.95,0.41,10.54,2.84
2025-03-04 15:20:00,2025-03-04 18:20:00,L,1.52223,1.52796,1.51936,1.52796,2.0,tp,8.3,0.41,7.89,10.73
2025-03-04 19:00:00,2025-03-04 20:25:00,L,1.52899,1.53643,1.52527,1.53643,2.0,tp,10.76,0.41,10.35,21.08
2025-03-05 15:20:00,2025-03-05 16:30:00,L,1.54103,1.54533,1.53888,1.54533,2.0,tp,6.23,0.41,5.82,26.9
2025-03-05 16:40:00,2025-03-06 00:40:00,L,1.54545,1.54615,1.54029,1.55576,0.136,time,1.01,0.41,0.6,27.5
2025-03-06 15:05:00,2025-03-06 15:10:00,L,1.55114,1.55037,1.55037,1.55268,-1.0,sl,-1.12,0.41,-1.53,25.97
2025-03-06 15:20:00,2025-03-06 17:05:00,L,1.55418,1.54964,1.54964,1.56325,-1.0,sl,-6.56,0.41,-6.97,19.0
2025-03-07 15:20:00,2025-03-07 19:05:00,L,1.55654,1.56385,1.55288,1.56385,2.0,tp,10.58,0.41,10.17,29.17
2025-03-10 15:05:00,2025-03-10 17:15:00,L,1.56338,1.56129,1.56129,1.56757,-1.0,sl,-3.03,0.41,-3.44,25.73
2025-03-10 17:55:00,2025-03-10 19:45:00,L,1.56206,1.56536,1.56041,1.56536,2.0,tp,4.78,0.41,4.37,30.1
2025-03-11 15:25:00,2025-03-11 16:00:00,L,1.57399,1.58142,1.57028,1.58142,2.0,tp,10.75,0.41,10.34,40.44
