exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 16:15:00,2.44,2.44,1002.44,0.0
2023-01-03 17:15:00,3.31,5.75,1005.75,0.0
2023-01-04 01:20:00,-3.98,1.77,1001.77,-0.4
2023-01-04 15:45:00,-1.75,0.02,1000.02,-0.57
2023-01-04 16:45:00,-2.04,-2.02,997.98,-0.77
2023-01-04 22:55:00,-3.31,-5.33,994.67,-1.1
2023-01-06 02:05:00,1.48,-3.85,996.15,-0.95
2023-01-09 00:00:00,6.13,2.28,1002.28,-0.35
2023-01-09 19:50:00,5.29,7.57,1007.57,0.0
2023-01-10 23:10:00,0.33,7.9,1007.9,0.0
2023-01-12 00:15:00,5.25,13.15,1013.15,0.0
2023-01-12 15:30:00,-2.07,11.08,1011.08,-0.2
2023-01-12 15:40:00,-6.37,4.71,1004.71,-0.83
2023-01-12 17:35:00,-5.55,-0.84,999.16,-1.38
2023-01-12 18:10:00,3.97,3.13,1003.13,-0.99
2023-01-18 16:10:00,3.54,6.67,1006.67,-0.64
2023-01-19 00:20:00,3.62,10.29,1010.29,-0.28
2023-01-20 16:15:00,3.79,14.08,1014.08,0.0
2023-01-20 19:05:00,4.2,18.28,1018.28,0.0
2023-01-23 17:30:00,-2.37,15.91,1015.91,-0.23
2023-01-23 19:20:00,4.01,19.92,1019.92,0.0
2023-01-24 17:15:00,-2.37,17.55,1017.55,-0.23
2023-01-24 17:45:00,-2.2,15.35,1015.35,-0.45
2023-01-24 18:45:00,-2.93,12.42,1012.42,-0.74
2023-01-27 17:10:00,-2.21,10.21,1010.21,-0.95
2023-01-30 19:00:00,-3.3,6.91,1006.91,-1.28
2023-02-03 15:30:00,-3.44,3.47,1003.47,-1.61
2023-02-03 23:45:00,-0.1,3.37,1003.37,-1.62
2023-02-07 17:30:00,5.14,8.51,1008.51,-1.12
2023-02-08 01:45:00,-2.91,5.6,1005.6,-1.4
2023-02-08 22:15:00,2.86,8.46,1008.46,-1.12
2023-02-10 15:10:00,0.3,8.76,1008.76,-1.09
2023-02-10 15:15:00,-1.6,7.16,1007.16,-1.25
2023-02-10 16:30:00,-1.54,5.62,1005.62,-1.4
2023-02-10 16:55:00,-2.05,3.57,1003.57,-1.6
2023-02-13 01:25:00,1.81,5.38,1005.38,-1.43
2023-02-13 16:00:00,-2.48,2.9,1002.9,-1.67
2023-02-13 16:10:00,-0.9,2.0,1002.0,-1.76
2023-02-13 17:25:00,-2.89,-0.89,999.11,-2.04
2023-02-15 15:30:00,-1.04,-1.93,998.07,-2.14
2023-02-15 23:40:00,0.41,-1.52,998.48,-2.1
2023-02-20 15:20:00,-1.66,-3.18,996.82,-2.26
2023-02-20 23:55:00,2.87,-0.31,999.69,-1.98
2023-02-21 15:20:00,-1.81,-2.12,997.88,-2.16
2023-02-21 16:00:00,-1.53,-3.65,996.35,-2.31
2023-02-24 16:35:00,1.85,-1.8,998.2,-2.13
2023-02-24 18:30:00,4.78,2.98,1002.98,-1.66
2023-02-27 02:40:00,1.53,4.51,1004.51,-1.51
2023-02-28 00:20:00,0.74,5.25,1005.25,-1.44
2023-02-28 15:15:00,-1.37,3.88,1003.88,-1.57
2023-02-28 16:20:00,-1.28,2.6,1002.6,-1.7
2023-02-28 17:25:00,-2.83,-0.23,999.77,-1.98
2023-02-28 18:05:00,-4.3,-4.53,995.47,-2.4
2023-02-28 18:35:00,1.1,-3.43,996.57,-2.29
2023-03-01 02:40:00,4.07,0.64,1000.64,-1.89
2023-03-01 17:55:00,6.36,7.0,1007.0,-1.27
2023-03-02 02:35:00,0.63,7.63,1007.63,-1.2
2023-03-07 17:00:00,-1.97,5.66,1005.66,-1.4
2023-03-07 18:10:00,-4.1,1.56,1001.56,-1.8
2023-03-07 20:00:00,-2.86,-1.3,998.7,-2.08
2023-03-09 16:25:00,-2.13,-3.43,996.57,-2.29
2023-03-09 17:20:00,2.49,-0.94,999.06,-2.05
2023-03-09 23:05:00,6.44,5.5,1005.5,-1.41
