symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
EURCHF,2023Q1,88,37,42.05,0.071,1.12,False
EURCHF,2023Q2,126,63,50.0,0.324,1.7,True
EURCHF,2023Q3,95,47,49.47,0.268,1.55,True
EURCHF,2023Q4,111,54,48.65,0.321,1.7,True
EURCHF,2024Q1,108,56,51.85,0.371,1.83,True
EURCHF,2024Q2,94,52,55.32,0.473,2.1,True
EURCHF,2024Q3,93,48,51.61,0.388,1.87,True
EURCHF,2024Q4,99,51,51.52,0.4,1.9,True
EURCHF,2025Q1,86,37,43.02,0.248,1.48,False
EURCHF,2025Q2,96,47,48.96,0.398,1.89,True
EURCHF,2025Q3,106,50,47.17,0.249,1.51,False
EURCHF,2025Q4,114,47,41.23,0.126,1.22,False
EURCHF,2026Q1,67,39,58.21,0.574,2.45,True
