symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
EURCHF,OR,f_candle|f_ema,10,1,0.9,NY08-12,1467,45.67,0.37,1.44,38.5,16.9
EURCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1582,45.58,0.367,1.45,38.5,16.81
EURCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,645,45.43,0.363,1.46,38.5,16.66
EURCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,488,45.08,0.352,1.41,38.5,16.31
EURCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,439,47.38,0.421,1.54,30.8,14.77
EURCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,392,47.19,0.416,1.53,30.8,14.58
EURCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,550,45.45,0.364,1.44,30.8,12.84
EURCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1686,45.26,0.358,1.44,30.8,12.64
EURCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,575,45.04,0.351,1.43,30.8,12.43
EURCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,392,48.21,0.446,1.59,23.1,11.75
EURCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,390,48.21,0.446,1.59,23.1,11.74
EURCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,429,47.32,0.42,1.53,23.1,10.86
EURCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,384,46.88,0.406,1.5,23.1,10.41
EURCHF,OR,f_candle|f_ema,10,1,0.9,NY08-13,1568,45.22,0.357,1.43,23.1,8.76
EURCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,351,47.58,0.427,1.55,15.4,7.27
EURCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,350,47.43,0.423,1.53,15.4,7.12
EURCHF,OR,f_candle|f_ema,10,1,0.9,NY07-16,1934,44.83,0.345,1.42,15.4,4.52
EURCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2082,44.76,0.343,1.43,15.4,4.46
