symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
EURCHF,{'require_h1_rsi_align': True},1283,48.95,0.468,1.67,69.2,35.56
EURCHF,"{'require_h1_rsi_align': True, 'require_macd_align': True}",842,49.88,0.496,1.66,61.5,32.65
EURCHF,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",1022,48.04,0.441,1.58,61.5,30.81
EURCHF,{'require_macd_align': True},947,46.78,0.403,1.45,53.8,25.7
EURCHF,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",576,48.96,0.469,1.55,46.2,24.04
EURCHF,{},1467,45.67,0.37,1.44,38.5,16.9
EURCHF,"{'adx_min': 18.0, 'require_macd_align': True}",729,46.5,0.395,1.42,30.8,13.89
EURCHF,{'adx_min': 18.0},1158,45.6,0.368,1.41,30.8,12.98
EURCHF,{'add_vol_confirm': True},1650,45.27,0.358,1.47,30.8,12.66
EURCHF,{'adx_min': 22.0},906,46.03,0.381,1.39,23.1,9.56
EURCHF,"{'adx_min': 18.0, 'add_vol_confirm': True}",1293,45.86,0.376,1.47,23.1,9.4
