entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:05:00,2023-01-03 17:15:00,L,0.98681,0.98827,0.98608,0.98827,2.0,tp,3.72,0.41,3.31,3.31
2023-01-03 17:20:00,2023-01-04 01:20:00,L,0.98829,0.98689,0.98608,0.99271,-0.634,time,-3.57,0.41,-3.98,-0.67
2023-01-04 17:35:00,2023-01-04 22:55:00,S,0.98501,0.98615,0.98615,0.98273,-1.0,sl,-2.9,0.41,-3.31,-3.98
2023-01-06 14:10:00,2023-01-06 14:40:00,L,0.98624,0.98585,0.98585,0.98702,-1.0,sl,-1.0,0.41,-1.41,-5.39
2023-01-06 15:10:00,2023-01-06 15:30:00,L,0.98613,0.98531,0.98531,0.98776,-1.0,sl,-2.08,0.41,-2.49,-7.88
2023-01-06 15:35:00,2023-01-06 15:45:00,L,0.98642,0.98514,0.98514,0.98898,-1.0,sl,-3.26,0.41,-3.67,-11.55
2023-01-12 17:55:00,2023-01-12 18:10:00,L,1.0031,1.00482,1.00224,1.00482,2.0,tp,4.38,0.41,3.97,-7.58
2023-01-13 14:15:00,2023-01-13 17:35:00,L,1.00511,1.00382,1.00382,1.0077,-1.0,sl,-3.29,0.41,-3.7,-11.28
2023-01-13 18:55:00,2023-01-16 03:00:00,L,1.00326,1.00306,1.00184,1.0061,-0.141,time,-0.51,0.41,-0.92,-12.2
2023-01-23 17:45:00,2023-01-23 19:20:00,L,1.00157,1.00331,1.0007,1.00331,2.0,tp,4.42,0.41,4.01,-8.19
2023-01-23 21:25:00,2023-01-23 21:30:00,L,1.0021,1.00193,1.00193,1.00244,-1.0,sl,-0.44,0.41,-0.85,-9.04
2023-01-23 22:20:00,2023-01-24 00:50:00,L,1.00215,1.00148,1.00148,1.00348,-1.0,sl,-1.7,0.41,-2.11,-11.15
2023-01-24 19:20:00,2023-01-25 03:20:00,L,1.00386,1.0046,1.00316,1.00526,1.058,time,1.89,0.41,1.48,-9.67
2023-01-27 16:05:00,2023-01-27 17:10:00,L,1.0019,1.00119,1.00119,1.00331,-1.0,sl,-1.8,0.41,-2.21,-11.88
2023-01-30 18:50:00,2023-01-30 18:55:00,L,1.00335,1.00296,1.00296,1.00414,-1.0,sl,-1.0,0.41,-1.41,-13.29
2023-01-30 20:00:00,2023-01-30 22:30:00,L,1.00266,1.00377,1.0021,1.00377,2.0,tp,2.83,0.41,2.42,-10.87
2023-01-31 14:40:00,2023-01-31 14:40:00,L,1.00345,1.00317,1.00317,1.00401,-1.0,sl,-0.72,0.41,-1.13,-12.0
2023-02-03 20:15:00,2023-02-03 21:35:00,L,1.00066,1.00018,1.00018,1.00161,-1.0,sl,-1.21,0.41,-1.62,-13.62
2023-02-03 22:35:00,2023-02-03 22:35:00,L,0.99994,0.99985,0.99985,1.00013,-1.0,sl,-0.24,0.41,-0.65,-14.27
2023-02-03 22:45:00,2023-02-03 22:55:00,L,0.99988,0.99977,0.99977,1.0001,-1.0,sl,-0.28,0.41,-0.69,-14.96
2023-02-07 20:10:00,2023-02-08 04:10:00,S,0.98897,0.98916,0.9897,0.9875,-0.259,time,-0.48,0.41,-0.89,-15.85
2023-02-09 14:15:00,2023-02-09 21:35:00,S,0.9891,0.99018,0.99018,0.98694,-1.0,sl,-2.75,0.41,-3.16,-19.01
2023-02-10 21:30:00,2023-02-13 00:30:00,S,0.98687,0.98597,0.98732,0.98597,2.0,tp,2.29,0.41,1.88,-17.13
2023-02-13 16:55:00,2023-02-13 17:25:00,S,0.98549,0.98646,0.98646,0.98354,-1.0,sl,-2.48,0.41,-2.89,-20.02
2023-02-13 17:50:00,2023-02-13 17:50:00,S,0.98676,0.98712,0.98712,0.98605,-1.0,sl,-0.91,0.41,-1.32,-21.34
2023-02-13 18:10:00,2023-02-13 18:40:00,S,0.98737,0.98673,0.98769,0.98673,2.0,tp,1.63,0.41,1.22,-20.12
2023-02-13 18:50:00,2023-02-13 23:55:00,S,0.98684,0.98516,0.98768,0.98516,2.0,tp,4.27,0.41,3.86,-16.26
2023-02-16 15:35:00,2023-02-16 17:15:00,S,0.98741,0.98824,0.98824,0.98575,-1.0,sl,-2.11,0.41,-2.52,-18.78
2023-02-20 16:00:00,2023-02-20 23:55:00,S,0.9869,0.98561,0.98754,0.98561,2.0,tp,3.28,0.41,2.87,-15.91
2023-02-24 14:10:00,2023-02-24 15:50:00,L,0.98962,0.98893,0.98893,0.99101,-1.0,sl,-1.77,0.41,-2.18,-18.09
2023-02-27 16:20:00,2023-02-28 00:20:00,L,0.99199,0.99244,0.9911,0.99377,0.507,time,1.15,0.41,0.74,-17.35
2023-02-28 15:55:00,2023-02-28 16:20:00,L,0.99426,0.99392,0.99392,0.99494,-1.0,sl,-0.87,0.41,-1.28,-18.63
2023-02-28 16:35:00,2023-02-28 17:25:00,L,0.99462,0.99367,0.99367,0.99652,-1.0,sl,-2.42,0.41,-2.83,-21.46
2023-03-07 17:35:00,2023-03-07 18:10:00,L,0.99599,0.99454,0.99454,0.99889,-1.0,sl,-3.69,0.41,-4.1,-25.56
2023-03-13 18:05:00,2023-03-13 22:55:00,S,0.97807,0.97894,0.97894,0.97632,-1.0,sl,-2.23,0.41,-2.64,-28.2
2023-03-14 14:25:00,2023-03-14 14:30:00,S,0.97746,0.97801,0.97801,0.97637,-1.0,sl,-1.39,0.41,-1.8,-30.0
2023-03-14 17:45:00,2023-03-15 01:45:00,S,0.98082,0.98092,0.98229,0.97788,-0.068,time,-0.25,0.41,-0.66,-30.66
2023-03-21 18:25:00,2023-03-21 18:25:00,L,0.993,0.99261,0.99261,0.99378,-1.0,sl,-0.99,0.41,-1.4,-32.06
2023-03-21 19:25:00,2023-03-22 03:25:00,L,0.99351,0.99328,0.9925,0.99554,-0.227,time,-0.59,0.41,-1.0,-33.06
2023-03-23 17:20:00,2023-03-23 18:20:00,L,0.99607,0.99488,0.99488,0.99845,-1.0,sl,-3.03,0.41,-3.44,-36.5
2023-03-24 20:10:00,2023-03-24 21:20:00,S,0.9891,0.98973,0.98973,0.98785,-1.0,sl,-1.59,0.41,-2.0,-38.5
2023-03-24 21:45:00,2023-03-27 00:00:00,S,0.98951,0.98865,0.98994,0.98865,2.0,tp,2.18,0.41,1.77,-36.73
2023-03-27 16:05:00,2023-03-27 16:25:00,S,0.98807,0.98854,0.98854,0.98712,-1.0,sl,-1.21,0.41,-1.62,-38.35
2023-03-27 21:35:00,2023-03-27 22:45:00,S,0.98937,0.9887,0.98971,0.9887,2.0,tp,1.71,0.41,1.3,-37.05
2023-03-29 19:20:00,2023-03-30 03:20:00,L,0.99608,0.99585,0.99497,0.9983,-0.207,time,-0.59,0.41,-1.0,-38.05
2023-04-03 15:15:00,2023-04-03 17:50:00,L,0.99515,0.99372,0.99372,0.99801,-1.0,sl,-3.65,0.41,-4.06,-42.11
2023-04-04 15:45:00,2023-04-04 15:45:00,L,0.99554,0.99503,0.99503,0.99656,-1.0,sl,-1.3,0.41,-1.71,-43.82
2023-04-04 17:05:00,2023-04-04 18:45:00,L,0.99511,0.99358,0.99358,0.99816,-1.0,sl,-3.89,0.41,-4.3,-48.12
2023-04-06 15:10:00,2023-04-06 15:30:00,S,0.98773,0.98703,0.98808,0.98703,2.0,tp,1.8,0.41,1.39,-46.73
2023-04-06 15:40:00,2023-04-06 17:20:00,S,0.98736,0.9881,0.9881,0.98588,-1.0,sl,-1.88,0.41,-2.29,-49.02
2023-04-06 19:35:00,2023-04-06 19:35:00,S,0.98822,0.98851,0.98851,0.98765,-1.0,sl,-0.73,0.41,-1.14,-50.16
2023-04-06 19:50:00,2023-04-06 20:00:00,S,0.9884,0.98854,0.98854,0.98812,-1.0,sl,-0.36,0.41,-0.77,-50.93
2023-04-06 20:10:00,2023-04-06 20:15:00,S,0.98841,0.98807,0.98858,0.98807,2.0,tp,0.86,0.41,0.45,-50.48
2023-04-07 15:30:00,2023-04-07 15:40:00,S,0.98676,0.9888,0.9888,0.98269,-1.0,sl,-5.19,0.41,-5.6,-56.08
2023-04-07 15:45:00,2023-04-07 23:30:00,S,0.98797,0.98578,0.98907,0.98578,2.0,tp,5.58,0.41,5.17,-50.91
2023-04-11 17:10:00,2023-04-11 18:25:00,S,0.98804,0.98603,0.98905,0.98603,2.0,tp,5.13,0.41,4.72,-46.19
2023-04-13 17:00:00,2023-04-13 17:10:00,S,0.98161,0.98318,0.98318,0.97846,-1.0,sl,-4.01,0.41,-4.42,-50.61
2023-04-13 17:15:00,2023-04-14 01:15:00,S,0.98217,0.98251,0.98359,0.97934,-0.24,time,-0.87,0.41,-1.28,-51.89
2023-04-14 16:15:00,2023-04-17 00:20:00,S,0.9831,0.98289,0.98453,0.98023,0.146,time,0.54,0.41,0.13,-51.76
2023-04-21 18:05:00,2023-04-21 18:35:00,S,0.9803,0.97948,0.98071,0.97948,2.0,tp,2.09,0.41,1.68,-50.08
2023-04-21 18:40:00,2023-04-21 23:10:00,S,0.97956,0.9807,0.9807,0.97728,-1.0,sl,-2.9,0.41,-3.31,-53.39
2023-04-25 16:35:00,2023-04-25 16:45:00,S,0.97941,0.97873,0.97975,0.97873,2.0,tp,1.73,0.41,1.32,-52.07
2023-04-25 17:15:00,2023-04-25 17:50:00,S,0.97899,0.97975,0.97975,0.97748,-1.0,sl,-1.93,0.41,-2.34,-54.41
2023-05-01 14:55:00,2023-05-01 15:10:00,S,0.98292,0.98334,0.98334,0.98207,-1.0,sl,-1.08,0.41,-1.49,-55.9
2023-05-01 15:55:00,2023-05-01 15:55:00,S,0.98331,0.98375,0.98375,0.98242,-1.0,sl,-1.13,0.41,-1.54,-57.44
2023-05-01 16:05:00,2023-05-01 16:30:00,S,0.98371,0.98396,0.98396,0.98321,-1.0,sl,-0.64,0.41,-1.05,-58.49
2023-05-01 16:40:00,2023-05-01 17:25:00,S,0.98347,0.98224,0.98408,0.98224,2.0,tp,3.13,0.41,2.72,-55.77
2023-05-01 22:30:00,2023-05-01 22:45:00,S,0.98312,0.98327,0.98327,0.98281,-1.0,sl,-0.39,0.41,-0.8,-56.57
2023-05-03 14:55:00,2023-05-03 19:35:00,S,0.98097,0.97938,0.98177,0.97938,2.0,tp,4.06,0.41,3.65,-52.92
2023-05-08 17:05:00,2023-05-09 01:05:00,S,0.9808,0.97883,0.98217,0.97805,1.433,time,5.02,0.41,4.61,-48.31
2023-05-10 15:30:00,2023-05-10 18:30:00,S,0.97625,0.97743,0.97743,0.97389,-1.0,sl,-3.01,0.41,-3.42,-51.73
2023-05-10 19:25:00,2023-05-10 20:40:00,S,0.97714,0.97618,0.97762,0.97618,2.0,tp,2.44,0.41,2.03,-49.7
2023-05-11 19:40:00,2023-05-11 23:00:00,S,0.97699,0.97587,0.97755,0.97587,2.0,tp,2.86,0.41,2.45,-47.25
