entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 15:05:00,2026-02-17 15:25:00,L,0.91156,0.91129,0.91129,0.9121,-1.0,sl,-0.69,0.41,-1.1,-1.1
2026-02-17 15:55:00,2026-02-17 17:00:00,L,0.91167,0.91309,0.91096,0.91309,2.0,tp,3.63,0.41,3.22,2.12
2026-02-17 17:30:00,2026-02-18 01:30:00,L,0.91302,0.9129,0.91186,0.91535,-0.103,time,-0.31,0.41,-0.72,1.4
2026-02-18 15:05:00,2026-02-18 15:30:00,S,0.91234,0.91269,0.91269,0.91163,-1.0,sl,-0.9,0.41,-1.31,0.09
2026-02-18 15:50:00,2026-02-18 16:20:00,S,0.91251,0.91195,0.91279,0.91195,2.0,tp,1.44,0.41,1.03,1.12
2026-02-18 16:25:00,2026-02-18 21:55:00,S,0.91204,0.91054,0.91279,0.91054,2.0,tp,3.82,0.41,3.41,4.53
2026-02-19 17:05:00,2026-02-20 01:05:00,L,0.91177,0.9125,0.91096,0.91339,0.903,time,1.86,0.41,1.45,5.98
2026-02-20 15:10:00,2026-02-20 15:30:00,L,0.91313,0.91351,0.91294,0.91351,2.0,tp,0.96,0.41,0.55,6.53
2026-02-20 15:35:00,2026-02-20 17:10:00,L,0.91347,0.91294,0.91294,0.91454,-1.0,sl,-1.36,0.41,-1.77,4.76
2026-02-20 17:25:00,2026-02-20 17:40:00,L,0.91279,0.9125,0.9125,0.91336,-1.0,sl,-0.73,0.41,-1.14,3.62
2026-02-20 17:50:00,2026-02-23 01:55:00,L,0.91287,0.91323,0.91237,0.91386,0.727,time,0.92,0.41,0.51,4.13
2026-02-23 15:05:00,2026-02-23 15:30:00,L,0.91461,0.9142,0.9142,0.91543,-1.0,sl,-1.05,0.41,-1.46,2.67
2026-02-23 16:25:00,2026-02-23 16:35:00,L,0.91426,0.91394,0.91394,0.9149,-1.0,sl,-0.81,0.41,-1.22,1.45
2026-02-24 15:15:00,2026-02-24 15:25:00,S,0.91185,0.91213,0.91213,0.9113,-1.0,sl,-0.71,0.41,-1.12,0.33
2026-02-24 15:30:00,2026-02-24 16:10:00,S,0.9119,0.91217,0.91217,0.91136,-1.0,sl,-0.68,0.41,-1.09,-0.76
2026-02-24 16:25:00,2026-02-24 17:55:00,S,0.91188,0.9122,0.9122,0.91124,-1.0,sl,-0.81,0.41,-1.22,-1.98
2026-02-24 18:10:00,2026-02-24 20:10:00,S,0.91187,0.9111,0.91225,0.9111,2.0,tp,1.95,0.41,1.54,-0.44
2026-02-25 15:05:00,2026-02-25 15:20:00,L,0.91293,0.91253,0.91253,0.91373,-1.0,sl,-1.02,0.41,-1.43,-1.87
2026-02-25 16:00:00,2026-02-25 16:25:00,L,0.91237,0.91211,0.91211,0.91289,-1.0,sl,-0.66,0.41,-1.07,-2.94
2026-02-25 17:05:00,2026-02-25 17:10:00,L,0.9119,0.91143,0.91143,0.91285,-1.0,sl,-1.21,0.41,-1.62,-4.56
2026-02-25 17:35:00,2026-02-26 01:35:00,L,0.91192,0.91236,0.91126,0.91324,0.668,time,1.12,0.41,0.71,-3.85
2026-02-26 15:25:00,2026-02-26 16:05:00,L,0.91425,0.91386,0.91386,0.91503,-1.0,sl,-0.99,0.41,-1.4,-5.25
2026-02-26 16:10:00,2026-02-26 16:10:00,L,0.91394,0.91382,0.91382,0.91418,-1.0,sl,-0.3,0.41,-0.71,-5.96
2026-02-26 16:30:00,2026-02-26 16:30:00,L,0.91389,0.91371,0.91371,0.91425,-1.0,sl,-0.46,0.41,-0.87,-6.83
2026-02-26 16:50:00,2026-02-26 17:15:00,L,0.9136,0.91342,0.91342,0.91396,-1.0,sl,-0.46,0.41,-0.87,-7.7
2026-02-26 17:40:00,2026-02-26 17:55:00,L,0.9131,0.91259,0.91259,0.91412,-1.0,sl,-1.3,0.41,-1.71,-9.41
2026-02-27 15:15:00,2026-02-27 15:50:00,S,0.9103,0.9084,0.91125,0.9084,2.0,tp,4.85,0.41,4.44,-4.97
2026-02-27 16:25:00,2026-03-02 00:00:00,S,0.90776,0.90388,0.9097,0.90388,2.0,tp,9.89,0.41,9.48,4.51
2026-03-03 15:20:00,2026-03-03 16:55:00,S,0.91054,0.9078,0.91191,0.9078,2.0,tp,6.97,0.41,6.56,11.07
2026-03-03 17:00:00,2026-03-04 01:00:00,S,0.90772,0.9085,0.91031,0.90253,-0.301,time,-1.99,0.41,-2.4,8.67
