entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 15:35:00,2023-01-03 16:15:00,L,0.98754,0.98866,0.98698,0.98866,2.0,tp,2.85,0.41,2.44,2.44
2023-01-03 17:05:00,2023-01-03 17:15:00,L,0.98681,0.98827,0.98608,0.98827,2.0,tp,3.72,0.41,3.31,5.75
2023-01-03 17:20:00,2023-01-04 01:20:00,L,0.98829,0.98689,0.98608,0.99271,-0.634,time,-3.57,0.41,-3.98,1.77
2023-01-04 15:05:00,2023-01-04 15:45:00,S,0.98409,0.98462,0.98462,0.98304,-1.0,sl,-1.34,0.41,-1.75,0.02
2023-01-04 15:55:00,2023-01-04 16:45:00,S,0.98412,0.98476,0.98476,0.98284,-1.0,sl,-1.63,0.41,-2.04,-2.02
2023-01-04 17:35:00,2023-01-04 22:55:00,S,0.98501,0.98615,0.98615,0.98273,-1.0,sl,-2.9,0.41,-3.31,-5.33
2023-01-05 18:05:00,2023-01-06 02:05:00,S,0.98557,0.98483,0.98721,0.98229,0.452,time,1.89,0.41,1.48,-3.85
2023-01-06 16:05:00,2023-01-09 00:00:00,L,0.98619,0.98876,0.98491,0.98876,2.0,tp,6.54,0.41,6.13,2.28
2023-01-09 18:30:00,2023-01-09 19:50:00,L,0.98635,0.98859,0.98523,0.98859,2.0,tp,5.7,0.41,5.29,7.57
2023-01-10 15:10:00,2023-01-10 23:10:00,L,0.99048,0.99077,0.98918,0.99307,0.224,time,0.74,0.41,0.33,7.9
2023-01-11 16:15:00,2023-01-12 00:15:00,L,0.99861,1.00083,0.99637,1.00308,0.992,time,5.66,0.41,5.25,13.15
2023-01-12 15:30:00,2023-01-12 15:30:00,L,1.00422,1.00357,1.00357,1.00552,-1.0,sl,-1.66,0.41,-2.07,11.08
2023-01-12 15:35:00,2023-01-12 15:40:00,L,1.00546,1.00312,1.00312,1.01014,-1.0,sl,-5.96,0.41,-6.37,4.71
2023-01-12 15:55:00,2023-01-12 17:35:00,L,1.00443,1.00241,1.00241,1.00846,-1.0,sl,-5.14,0.41,-5.55,-0.84
2023-01-12 17:55:00,2023-01-12 18:10:00,L,1.0031,1.00482,1.00224,1.00482,2.0,tp,4.38,0.41,3.97,3.13
2023-01-18 15:40:00,2023-01-18 16:10:00,S,0.99056,0.98901,0.99134,0.98901,2.0,tp,3.95,0.41,3.54,6.67
