exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-04 03:35:00,1.29,1.29,1001.29,0.0
2023-01-09 14:50:00,-1.39,-0.1,999.9,-0.14
2023-01-09 15:00:00,-1.23,-1.33,998.67,-0.26
2023-01-09 16:30:00,1.45,0.12,1000.12,-0.12
2023-01-09 17:10:00,-3.39,-3.27,996.73,-0.46
2023-01-11 19:35:00,1.33,-1.94,998.06,-0.32
2023-01-12 00:00:00,0.89,-1.05,998.95,-0.23
2023-01-17 15:55:00,2.22,1.17,1001.17,-0.01
2023-01-17 17:00:00,7.19,8.36,1008.36,0.0
2023-02-02 16:30:00,-4.07,4.29,1004.29,-0.4
2023-02-02 17:10:00,2.62,6.91,1006.91,-0.14
2023-02-02 17:45:00,2.13,9.04,1009.04,0.0
2023-02-02 21:45:00,7.07,16.11,1016.11,0.0
2023-02-06 17:35:00,0.99,17.1,1017.1,0.0
2023-02-07 00:10:00,-2.58,14.52,1014.52,-0.25
2023-02-15 00:40:00,2.23,16.75,1016.75,-0.03
2023-02-16 00:45:00,-1.91,14.84,1014.84,-0.22
2023-02-17 14:25:00,-1.72,13.12,1013.12,-0.39
2023-02-21 17:20:00,-4.27,8.85,1008.85,-0.81
2023-02-21 17:55:00,5.02,13.87,1013.87,-0.32
2023-02-22 02:00:00,0.41,14.28,1014.28,-0.28
2023-02-23 02:00:00,0.08,14.36,1014.36,-0.27
2023-02-28 20:35:00,-2.79,11.57,1011.57,-0.54
2023-02-28 22:25:00,-1.59,9.98,1009.98,-0.7
2023-03-02 00:00:00,-2.65,7.33,1007.33,-0.96
2023-03-02 21:00:00,-1.54,5.79,1005.79,-1.11
2023-03-13 00:40:00,-2.83,2.96,1002.96,-1.39
2023-03-15 02:20:00,-3.33,-0.37,999.63,-1.72
2023-03-16 03:10:00,-1.31,-1.68,998.32,-1.85
2023-03-16 14:40:00,6.4,4.72,1004.72,-1.22
2023-03-19 23:00:00,3.85,8.57,1008.57,-0.84
2023-03-22 20:05:00,3.01,11.58,1011.58,-0.54
2023-03-23 04:10:00,6.69,18.27,1018.27,0.0
2023-03-27 01:10:00,-0.64,17.63,1017.63,-0.06
2023-03-27 16:40:00,2.06,19.69,1019.69,0.0
2023-03-28 00:45:00,-0.32,19.37,1019.37,-0.03
2023-03-28 15:45:00,-4.67,14.7,1014.7,-0.49
2023-03-29 01:05:00,1.21,15.91,1015.91,-0.37
2023-04-04 01:35:00,1.03,16.94,1016.94,-0.27
2023-04-05 03:00:00,-2.06,14.88,1014.88,-0.47
2023-04-10 17:35:00,4.39,19.27,1019.27,-0.04
2023-04-21 17:10:00,-2.71,16.56,1016.56,-0.31
2023-04-21 17:50:00,1.74,18.3,1018.3,-0.14
2023-04-21 21:15:00,-0.95,17.35,1017.35,-0.23
2023-04-21 22:45:00,-0.94,16.41,1016.41,-0.32
2023-04-24 00:00:00,-1.38,15.03,1015.03,-0.46
2023-04-25 18:55:00,-1.79,13.24,1013.24,-0.63
2023-04-25 20:00:00,-1.1,12.14,1012.14,-0.74
2023-04-26 18:35:00,-1.56,10.58,1010.58,-0.89
2023-04-26 19:30:00,0.04,10.62,1010.62,-0.89
2023-04-26 20:10:00,-1.85,8.77,1008.77,-1.07
2023-04-27 04:40:00,0.3,9.07,1009.07,-1.04
2023-05-01 14:35:00,-1.96,7.11,1007.11,-1.23
2023-05-01 14:45:00,-1.3,5.81,1005.81,-1.36
2023-05-01 15:10:00,0.83,6.64,1006.64,-1.28
2023-05-01 23:15:00,-0.64,6.0,1006.0,-1.34
2023-05-04 15:30:00,4.23,10.23,1010.23,-0.93
2023-05-10 00:55:00,1.23,11.46,1011.46,-0.81
2023-05-10 15:05:00,0.79,12.25,1012.25,-0.73
2023-05-10 16:25:00,-2.4,9.85,1009.85,-0.96
2023-05-10 17:15:00,-2.02,7.83,1007.83,-1.16
2023-05-10 17:45:00,-1.66,6.17,1006.17,-1.33
2023-05-10 18:30:00,-1.68,4.49,1004.49,-1.49
2023-05-11 01:55:00,-1.57,2.92,1002.92,-1.64
2023-05-12 17:10:00,-3.07,-0.15,999.85,-1.95
2023-05-16 16:40:00,1.28,1.13,1001.13,-1.82
2023-05-16 19:25:00,-4.75,-3.62,996.38,-2.29
2023-05-18 00:00:00,1.13,-2.49,997.51,-2.18
2023-05-18 22:10:00,0.43,-2.06,997.94,-2.13
2023-05-23 21:55:00,-0.06,-2.12,997.88,-2.14
2023-05-24 04:10:00,1.78,-0.34,999.66,-1.96
2023-05-25 15:45:00,-1.63,-1.97,998.03,-2.12
2023-05-26 17:25:00,0.31,-1.66,998.34,-2.09
2023-05-26 17:55:00,1.68,0.02,1000.02,-1.93
2023-05-29 02:05:00,-1.42,-1.4,998.6,-2.07
2023-05-30 20:25:00,-2.19,-3.59,996.41,-2.28
