symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
EURGBP,2023Q1,38,21,55.26,0.451,2.15,True
EURGBP,2023Q2,57,22,38.6,0.158,1.27,False
EURGBP,2023Q3,43,23,53.49,0.437,2.01,True
EURGBP,2023Q4,72,29,40.28,0.158,1.27,False
EURGBP,2024Q1,44,25,56.82,0.464,2.18,True
EURGBP,2024Q2,52,23,44.23,0.305,1.64,False
EURGBP,2024Q3,50,24,48.0,0.3,1.62,True
EURGBP,2024Q4,49,25,51.02,0.426,1.93,True
EURGBP,2025Q1,41,16,39.02,0.119,1.21,False
EURGBP,2025Q2,48,17,35.42,-0.094,0.85,False
EURGBP,2025Q3,53,30,56.6,0.469,2.12,True
EURGBP,2025Q4,72,32,44.44,0.198,1.37,False
EURGBP,2026Q1,38,20,52.63,0.427,1.96,True
