symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
EURGBP,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,645,45.27,0.358,1.48,53.8,24.19
EURGBP,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,556,44.96,0.349,1.45,46.2,20.04
EURGBP,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1432,45.46,0.364,1.45,30.8,12.85
EURGBP,OR,f_candle|f_ema,10,1,0.9,NY08-12,1352,45.19,0.356,1.42,30.8,12.58
EURGBP,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,483,44.31,0.329,1.4,30.8,11.69
EURGBP,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,564,44.5,0.335,1.43,23.1,8.04
EURGBP,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,430,46.05,0.381,1.53,15.4,5.74
EURGBP,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,420,45.48,0.364,1.51,15.4,5.17
EURGBP,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1558,45.06,0.352,1.42,15.4,4.75
EURGBP,OR,f_candle|f_ema,10,1,0.9,NY08-13,1474,44.91,0.347,1.41,15.4,4.6
EURGBP,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,356,46.63,0.399,1.57,7.7,2.48
EURGBP,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,357,46.5,0.395,1.56,7.7,2.34
EURGBP,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1957,44.3,0.329,1.39,7.7,0.15
EURGBP,OR,f_candle|f_ema,10,1,0.9,NY07-16,1848,44.16,0.325,1.37,7.7,0.0
EURGBP,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,358,43.85,0.316,1.4,7.7,-0.3
EURGBP,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,299,44.48,0.334,1.43,0.0,-3.52
EURGBP,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,300,44.33,0.33,1.42,0.0,-3.67
EURGBP,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,367,44.14,0.324,1.41,0.0,-3.86
