symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
EURGBP,"{'adx_min': 18.0, 'add_vol_confirm': True}",657,46.73,0.402,1.56,53.8,25.65
EURGBP,{'adx_min': 18.0},582,46.05,0.381,1.53,53.8,24.97
EURGBP,{},645,45.27,0.358,1.48,53.8,24.19
EURGBP,{'add_vol_confirm': True},718,45.82,0.375,1.51,46.2,20.9
EURGBP,{'require_h1_rsi_align': True},525,46.86,0.406,1.57,38.5,18.09
EURGBP,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",465,47.31,0.419,1.61,30.8,14.7
EURGBP,{'adx_min': 22.0},451,45.9,0.377,1.53,30.8,13.28
EURGBP,{'require_macd_align': True},449,45.21,0.356,1.39,30.8,12.6
EURGBP,"{'require_h1_rsi_align': True, 'require_macd_align': True}",368,48.37,0.451,1.57,15.4,8.06
EURGBP,"{'adx_min': 18.0, 'require_macd_align': True}",389,45.76,0.373,1.43,15.4,5.45
EURGBP,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",278,48.2,0.446,1.55,0.0,0.2
