entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 21:30:00,2026-02-17 21:30:00,L,0.87359,0.87349,0.87349,0.87378,-1.0,sl,-0.26,0.56,-0.82,-0.82
2026-02-18 18:55:00,2026-02-19 02:50:00,L,0.87248,0.87375,0.87185,0.87375,2.0,tp,3.41,0.56,2.85,2.03
2026-02-19 15:20:00,2026-02-19 15:25:00,L,0.8737,0.87345,0.87345,0.87421,-1.0,sl,-0.68,0.56,-1.24,0.79
2026-02-19 15:45:00,2026-02-19 15:45:00,L,0.87359,0.87326,0.87326,0.87425,-1.0,sl,-0.88,0.56,-1.44,-0.65
2026-02-19 15:55:00,2026-02-19 18:05:00,L,0.87368,0.87476,0.87314,0.87476,2.0,tp,2.91,0.56,2.35,1.7
2026-02-27 21:15:00,2026-02-27 21:25:00,L,0.87721,0.87699,0.87699,0.87764,-1.0,sl,-0.58,0.56,-1.14,0.56
2026-02-27 21:50:00,2026-02-27 21:55:00,L,0.87689,0.87675,0.87675,0.87718,-1.0,sl,-0.39,0.56,-0.95,-0.39
2026-02-27 22:55:00,2026-02-27 23:50:00,L,0.8767,0.87646,0.87646,0.87719,-1.0,sl,-0.66,0.56,-1.22,-1.61
2026-03-04 15:10:00,2026-03-04 23:10:00,S,0.87046,0.87027,0.87123,0.86891,0.246,time,0.51,0.56,-0.05,-1.66
2026-03-06 17:15:00,2026-03-09 00:20:00,S,0.86646,0.86575,0.8678,0.86377,0.528,time,1.91,0.56,1.35,-0.31
2026-03-10 19:05:00,2026-03-10 20:35:00,S,0.86527,0.86563,0.86563,0.86455,-1.0,sl,-0.97,0.56,-1.53,-1.84
2026-03-12 17:40:00,2026-03-12 17:50:00,S,0.86287,0.86318,0.86318,0.86226,-1.0,sl,-0.82,0.56,-1.38,-3.22
2026-03-12 18:05:00,2026-03-12 18:10:00,S,0.86302,0.86329,0.86329,0.86248,-1.0,sl,-0.72,0.56,-1.28,-4.5
2026-03-12 18:15:00,2026-03-12 20:15:00,S,0.86312,0.86255,0.86341,0.86255,2.0,tp,1.54,0.56,0.98,-3.52
2026-03-18 22:40:00,2026-03-18 23:40:00,S,0.86386,0.86416,0.86416,0.86326,-1.0,sl,-0.81,0.56,-1.37,-4.89
2026-03-23 18:15:00,2026-03-23 19:45:00,S,0.86527,0.86425,0.86578,0.86425,2.0,tp,2.74,0.56,2.18,-2.71
2026-03-25 17:05:00,2026-03-26 01:05:00,S,0.86533,0.86516,0.86633,0.86333,0.17,time,0.46,0.56,-0.1,-2.81
2026-03-26 22:10:00,2026-03-26 22:10:00,S,0.86537,0.865,0.86555,0.865,2.0,tp,0.99,0.56,0.43,-2.38
