entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 19:35:00,2023-01-04 03:35:00,S,0.88163,0.88094,0.88243,0.88003,0.863,time,1.85,0.56,1.29,1.29
2023-01-09 14:45:00,2023-01-09 14:50:00,S,0.88026,0.88057,0.88057,0.87965,-1.0,sl,-0.83,0.56,-1.39,-0.1
2023-01-09 15:00:00,2023-01-09 15:00:00,S,0.88047,0.88072,0.88072,0.87997,-1.0,sl,-0.67,0.56,-1.23,-1.33
2023-01-09 16:05:00,2023-01-09 16:30:00,S,0.88126,0.88051,0.88163,0.88051,2.0,tp,2.01,0.56,1.45,0.12
2023-01-09 16:35:00,2023-01-09 17:10:00,S,0.88058,0.88163,0.88163,0.87847,-1.0,sl,-2.83,0.56,-3.39,-3.27
2023-01-11 19:05:00,2023-01-11 19:35:00,L,0.8859,0.8866,0.88555,0.8866,2.0,tp,1.89,0.56,1.33,-1.94
2023-01-11 21:25:00,2023-01-12 00:00:00,L,0.88519,0.88573,0.88492,0.88573,2.0,tp,1.45,0.56,0.89,-1.05
2023-01-17 15:40:00,2023-01-17 15:55:00,S,0.88577,0.88473,0.88629,0.88473,2.0,tp,2.78,0.56,2.22,1.17
2023-01-17 16:00:00,2023-01-17 17:00:00,S,0.88485,0.88197,0.88629,0.88197,2.0,tp,7.75,0.56,7.19,8.36
2023-02-02 16:20:00,2023-02-02 16:30:00,L,0.88945,0.88814,0.88814,0.89206,-1.0,sl,-3.51,0.56,-4.07,4.29
2023-02-02 16:45:00,2023-02-02 17:10:00,L,0.88815,0.88933,0.88756,0.88933,2.0,tp,3.18,0.56,2.62,6.91
2023-02-02 17:40:00,2023-02-02 17:45:00,L,0.88807,0.88907,0.88757,0.88907,2.0,tp,2.69,0.56,2.13,9.04
2023-02-02 17:50:00,2023-02-02 21:45:00,L,0.88899,0.89183,0.88757,0.89183,2.0,tp,7.63,0.56,7.07,16.11
2023-02-06 17:05:00,2023-02-06 17:35:00,L,0.89168,0.89226,0.89139,0.89226,2.0,tp,1.55,0.56,0.99,17.1
2023-02-06 17:40:00,2023-02-07 00:10:00,L,0.89214,0.89139,0.89139,0.89365,-1.0,sl,-2.02,0.56,-2.58,14.52
2023-02-14 16:40:00,2023-02-15 00:40:00,S,0.88276,0.88172,0.88394,0.88039,0.878,time,2.79,0.56,2.23,16.75
2023-02-15 19:25:00,2023-02-16 00:45:00,L,0.88821,0.88771,0.88771,0.88921,-1.0,sl,-1.35,0.56,-1.91,14.84
2023-02-17 14:10:00,2023-02-17 14:25:00,L,0.8904,0.88997,0.88997,0.89127,-1.0,sl,-1.16,0.56,-1.72,13.12
2023-02-21 16:50:00,2023-02-21 17:20:00,S,0.88133,0.88271,0.88271,0.87857,-1.0,sl,-3.71,0.56,-4.27,8.85
2023-02-21 17:30:00,2023-02-21 17:55:00,S,0.88189,0.87981,0.88293,0.87981,2.0,tp,5.58,0.56,5.02,13.87
2023-02-21 18:00:00,2023-02-22 02:00:00,S,0.87996,0.8796,0.88293,0.87403,0.121,time,0.97,0.56,0.41,14.28
2023-02-22 18:00:00,2023-02-23 02:00:00,S,0.88057,0.88033,0.88124,0.87923,0.358,time,0.64,0.56,0.08,14.36
2023-02-28 19:55:00,2023-02-28 20:35:00,S,0.87655,0.87738,0.87738,0.87489,-1.0,sl,-2.23,0.56,-2.79,11.57
2023-02-28 21:55:00,2023-02-28 22:25:00,S,0.87795,0.87833,0.87833,0.87718,-1.0,sl,-1.03,0.56,-1.59,9.98
2023-03-01 19:15:00,2023-03-02 00:00:00,L,0.88716,0.88638,0.88638,0.88871,-1.0,sl,-2.09,0.56,-2.65,7.33
2023-03-02 20:45:00,2023-03-02 21:00:00,L,0.88678,0.88641,0.88641,0.88751,-1.0,sl,-0.98,0.56,-1.54,5.79
2023-03-10 19:40:00,2023-03-13 00:40:00,S,0.88435,0.88519,0.88519,0.88266,-1.0,sl,-2.27,0.56,-2.83,2.96
2023-03-14 18:20:00,2023-03-15 02:20:00,S,0.88194,0.88297,0.8836,0.87862,-0.621,time,-2.77,0.56,-3.33,-0.37
2023-03-15 19:10:00,2023-03-16 03:10:00,S,0.87685,0.87713,0.87791,0.87473,-0.264,time,-0.75,0.56,-1.31,-1.68
2023-03-16 14:10:00,2023-03-16 14:40:00,S,0.88042,0.87783,0.88171,0.87783,2.0,tp,6.96,0.56,6.4,4.72
2023-03-17 18:45:00,2023-03-19 23:00:00,S,0.87637,0.87473,0.87719,0.87473,2.0,tp,4.41,0.56,3.85,8.57
2023-03-22 19:50:00,2023-03-22 20:05:00,L,0.88133,0.88266,0.88067,0.88266,2.0,tp,3.57,0.56,3.01,11.58
2023-03-22 20:10:00,2023-03-23 04:10:00,L,0.88283,0.88553,0.88064,0.88721,1.232,time,7.25,0.56,6.69,18.27
2023-03-24 16:05:00,2023-03-27 01:10:00,S,0.88046,0.88049,0.88142,0.87855,-0.031,time,-0.08,0.56,-0.64,17.63
2023-03-27 16:35:00,2023-03-27 16:40:00,S,0.87986,0.87888,0.88035,0.87888,2.0,tp,2.62,0.56,2.06,19.69
2023-03-27 16:45:00,2023-03-28 00:45:00,S,0.8788,0.87871,0.88035,0.87569,0.058,time,0.24,0.56,-0.32,19.37
2023-03-28 14:05:00,2023-03-28 15:45:00,S,0.87876,0.88029,0.88029,0.8757,-1.0,sl,-4.11,0.56,-4.67,14.7
2023-03-28 17:05:00,2023-03-29 01:05:00,S,0.87925,0.87859,0.88048,0.87678,0.535,time,1.77,0.56,1.21,15.91
2023-04-03 17:35:00,2023-04-04 01:35:00,S,0.87845,0.87786,0.87895,0.87745,1.182,time,1.59,0.56,1.03,16.94
2023-04-04 19:00:00,2023-04-05 03:00:00,S,0.87607,0.87663,0.87713,0.87394,-0.526,time,-1.5,0.56,-2.06,14.88
2023-04-10 16:15:00,2023-04-10 17:35:00,S,0.87818,0.87634,0.8791,0.87634,2.0,tp,4.95,0.56,4.39,19.27
2023-04-21 16:35:00,2023-04-21 17:10:00,L,0.88506,0.88426,0.88426,0.88666,-1.0,sl,-2.15,0.56,-2.71,16.56
2023-04-21 17:30:00,2023-04-21 17:50:00,L,0.88431,0.88517,0.88388,0.88517,2.0,tp,2.3,0.56,1.74,18.3
2023-04-21 21:10:00,2023-04-21 21:15:00,L,0.88313,0.88299,0.88299,0.88342,-1.0,sl,-0.39,0.56,-0.95,17.35
2023-04-21 22:15:00,2023-04-21 22:45:00,L,0.88302,0.88288,0.88288,0.8833,-1.0,sl,-0.38,0.56,-0.94,16.41
2023-04-21 23:00:00,2023-04-24 00:00:00,L,0.88303,0.88272,0.88272,0.88364,-1.0,sl,-0.82,0.56,-1.38,15.03
2023-04-25 18:05:00,2023-04-25 18:55:00,L,0.88536,0.8849,0.8849,0.88628,-1.0,sl,-1.23,0.56,-1.79,13.24
2023-04-25 19:40:00,2023-04-25 20:00:00,L,0.88464,0.88444,0.88444,0.88504,-1.0,sl,-0.54,0.56,-1.1,12.14
2023-04-26 18:30:00,2023-04-26 18:35:00,L,0.88558,0.88521,0.88521,0.88632,-1.0,sl,-1.0,0.56,-1.56,10.58
2023-04-26 19:15:00,2023-04-26 19:30:00,L,0.88506,0.88528,0.88495,0.88528,2.0,tp,0.6,0.56,0.04,10.62
2023-04-26 19:40:00,2023-04-26 20:10:00,L,0.88543,0.88495,0.88495,0.88639,-1.0,sl,-1.29,0.56,-1.85,8.77
2023-04-26 20:40:00,2023-04-27 04:40:00,L,0.88523,0.88555,0.88475,0.88619,0.667,time,0.86,0.56,0.3,9.07
2023-05-01 14:10:00,2023-05-01 14:35:00,S,0.87827,0.87879,0.87879,0.87723,-1.0,sl,-1.4,0.56,-1.96,7.11
2023-05-01 14:45:00,2023-05-01 14:45:00,S,0.87869,0.87897,0.87897,0.87814,-1.0,sl,-0.74,0.56,-1.3,5.81
2023-05-01 15:05:00,2023-05-01 15:10:00,S,0.87913,0.87861,0.87939,0.87861,2.0,tp,1.39,0.56,0.83,6.64
2023-05-01 15:15:00,2023-05-01 23:15:00,S,0.87839,0.87842,0.87939,0.87639,-0.03,time,-0.08,0.56,-0.64,6.0
2023-05-04 15:20:00,2023-05-04 15:30:00,S,0.87979,0.87801,0.88068,0.87801,2.0,tp,4.79,0.56,4.23,10.23
2023-05-09 22:40:00,2023-05-10 00:55:00,S,0.8687,0.86804,0.86903,0.86804,2.0,tp,1.79,0.56,1.23,11.46
2023-05-10 14:05:00,2023-05-10 15:05:00,S,0.86846,0.86796,0.86871,0.86796,2.0,tp,1.35,0.56,0.79,12.25
2023-05-10 15:10:00,2023-05-10 16:25:00,S,0.86804,0.86873,0.86873,0.86667,-1.0,sl,-1.84,0.56,-2.4,9.85
2023-05-10 17:05:00,2023-05-10 17:15:00,S,0.86905,0.86959,0.86959,0.86796,-1.0,sl,-1.46,0.56,-2.02,7.83
2023-05-10 17:30:00,2023-05-10 17:45:00,S,0.8695,0.86991,0.86991,0.86868,-1.0,sl,-1.1,0.56,-1.66,6.17
2023-05-10 18:20:00,2023-05-10 18:30:00,S,0.86954,0.86996,0.86996,0.86871,-1.0,sl,-1.12,0.56,-1.68,4.49
2023-05-10 18:50:00,2023-05-11 01:55:00,S,0.86962,0.87,0.87,0.86887,-1.0,sl,-1.01,0.56,-1.57,2.92
2023-05-12 16:10:00,2023-05-12 17:10:00,S,0.8703,0.87123,0.87123,0.86843,-1.0,sl,-2.51,0.56,-3.07,-0.15
2023-05-16 15:55:00,2023-05-16 16:40:00,S,0.86966,0.86898,0.87,0.86898,2.0,tp,1.84,0.56,1.28,1.13
2023-05-16 16:45:00,2023-05-16 19:25:00,S,0.86845,0.87001,0.87001,0.86533,-1.0,sl,-4.19,0.56,-4.75,-3.62
2023-05-17 22:45:00,2023-05-18 00:00:00,S,0.86784,0.86721,0.86815,0.86721,2.0,tp,1.69,0.56,1.13,-2.49
2023-05-18 21:15:00,2023-05-18 22:10:00,S,0.86829,0.86792,0.86847,0.86792,2.0,tp,0.99,0.56,0.43,-2.06
2023-05-23 21:50:00,2023-05-23 21:55:00,S,0.86803,0.86784,0.86812,0.86784,2.0,tp,0.5,0.56,-0.06,-2.12
2023-05-23 22:00:00,2023-05-24 04:10:00,S,0.86769,0.86682,0.86812,0.86682,2.0,tp,2.34,0.56,1.78,-0.34
2023-05-25 15:05:00,2023-05-25 15:45:00,S,0.86771,0.86811,0.86811,0.86692,-1.0,sl,-1.07,0.56,-1.63,-1.97
2023-05-26 17:20:00,2023-05-26 17:25:00,S,0.86879,0.86847,0.86895,0.86847,2.0,tp,0.87,0.56,0.31,-1.66
2023-05-26 17:50:00,2023-05-26 17:55:00,S,0.8688,0.86797,0.86922,0.86797,2.0,tp,2.24,0.56,1.68,0.02
2023-05-26 18:00:00,2023-05-29 02:05:00,S,0.86809,0.86841,0.86922,0.86583,-0.283,time,-0.86,0.56,-1.42,-1.4
2023-05-30 17:55:00,2023-05-30 20:25:00,S,0.86431,0.86492,0.86492,0.8631,-1.0,sl,-1.63,0.56,-2.19,-3.59
2023-05-30 21:05:00,2023-05-30 22:40:00,S,0.86504,0.86475,0.86518,0.86475,2.0,tp,0.77,0.56,0.21,-3.38
2023-06-01 22:15:00,2023-06-02 01:00:00,S,0.85876,0.85912,0.85912,0.85803,-1.0,sl,-0.97,0.56,-1.53,-4.91
2023-06-07 19:50:00,2023-06-07 20:05:00,S,0.85989,0.86011,0.86011,0.85945,-1.0,sl,-0.59,0.56,-1.15,-6.06
2023-06-07 20:10:00,2023-06-07 20:25:00,S,0.86,0.8602,0.8602,0.8596,-1.0,sl,-0.54,0.56,-1.1,-7.16
2023-06-14 20:40:00,2023-06-14 21:00:00,S,0.85538,0.85588,0.85588,0.85439,-1.0,sl,-1.33,0.56,-1.89,-9.05
2023-06-14 21:05:00,2023-06-15 03:45:00,S,0.85476,0.85597,0.85597,0.85235,-1.0,sl,-3.24,0.56,-3.8,-12.85
2023-06-15 14:15:00,2023-06-15 15:15:00,S,0.85564,0.85656,0.85656,0.8538,-1.0,sl,-2.48,0.56,-3.04,-15.89
2023-06-19 17:10:00,2023-06-19 18:00:00,S,0.85326,0.85361,0.85361,0.85257,-1.0,sl,-0.93,0.56,-1.49,-17.38
2023-06-19 18:05:00,2023-06-19 18:15:00,S,0.85327,0.85369,0.85369,0.85244,-1.0,sl,-1.12,0.56,-1.68,-19.06
2023-06-19 18:40:00,2023-06-19 18:40:00,S,0.85385,0.85371,0.85392,0.85371,2.0,tp,0.38,0.56,-0.18,-19.24
2023-06-23 16:55:00,2023-06-23 17:15:00,S,0.85603,0.85724,0.85724,0.8536,-1.0,sl,-3.26,0.56,-3.82,-23.06
2023-06-23 17:25:00,2023-06-23 17:30:00,S,0.85715,0.85661,0.85742,0.85661,2.0,tp,1.45,0.56,0.89,-22.17
2023-06-23 17:35:00,2023-06-23 19:05:00,S,0.85654,0.85742,0.85742,0.85478,-1.0,sl,-2.36,0.56,-2.92,-25.09
2023-06-23 19:30:00,2023-06-23 20:15:00,S,0.85738,0.85683,0.85765,0.85683,2.0,tp,1.47,0.56,0.91,-24.18
2023-06-23 20:30:00,2023-06-26 00:00:00,S,0.85681,0.85742,0.85742,0.85558,-1.0,sl,-1.65,0.56,-2.21,-26.39
