exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 17:15:00,-3.86,-3.86,996.14,0.0
2023-01-04 01:10:00,-6.18,-10.04,989.96,-0.62
2023-01-04 17:15:00,7.5,-2.54,997.46,0.0
2023-01-05 01:50:00,6.4,3.86,1003.86,0.0
2023-01-05 18:35:00,-5.0,-1.14,998.86,-0.5
2023-01-09 17:30:00,4.76,3.62,1003.62,-0.02
2023-01-09 21:30:00,-3.11,0.51,1000.51,-0.33
2023-01-10 16:05:00,-2.52,-2.01,997.99,-0.58
2023-01-11 01:10:00,0.68,-1.33,998.67,-0.52
2023-01-11 20:25:00,-3.9,-5.23,994.77,-0.91
2023-01-13 15:40:00,4.12,-1.11,998.89,-0.5
2023-01-16 00:55:00,-4.47,-5.58,994.42,-0.94
2023-01-17 17:55:00,9.46,3.88,1003.88,0.0
2023-01-18 02:35:00,-6.46,-2.58,997.42,-0.64
2023-01-18 23:55:00,1.0,-1.58,998.42,-0.54
2023-01-19 15:30:00,-3.44,-5.02,994.98,-0.89
2023-01-19 15:55:00,3.16,-1.86,998.14,-0.57
2023-01-19 20:35:00,-5.18,-7.04,992.96,-1.09
2023-01-20 17:25:00,-5.46,-12.5,987.5,-1.63
2023-01-23 23:35:00,3.11,-9.39,990.61,-1.32
2023-01-24 16:50:00,4.46,-4.93,995.07,-0.88
2023-01-26 16:20:00,4.48,-0.45,999.55,-0.43
2023-01-27 00:35:00,-1.13,-1.58,998.42,-0.54
2023-01-30 19:15:00,-2.39,-3.97,996.03,-0.78
2023-02-01 02:20:00,-0.76,-4.73,995.27,-0.86
2023-02-03 15:30:00,1.18,-3.55,996.45,-0.74
2023-02-03 15:45:00,4.61,1.06,1001.06,-0.28
2023-02-03 17:15:00,12.98,14.04,1014.04,0.0
2023-02-06 01:25:00,1.51,15.55,1015.55,0.0
2023-02-06 15:50:00,3.4,18.95,1018.95,0.0
2023-02-06 18:45:00,-2.4,16.55,1016.55,-0.24
2023-02-09 21:45:00,3.43,19.98,1019.98,0.0
2023-02-10 16:55:00,-5.29,14.69,1014.69,-0.52
2023-02-13 01:20:00,-2.18,12.51,1012.51,-0.73
2023-02-13 17:50:00,5.92,18.43,1018.43,-0.15
2023-02-13 22:40:00,-5.88,12.55,1012.55,-0.73
