symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
EURJPY,2023Q1,72,33,45.83,0.157,1.32,False
EURJPY,2023Q2,59,38,64.41,0.583,2.95,True
EURJPY,2023Q3,64,33,51.56,0.133,1.29,True
EURJPY,2023Q4,68,39,57.35,0.568,2.64,True
EURJPY,2024Q1,76,38,50.0,0.264,1.65,True
EURJPY,2024Q2,77,37,48.05,0.2,1.41,True
EURJPY,2024Q3,71,40,56.34,0.416,2.13,True
EURJPY,2024Q4,74,37,50.0,0.381,2.04,True
EURJPY,2025Q1,81,40,49.38,0.212,1.44,True
EURJPY,2025Q2,63,30,47.62,0.31,1.71,False
EURJPY,2025Q3,66,29,43.94,0.102,1.21,False
EURJPY,2025Q4,68,37,54.41,0.321,1.74,True
EURJPY,2026Q1,25,10,40.0,0.035,1.07,False
