symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
EURJPY,"{'require_h1_rsi_align': True, 'require_macd_align': True}",1124,52.94,0.588,1.76,76.5,43.17
EURJPY,{'require_macd_align': True},1243,50.6,0.518,1.58,76.5,40.84
EURJPY,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",785,52.61,0.578,1.62,70.6,39.91
EURJPY,"{'adx_min': 18.0, 'require_macd_align': True}",995,50.35,0.511,1.48,64.7,34.7
EURJPY,{'require_h1_rsi_align': True},1665,49.37,0.481,1.66,58.8,30.78
EURJPY,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",1329,48.83,0.465,1.56,58.8,30.25
EURJPY,"{'adx_min': 18.0, 'add_vol_confirm': True}",1649,47.36,0.421,1.45,52.9,25.83
EURJPY,{'adx_min': 22.0},1190,47.31,0.419,1.47,52.9,25.78
EURJPY,{'adx_min': 18.0},1520,46.78,0.403,1.43,52.9,25.25
EURJPY,{},1874,46.85,0.406,1.49,47.1,22.38
EURJPY,{'add_vol_confirm': True},2034,47.05,0.412,1.5,41.2,19.64
