entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 14:30:00,2023-01-03 16:50:00,S,137.992,137.7175,138.12925,137.7175,2.0,tp,3.45,0.36,3.09,3.09
2023-01-03 18:00:00,2023-01-04 01:10:00,S,137.998,138.35281,138.35281,137.28838,-1.0,sl,-4.46,0.36,-4.82,-1.73
2023-01-05 20:10:00,2023-01-06 03:10:00,L,140.344,140.78853,140.12173,140.78853,2.0,tp,5.58,0.36,5.22,3.49
2023-01-06 19:25:00,2023-01-09 03:30:00,L,140.511,140.535,140.28341,140.96619,0.105,time,0.3,0.36,-0.06,3.43
2023-01-09 22:00:00,2023-01-09 22:40:00,L,141.453,141.59875,141.38013,141.59875,2.0,tp,1.83,0.36,1.47,4.9
2023-01-09 22:45:00,2023-01-10 01:30:00,L,141.581,141.38441,141.38441,141.97419,-1.0,sl,-2.47,0.36,-2.83,2.07
2023-01-11 18:30:00,2023-01-11 18:55:00,L,142.443,142.35781,142.35781,142.61338,-1.0,sl,-1.07,0.36,-1.43,0.64
2023-01-11 19:35:00,2023-01-11 20:25:00,L,142.449,142.34701,142.34701,142.65299,-1.0,sl,-1.28,0.36,-1.64,-1.0
2023-01-11 21:05:00,2023-01-11 21:40:00,L,142.298,142.43287,142.23057,142.43287,2.0,tp,1.69,0.36,1.33,0.33
2023-01-13 21:25:00,2023-01-13 21:55:00,S,138.42,138.504,138.504,138.252,-1.0,sl,-1.06,0.36,-1.42,-1.09
2023-01-16 19:25:00,2023-01-16 19:30:00,S,139.267,139.20667,139.29716,139.20667,2.0,tp,0.76,0.36,0.4,-0.69
2023-01-16 20:00:00,2023-01-17 01:00:00,S,139.177,138.93711,139.29694,138.93711,2.0,tp,3.01,0.36,2.65,1.96
2023-01-17 21:30:00,2023-01-18 02:35:00,S,138.479,138.65742,138.65742,138.12216,-1.0,sl,-2.24,0.36,-2.6,-0.64
2023-01-19 14:10:00,2023-01-19 15:50:00,S,139.146,138.84229,139.29785,138.84229,2.0,tp,3.81,0.36,3.45,2.81
2023-01-20 20:50:00,2023-01-23 04:55:00,L,140.619,140.711,140.45169,140.95361,0.55,time,1.16,0.36,0.8,3.61
2023-01-23 22:05:00,2023-01-24 02:35:00,L,141.916,141.78106,141.78106,142.18587,-1.0,sl,-1.69,0.36,-2.05,1.56
2023-01-30 16:25:00,2023-01-30 19:15:00,L,141.731,141.58848,141.58848,142.01604,-1.0,sl,-1.79,0.36,-2.15,-0.59
2023-01-30 19:45:00,2023-01-30 20:05:00,L,141.588,141.54788,141.54788,141.66825,-1.0,sl,-0.5,0.36,-0.86,-1.45
2023-01-30 20:20:00,2023-01-30 20:35:00,L,141.563,141.5038,141.5038,141.6814,-1.0,sl,-0.74,0.36,-1.1,-2.55
2023-01-30 20:55:00,2023-01-30 21:05:00,L,141.554,141.49654,141.49654,141.66892,-1.0,sl,-0.72,0.36,-1.08,-3.63
2023-01-30 21:25:00,2023-01-30 21:55:00,L,141.482,141.58375,141.43112,141.58375,2.0,tp,1.28,0.36,0.92,-2.71
2023-01-30 22:00:00,2023-01-31 00:35:00,L,141.598,141.43082,141.43082,141.93235,-1.0,sl,-2.1,0.36,-2.46,-5.17
2023-02-01 14:30:00,2023-02-01 15:15:00,L,141.351,141.24265,141.24265,141.56771,-1.0,sl,-1.36,0.36,-1.72,-6.89
2023-02-03 20:35:00,2023-02-03 21:50:00,L,141.725,141.62516,141.62516,141.92467,-1.0,sl,-1.25,0.36,-1.61,-8.5
2023-02-03 22:10:00,2023-02-03 22:20:00,L,141.612,141.55046,141.55046,141.73507,-1.0,sl,-0.77,0.36,-1.13,-9.63
2023-02-06 20:10:00,2023-02-06 20:15:00,L,142.264,142.20097,142.20097,142.39006,-1.0,sl,-0.79,0.36,-1.15,-10.78
2023-02-06 20:25:00,2023-02-06 21:00:00,L,142.24,142.19545,142.19545,142.32909,-1.0,sl,-0.56,0.36,-0.92,-11.7
2023-02-06 21:10:00,2023-02-06 21:15:00,L,142.245,142.18129,142.18129,142.37241,-1.0,sl,-0.8,0.36,-1.16,-12.86
2023-02-06 22:20:00,2023-02-07 02:25:00,L,142.212,142.10066,142.10066,142.43467,-1.0,sl,-1.4,0.36,-1.76,-14.62
2023-02-10 17:30:00,2023-02-10 18:10:00,S,140.28,140.41735,140.41735,140.00531,-1.0,sl,-1.73,0.36,-2.09,-16.71
2023-02-10 18:40:00,2023-02-13 01:20:00,S,140.299,140.44358,140.44358,140.00984,-1.0,sl,-1.82,0.36,-2.18,-18.89
2023-02-13 20:00:00,2023-02-13 20:05:00,L,142.091,142.00073,142.00073,142.27153,-1.0,sl,-1.13,0.36,-1.49,-20.38
2023-02-13 20:25:00,2023-02-13 20:30:00,L,142.002,142.05312,141.97644,142.05312,2.0,tp,0.64,0.36,0.28,-20.1
2023-02-13 20:35:00,2023-02-13 21:15:00,L,142.08,141.97632,141.97632,142.28736,-1.0,sl,-1.3,0.36,-1.66,-21.76
2023-02-13 22:50:00,2023-02-13 22:55:00,L,141.897,141.84331,141.84331,142.00437,-1.0,sl,-0.67,0.36,-1.03,-22.79
2023-02-14 15:35:00,2023-02-14 23:35:00,L,142.263,142.864,141.87053,143.04795,1.531,time,7.55,0.36,7.19,-15.6
2023-02-16 18:50:00,2023-02-16 20:40:00,L,143.111,143.04459,143.04459,143.24383,-1.0,sl,-0.83,0.36,-1.19,-16.79
2023-02-17 15:15:00,2023-02-17 20:15:00,L,143.165,143.4712,143.0119,143.4712,2.0,tp,3.85,0.36,3.49,-13.3
2023-02-21 21:30:00,2023-02-21 21:45:00,L,143.579,143.6748,143.5311,143.6748,2.0,tp,1.2,0.36,0.84,-12.46
2023-02-21 22:05:00,2023-02-22 02:50:00,L,143.693,143.53087,143.53087,144.01726,-1.0,sl,-2.04,0.36,-2.4,-14.86
2023-03-01 14:15:00,2023-03-01 14:25:00,L,144.383,144.56057,144.29421,144.56057,2.0,tp,2.23,0.36,1.87,-12.99
2023-03-01 14:30:00,2023-03-01 16:10:00,L,144.532,145.00881,144.2936,145.00881,2.0,tp,5.99,0.36,5.63,-7.36
2023-03-02 17:05:00,2023-03-02 20:50:00,L,144.906,144.78787,144.78787,145.14225,-1.0,sl,-1.48,0.36,-1.84,-9.2
2023-03-10 16:00:00,2023-03-10 16:25:00,L,144.727,144.26837,144.26837,145.64425,-1.0,sl,-5.76,0.36,-6.12,-15.32
2023-03-14 21:50:00,2023-03-15 01:10:00,L,143.987,144.20043,143.88029,144.20043,2.0,tp,2.68,0.36,2.32,-13.0
2023-03-15 21:40:00,2023-03-16 05:40:00,S,141.097,140.676,141.59219,140.10662,0.85,time,5.29,0.36,4.93,-8.07
2023-03-16 18:45:00,2023-03-16 18:45:00,S,141.23,141.37909,141.37909,140.93182,-1.0,sl,-1.87,0.36,-2.23,-10.3
