entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-25 16:10:00,2026-02-25 16:45:00,L,184.503,184.40966,184.40966,184.68968,-1.0,sl,-1.17,0.36,-1.53,-1.53
2026-02-25 17:00:00,2026-02-26 01:00:00,L,184.584,184.589,184.37678,184.99843,0.024,time,0.06,0.36,-0.3,-1.83
2026-03-02 19:10:00,2026-03-02 22:45:00,L,184.168,183.87069,183.87069,184.76263,-1.0,sl,-3.73,0.36,-4.09,-5.92
2026-03-13 15:05:00,2026-03-13 15:35:00,S,182.869,182.76417,182.92142,182.76417,2.0,tp,1.32,0.36,0.96,-4.96
2026-03-13 15:45:00,2026-03-13 21:10:00,S,182.765,182.44732,182.92384,182.44732,2.0,tp,3.99,0.36,3.63,-1.33
2026-03-23 20:00:00,2026-03-23 20:05:00,L,183.821,183.79218,183.79218,183.87863,-1.0,sl,-0.36,0.36,-0.72,-2.05
2026-03-25 16:20:00,2026-03-25 17:35:00,L,184.286,184.10022,184.10022,184.65755,-1.0,sl,-2.33,0.36,-2.69,-4.74
2026-03-27 15:30:00,2026-03-30 00:35:00,L,184.289,184.399,183.97424,184.91851,0.349,time,1.38,0.36,1.02,-3.72
2026-03-31 19:05:00,2026-04-01 03:05:00,L,183.315,183.473,183.05885,183.82731,0.617,time,1.98,0.36,1.62,-2.1
2026-04-01 15:35:00,2026-04-01 16:30:00,L,183.818,184.16259,183.6457,184.16259,2.0,tp,4.33,0.36,3.97,1.87
2026-04-08 15:25:00,2026-04-08 16:05:00,L,185.076,184.98601,184.98601,185.25599,-1.0,sl,-1.13,0.36,-1.49,0.38
2026-04-08 16:10:00,2026-04-08 18:15:00,L,185.038,185.21149,184.95125,185.21149,2.0,tp,2.18,0.36,1.82,2.2
2026-04-14 17:45:00,2026-04-15 01:45:00,L,187.369,187.319,187.17763,187.75175,-0.261,time,-0.63,0.36,-0.99,1.21
2026-04-27 17:45:00,2026-04-27 17:50:00,L,186.897,186.86149,186.86149,186.96801,-1.0,sl,-0.45,0.36,-0.81,0.4
2026-04-27 18:00:00,2026-04-28 00:00:00,L,186.862,186.7917,186.7917,187.00261,-1.0,sl,-0.88,0.36,-1.24,-0.84
2026-04-28 17:10:00,2026-04-28 18:00:00,L,186.591,186.85335,186.45983,186.85335,2.0,tp,3.3,0.36,2.94,2.1
2026-05-01 16:25:00,2026-05-01 16:50:00,S,184.132,183.94684,184.22458,183.94684,2.0,tp,2.33,0.36,1.97,4.07
2026-05-01 16:55:00,2026-05-01 17:05:00,S,184.092,184.22917,184.22917,183.81767,-1.0,sl,-1.72,0.36,-2.08,1.99
2026-05-01 18:25:00,2026-05-01 19:00:00,S,184.38,184.22775,184.45613,184.22775,2.0,tp,1.91,0.36,1.55,3.54
2026-05-01 19:15:00,2026-05-04 01:00:00,S,184.279,183.93621,184.45039,183.93621,2.0,tp,4.31,0.36,3.95,7.49
2026-05-06 19:10:00,2026-05-06 19:55:00,S,183.846,183.72632,183.90584,183.72632,2.0,tp,1.5,0.36,1.14,8.63
2026-05-06 20:00:00,2026-05-07 04:00:00,S,183.71,183.635,183.90544,183.31912,0.384,time,0.94,0.36,0.58,9.21
2026-05-12 15:15:00,2026-05-12 16:15:00,L,185.033,184.95518,184.95518,185.18865,-1.0,sl,-0.98,0.36,-1.34,7.87
2026-05-12 18:05:00,2026-05-13 02:05:00,L,184.956,185.016,184.86093,185.14613,0.631,time,0.75,0.36,0.39,8.26
2026-05-15 17:45:00,2026-05-15 23:50:00,S,184.52,184.60344,184.60344,184.35311,-1.0,sl,-1.05,0.36,-1.41,6.85
2026-05-18 15:10:00,2026-05-18 19:30:00,L,184.924,185.14683,184.81258,185.14683,2.0,tp,2.8,0.36,2.44,9.29
2026-05-20 15:20:00,2026-05-20 17:15:00,S,184.431,184.52303,184.52303,184.24695,-1.0,sl,-1.16,0.36,-1.52,7.77
2026-05-22 16:25:00,2026-05-22 17:00:00,S,184.669,184.54121,184.7329,184.54121,2.0,tp,1.61,0.36,1.25,9.02
2026-05-22 17:05:00,2026-05-22 18:50:00,S,184.496,184.73478,184.73478,184.01844,-1.0,sl,-3.0,0.36,-3.36,5.66
2026-05-25 17:05:00,2026-05-25 19:10:00,L,184.993,184.94583,184.94583,185.08733,-1.0,sl,-0.59,0.36,-0.95,4.71
2026-05-25 19:25:00,2026-05-25 19:35:00,L,184.955,184.93025,184.93025,185.0045,-1.0,sl,-0.31,0.36,-0.67,4.04
2026-05-26 16:50:00,2026-05-26 16:50:00,L,185.223,185.1531,185.1531,185.3628,-1.0,sl,-0.88,0.36,-1.24,2.8
2026-05-26 17:35:00,2026-05-26 23:00:00,L,185.139,185.31349,185.05175,185.31349,2.0,tp,2.19,0.36,1.83,4.63
