entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2025-01-22 16:35:00,2025-01-22 18:25:00,L,162.614,163.01996,162.41102,163.01996,2.0,tp,5.1,0.36,4.74,4.74
2025-01-23 19:05:00,2025-01-24 03:05:00,L,162.619,162.703,162.17885,163.49931,0.191,time,1.06,0.36,0.7,5.44
2025-01-27 15:50:00,2025-01-27 16:10:00,S,162.301,162.0794,162.4118,162.0794,2.0,tp,2.78,0.36,2.42,7.86
2025-01-27 16:15:00,2025-01-28 00:15:00,S,162.073,162.129,162.411,161.39701,-0.166,time,-0.7,0.36,-1.06,6.8
2025-01-29 19:35:00,2025-01-29 21:40:00,S,161.639,161.82173,161.82173,161.27354,-1.0,sl,-2.3,0.36,-2.66,4.14
2025-01-30 16:45:00,2025-01-31 00:45:00,S,160.627,160.212,161.10156,159.67787,0.874,time,5.21,0.36,4.85,8.99
2025-01-31 16:05:00,2025-01-31 17:55:00,S,160.672,161.01128,161.01128,159.99344,-1.0,sl,-4.26,0.36,-4.62,4.37
2025-02-03 15:55:00,2025-02-03 16:35:00,S,158.763,158.38872,158.95014,158.38872,2.0,tp,4.7,0.36,4.34,8.71
2025-02-03 18:50:00,2025-02-03 23:35:00,S,159.175,159.75779,159.75779,158.00942,-1.0,sl,-7.32,0.36,-7.68,1.03
2025-02-05 15:10:00,2025-02-05 15:15:00,S,159.242,159.34651,159.34651,159.03298,-1.0,sl,-1.31,0.36,-1.67,-0.64
2025-02-05 15:30:00,2025-02-05 16:00:00,S,159.285,159.44825,159.44825,158.95851,-1.0,sl,-2.05,0.36,-2.41,-3.05
2025-02-05 16:25:00,2025-02-05 16:50:00,S,159.499,159.28952,159.60374,159.28952,2.0,tp,2.63,0.36,2.27,-0.78
2025-02-05 16:55:00,2025-02-05 17:15:00,S,159.312,158.72831,159.60384,158.72831,2.0,tp,7.33,0.36,6.97,6.19
2025-02-14 15:35:00,2025-02-14 23:35:00,S,159.704,159.804,160.27158,158.56885,-0.176,time,-1.26,0.36,-1.62,4.57
2025-02-18 19:05:00,2025-02-18 22:50:00,S,158.669,158.8365,158.8365,158.33401,-1.0,sl,-2.1,0.36,-2.46,2.11
2025-02-21 16:15:00,2025-02-21 16:45:00,S,157.489,157.08887,157.68906,157.08887,2.0,tp,5.03,0.36,4.67,6.78
2025-02-24 19:50:00,2025-02-24 20:00:00,S,156.781,156.61582,156.86359,156.61582,2.0,tp,2.07,0.36,1.71,8.49
2025-02-25 16:10:00,2025-02-26 00:10:00,S,156.814,156.659,157.31523,155.81155,0.309,time,1.95,0.36,1.59,10.08
2025-03-07 16:25:00,2025-03-07 17:40:00,L,159.983,159.55545,159.55545,160.83809,-1.0,sl,-5.37,0.36,-5.73,4.35
2025-03-12 16:10:00,2025-03-12 16:30:00,L,161.847,161.64322,161.64322,162.25456,-1.0,sl,-2.56,0.36,-2.92,1.43
2025-03-12 16:45:00,2025-03-12 17:25:00,L,161.771,162.10119,161.60591,162.10119,2.0,tp,4.15,0.36,3.79,5.22
2025-03-18 15:10:00,2025-03-18 15:40:00,L,163.495,163.31363,163.31363,163.85774,-1.0,sl,-2.28,0.36,-2.64,2.58
2025-03-18 15:50:00,2025-03-18 16:00:00,L,163.4,163.17872,163.17872,163.84256,-1.0,sl,-2.78,0.36,-3.14,-0.56
2025-03-18 16:10:00,2025-03-18 16:15:00,L,163.288,163.09721,163.09721,163.66959,-1.0,sl,-2.4,0.36,-2.76,-3.32
2025-03-18 16:35:00,2025-03-18 17:05:00,L,163.31,163.03653,163.03653,163.85694,-1.0,sl,-3.43,0.36,-3.79,-7.11
2025-03-18 17:15:00,2025-03-18 18:10:00,L,163.179,163.5523,162.99235,163.5523,2.0,tp,4.69,0.36,4.33,-2.78
2025-03-27 15:50:00,2025-03-27 17:50:00,L,162.64,163.15408,162.38296,163.15408,2.0,tp,6.46,0.36,6.1,3.32
2025-04-03 17:20:00,2025-04-03 20:45:00,L,161.696,161.08802,161.08802,162.91195,-1.0,sl,-7.64,0.36,-8.0,-4.68
2025-04-10 15:05:00,2025-04-10 17:55:00,L,161.214,161.77152,160.93524,161.77152,2.0,tp,7.0,0.36,6.64,1.96
2025-04-11 15:10:00,2025-04-11 23:10:00,L,162.059,162.861,161.48597,163.20506,1.4,time,10.07,0.36,9.71,11.67
2025-04-14 16:45:00,2025-04-14 16:50:00,L,162.731,162.60418,162.60418,162.98464,-1.0,sl,-1.59,0.36,-1.95,9.72
2025-04-14 17:10:00,2025-04-14 18:30:00,L,162.817,162.54273,162.54273,163.36554,-1.0,sl,-3.44,0.36,-3.8,5.92
2025-04-16 17:05:00,2025-04-16 18:05:00,L,161.912,162.23983,161.74808,162.23983,2.0,tp,4.12,0.36,3.76,9.68
2025-04-23 15:20:00,2025-04-23 15:30:00,L,161.674,161.58935,161.58935,161.8433,-1.0,sl,-1.06,0.36,-1.42,8.26
2025-04-23 15:50:00,2025-04-23 17:45:00,L,161.744,162.10456,161.56372,162.10456,2.0,tp,4.53,0.36,4.17,12.43
2025-04-24 16:20:00,2025-04-24 19:55:00,L,162.011,162.33261,161.85019,162.33261,2.0,tp,4.04,0.36,3.68,16.11
2025-04-30 16:00:00,2025-04-30 16:10:00,L,162.362,162.24271,162.24271,162.60059,-1.0,sl,-1.5,0.36,-1.86,14.25
2025-05-07 17:00:00,2025-05-07 20:50:00,L,162.783,162.60685,162.60685,163.13531,-1.0,sl,-2.21,0.36,-2.57,11.68
2025-05-12 19:15:00,2025-05-12 21:35:00,L,164.619,164.41767,164.41767,165.02166,-1.0,sl,-2.53,0.36,-2.89,8.79
2025-05-20 16:20:00,2025-05-21 00:20:00,L,162.722,163.011,162.45026,163.26548,1.064,time,3.63,0.36,3.27,12.06
2025-05-21 16:15:00,2025-05-21 22:25:00,L,162.839,162.68767,162.68767,163.14166,-1.0,sl,-1.9,0.36,-2.26,9.8
2025-05-26 17:55:00,2025-05-26 18:25:00,L,162.506,162.56409,162.47696,162.56409,2.0,tp,0.73,0.36,0.37,10.17
2025-05-26 18:30:00,2025-05-26 19:25:00,L,162.552,162.47714,162.47714,162.70173,-1.0,sl,-0.94,0.36,-1.3,8.87
2025-05-27 18:15:00,2025-05-27 18:15:00,L,163.596,163.56264,163.56264,163.66271,-1.0,sl,-0.42,0.36,-0.78,8.09
2025-05-27 19:35:00,2025-05-27 21:05:00,L,163.592,163.48999,163.48999,163.79603,-1.0,sl,-1.28,0.36,-1.64,6.45
2025-05-29 15:15:00,2025-05-29 15:50:00,L,163.489,163.80978,163.32861,163.80978,2.0,tp,4.03,0.36,3.67,10.12
2025-06-04 16:00:00,2025-06-04 17:00:00,L,163.779,163.69589,163.69589,163.94522,-1.0,sl,-1.04,0.36,-1.4,8.72
2025-06-11 16:05:00,2025-06-11 16:40:00,L,165.886,166.27809,165.68996,166.27809,2.0,tp,4.92,0.36,4.56,13.28
2025-06-11 19:10:00,2025-06-11 19:40:00,L,166.012,166.16824,165.93388,166.16824,2.0,tp,1.96,0.36,1.6,14.88
2025-06-11 19:45:00,2025-06-11 21:10:00,L,166.153,165.9331,165.9331,166.59281,-1.0,sl,-2.76,0.36,-3.12,11.76
2025-06-12 16:55:00,2025-06-12 17:35:00,L,166.214,166.43302,166.10449,166.43302,2.0,tp,2.75,0.36,2.39,14.15
2025-06-12 17:45:00,2025-06-13 01:45:00,L,166.339,166.246,166.10408,166.80884,-0.396,time,-1.17,0.36,-1.53,12.62
2025-06-16 15:05:00,2025-06-16 21:30:00,L,166.882,167.26831,166.68885,167.26831,2.0,tp,4.85,0.36,4.49,17.11
2025-06-17 15:05:00,2025-06-17 18:30:00,L,167.305,167.09805,167.09805,167.71889,-1.0,sl,-2.6,0.36,-2.96,14.15
2025-06-17 18:35:00,2025-06-17 19:40:00,L,167.175,167.08926,167.08926,167.34648,-1.0,sl,-1.08,0.36,-1.44,12.71
2025-06-19 17:10:00,2025-06-20 01:10:00,L,166.993,167.289,166.80568,167.36764,1.58,time,3.72,0.36,3.36,16.07
2025-06-23 16:30:00,2025-06-23 18:10:00,L,169.075,168.90839,168.90839,169.40822,-1.0,sl,-2.09,0.36,-2.45,13.62
2025-06-23 19:45:00,2025-06-24 03:45:00,L,168.979,168.968,168.72004,169.49691,-0.042,time,-0.14,0.36,-0.5,13.12
2025-07-02 16:10:00,2025-07-02 16:20:00,L,169.162,169.43024,169.02788,169.43024,2.0,tp,3.37,0.36,3.01,16.13
2025-07-02 16:50:00,2025-07-03 00:50:00,L,169.374,169.303,169.02767,170.06666,-0.205,time,-0.89,0.36,-1.25,14.88
2025-07-03 15:10:00,2025-07-03 15:30:00,L,169.572,169.51746,169.51746,169.68108,-1.0,sl,-0.68,0.36,-1.04,13.84
2025-07-03 15:35:00,2025-07-03 23:35:00,L,169.975,170.419,169.4802,170.96459,0.897,time,5.58,0.36,5.22,19.06
2025-07-25 15:10:00,2025-07-25 15:30:00,L,173.097,173.19806,173.04647,173.19806,2.0,tp,1.27,0.36,0.91,19.97
2025-07-25 15:35:00,2025-07-25 16:05:00,L,173.202,173.04592,173.04592,173.51416,-1.0,sl,-1.96,0.36,-2.32,17.65
2025-07-25 16:30:00,2025-07-28 00:00:00,L,173.218,173.69259,172.9807,173.69259,2.0,tp,5.96,0.36,5.6,23.25
2025-08-07 15:05:00,2025-08-07 15:25:00,L,171.576,171.4737,171.4737,171.78059,-1.0,sl,-1.28,0.36,-1.64,21.61
2025-08-07 16:00:00,2025-08-07 17:10:00,L,171.611,171.40125,171.40125,172.03051,-1.0,sl,-2.63,0.36,-2.99,18.62
2025-08-12 19:50:00,2025-08-12 21:15:00,L,172.56,172.42871,172.42871,172.82258,-1.0,sl,-1.65,0.36,-2.01,16.61
2025-08-19 17:50:00,2025-08-19 19:00:00,L,172.425,172.21436,172.21436,172.84628,-1.0,sl,-2.65,0.36,-3.01,13.6
2025-08-21 15:40:00,2025-08-21 16:30:00,L,172.098,171.96405,171.96405,172.36589,-1.0,sl,-1.68,0.36,-2.04,11.56
2025-08-21 17:05:00,2025-08-22 01:05:00,L,171.911,172.228,171.72447,172.28405,1.699,time,3.98,0.36,3.62,15.18
2025-08-22 17:00:00,2025-08-22 17:00:00,L,172.382,172.30775,172.30775,172.5305,-1.0,sl,-0.93,0.36,-1.29,13.89
2025-08-28 15:05:00,2025-08-28 23:05:00,L,171.451,171.676,171.25635,171.8403,1.156,time,2.83,0.36,2.47,16.36
2025-08-29 15:40:00,2025-08-29 19:15:00,L,171.702,171.96944,171.56828,171.96944,2.0,tp,3.36,0.36,3.0,19.36
2025-09-01 19:35:00,2025-09-01 22:55:00,L,172.29,172.3845,172.24275,172.3845,2.0,tp,1.19,0.36,0.83,20.19
2025-09-02 17:50:00,2025-09-02 22:15:00,L,172.791,172.62483,172.62483,173.12334,-1.0,sl,-2.09,0.36,-2.45,17.74
2025-09-11 15:45:00,2025-09-11 23:45:00,L,172.781,172.772,172.49623,173.35054,-0.032,time,-0.11,0.36,-0.47,17.27
2025-09-12 15:05:00,2025-09-12 15:40:00,L,173.327,173.19696,173.19696,173.58708,-1.0,sl,-1.63,0.36,-1.99,15.28
2025-09-12 16:10:00,2025-09-12 16:15:00,L,173.174,173.12429,173.12429,173.27342,-1.0,sl,-0.62,0.36,-0.98,14.3
2025-09-12 16:50:00,2025-09-12 17:00:00,L,173.05,173.00044,173.00044,173.14911,-1.0,sl,-0.62,0.36,-0.98,13.32
2025-09-12 17:30:00,2025-09-15 00:00:00,L,173.149,172.9636,172.9636,173.51981,-1.0,sl,-2.33,0.36,-2.69,10.63
2025-09-18 17:00:00,2025-09-18 17:15:00,L,174.216,174.40091,174.12355,174.40091,2.0,tp,2.32,0.36,1.96,12.59
2025-09-18 17:25:00,2025-09-19 01:25:00,L,174.414,174.362,174.12218,174.99764,-0.178,time,-0.65,0.36,-1.01,11.58
2025-09-22 17:55:00,2025-09-22 18:00:00,L,174.097,174.00252,174.00252,174.28595,-1.0,sl,-1.19,0.36,-1.55,10.03
2025-09-22 18:20:00,2025-09-22 19:10:00,L,174.031,174.15525,173.96888,174.15525,2.0,tp,1.56,0.36,1.2,11.23
2025-09-25 17:05:00,2025-09-25 18:25:00,L,174.619,174.82575,174.51562,174.82575,2.0,tp,2.6,0.36,2.24,13.47
2025-09-26 15:30:00,2025-09-26 15:35:00,L,174.817,174.72165,174.72165,175.00771,-1.0,sl,-1.2,0.36,-1.56,11.91
2025-10-03 15:05:00,2025-10-03 17:00:00,L,172.856,172.78441,172.78441,172.99919,-1.0,sl,-0.9,0.36,-1.26,10.65
2025-10-06 15:50:00,2025-10-06 17:30:00,L,175.141,175.51681,174.9531,175.51681,2.0,tp,4.72,0.36,4.36,15.01
2025-10-08 18:15:00,2025-10-08 19:10:00,L,177.296,177.19285,177.19285,177.5023,-1.0,sl,-1.3,0.36,-1.66,13.35
2025-10-08 19:35:00,2025-10-08 20:45:00,L,177.238,177.3653,177.17435,177.3653,2.0,tp,1.6,0.36,1.24,14.59
2025-10-16 16:00:00,2025-10-16 17:05:00,L,176.184,176.03979,176.03979,176.47241,-1.0,sl,-1.81,0.36,-2.17,12.42
2025-10-21 17:20:00,2025-10-22 01:20:00,L,176.092,176.184,175.8251,176.62581,0.345,time,1.16,0.36,0.8,13.22
2025-10-30 15:25:00,2025-10-30 17:45:00,L,178.477,178.21292,178.21292,179.00516,-1.0,sl,-3.32,0.36,-3.68,9.54
2025-10-30 18:00:00,2025-10-30 18:20:00,L,178.284,178.2021,178.2021,178.44781,-1.0,sl,-1.03,0.36,-1.39,8.15
2025-10-30 18:35:00,2025-10-30 19:10:00,L,178.275,178.17691,178.17691,178.47119,-1.0,sl,-1.23,0.36,-1.59,6.56
2025-10-30 19:25:00,2025-10-30 19:25:00,L,178.171,178.22922,178.14189,178.22922,2.0,tp,0.73,0.36,0.37,6.93
2025-10-30 19:35:00,2025-10-31 01:40:00,L,178.235,178.1416,178.1416,178.4218,-1.0,sl,-1.17,0.36,-1.53,5.4
2025-11-07 15:05:00,2025-11-07 15:20:00,L,176.93,177.06395,176.86303,177.06395,2.0,tp,1.68,0.36,1.32,6.72
2025-11-07 15:25:00,2025-11-07 16:20:00,L,177.101,177.57739,176.8628,177.57739,2.0,tp,5.98,0.36,5.62,12.34
2025-11-10 19:40:00,2025-11-10 21:55:00,L,177.854,178.10977,177.72612,178.10977,2.0,tp,3.21,0.36,2.85,15.19
2025-11-11 15:50:00,2025-11-11 16:25:00,L,178.327,178.48308,178.24896,178.48308,2.0,tp,1.96,0.36,1.6,16.79
2025-11-11 16:30:00,2025-11-12 00:30:00,L,178.453,178.499,178.25891,178.84118,0.237,time,0.58,0.36,0.22,17.01
2025-11-12 19:15:00,2025-11-12 22:50:00,L,179.2,179.3237,179.13815,179.3237,2.0,tp,1.55,0.36,1.19,18.2
2025-11-13 17:15:00,2025-11-13 17:45:00,L,179.615,179.45387,179.45387,179.93726,-1.0,sl,-2.02,0.36,-2.38,15.82
2025-11-13 18:00:00,2025-11-13 18:10:00,L,179.473,179.63853,179.39023,179.63853,2.0,tp,2.08,0.36,1.72,17.54
2025-11-13 18:15:00,2025-11-14 02:15:00,L,179.65,179.834,179.38948,180.17104,0.706,time,2.31,0.36,1.95,19.49
2025-11-17 16:05:00,2025-11-17 17:05:00,L,179.543,179.72433,179.45234,179.72433,2.0,tp,2.28,0.36,1.92,21.41
2025-11-18 18:10:00,2025-11-18 19:30:00,L,179.875,180.08142,179.77179,180.08142,2.0,tp,2.59,0.36,2.23,23.64
