exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 16:20:00,-1.47,-1.47,998.53,0.0
2023-01-03 18:10:00,4.25,2.78,1002.78,0.0
2023-01-05 01:05:00,2.68,5.46,1005.46,0.0
2023-01-06 15:30:00,-4.28,1.18,1001.18,-0.43
2023-01-06 17:35:00,-5.49,-4.31,995.69,-0.97
2023-01-09 17:45:00,6.68,2.37,1002.37,-0.31
2023-01-11 00:00:00,-3.46,-1.09,998.91,-0.65
2023-01-13 00:15:00,-2.39,-3.48,996.52,-0.89
2023-01-19 17:10:00,-3.68,-7.16,992.84,-1.26
2023-01-20 00:05:00,7.41,0.25,1000.25,-0.52
2023-01-23 00:50:00,10.29,10.54,1010.54,0.0
2023-01-25 01:15:00,0.25,10.79,1010.79,0.0
2023-02-01 00:15:00,-3.75,7.04,1007.04,-0.37
2023-02-01 16:35:00,5.24,12.28,1012.28,0.0
2023-02-06 17:30:00,7.77,20.05,1020.05,0.0
2023-02-10 15:40:00,3.7,23.75,1023.75,0.0
2023-02-15 01:05:00,-3.73,20.02,1020.02,-0.36
2023-02-21 19:25:00,-6.63,13.39,1013.39,-1.01
2023-02-24 16:30:00,0.88,14.27,1014.27,-0.93
2023-02-24 17:30:00,-4.59,9.68,1009.68,-1.37
2023-03-08 23:50:00,7.89,17.57,1017.57,-0.6
2023-03-10 17:55:00,-8.12,9.45,1009.45,-1.4
2023-03-10 23:50:00,7.38,16.83,1016.83,-0.68
2023-03-13 23:00:00,-7.38,9.45,1009.45,-1.4
2023-03-15 18:55:00,-2.89,6.56,1006.56,-1.68
2023-03-15 19:35:00,-2.18,4.38,1004.38,-1.89
2023-03-15 19:55:00,-1.27,3.11,1003.11,-2.02
2023-03-15 20:25:00,1.3,4.41,1004.41,-1.89
2023-03-17 16:40:00,3.24,7.65,1007.65,-1.57
2023-03-19 23:10:00,-6.12,1.53,1001.53,-2.17
2023-03-22 02:25:00,-0.69,0.84,1000.84,-2.24
2023-03-28 02:00:00,-0.83,0.01,1000.01,-2.32
2023-03-29 01:05:00,3.14,3.15,1003.15,-2.01
2023-03-31 00:00:00,-3.03,0.12,1000.12,-2.31
2023-04-10 18:05:00,6.12,6.24,1006.24,-1.71
2023-04-11 16:50:00,-3.34,2.9,1002.9,-2.04
2023-04-12 00:00:00,-3.34,-0.44,999.56,-2.36
2023-04-20 15:25:00,-2.69,-3.13,996.87,-2.63
2023-05-01 22:40:00,0.99,-2.14,997.86,-2.53
2023-05-03 20:40:00,-3.86,-6.0,994.0,-2.91
2023-05-09 23:55:00,-0.27,-6.27,993.73,-2.93
2023-05-15 01:45:00,1.94,-4.33,995.67,-2.74
2023-05-17 21:05:00,0.35,-3.98,996.02,-2.71
2023-05-23 18:00:00,2.57,-1.41,998.59,-2.46
2023-05-24 00:05:00,-3.89,-5.3,994.7,-2.84
2023-05-25 16:30:00,8.15,2.85,1002.85,-2.04
2023-05-29 15:30:00,0.87,3.72,1003.72,-1.96
2023-05-29 18:35:00,-2.95,0.77,1000.77,-2.24
2023-06-01 21:00:00,1.29,2.06,1002.06,-2.12
2023-06-05 19:50:00,-1.36,0.7,1000.7,-2.25
2023-06-05 20:05:00,-1.21,-0.51,999.49,-2.37
2023-06-08 17:50:00,-3.86,-4.37,995.63,-2.75
2023-06-08 18:45:00,1.15,-3.22,996.78,-2.63
2023-06-09 00:55:00,-4.05,-7.27,992.73,-3.03
2023-06-09 17:25:00,-2.52,-9.79,990.21,-3.28
2023-06-15 17:05:00,-2.28,-12.07,987.93,-3.5
2023-06-16 15:45:00,1.11,-10.96,989.04,-3.39
