symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
EURSEK,2023Q1,34,16,47.06,0.279,1.61,False
EURSEK,2023Q2,27,15,55.56,0.468,2.05,False
EURSEK,2023Q3,33,14,42.42,0.285,1.61,False
EURSEK,2023Q4,34,19,55.88,0.494,2.18,True
EURSEK,2024Q1,42,21,50.0,0.452,1.97,True
EURSEK,2024Q2,29,14,48.28,0.16,1.33,False
EURSEK,2024Q3,39,22,56.41,0.598,2.67,True
EURSEK,2024Q4,31,15,48.39,0.342,1.68,True
EURSEK,2025Q1,30,17,56.67,0.606,2.61,True
EURSEK,2025Q2,26,8,30.77,-0.149,0.76,False
EURSEK,2025Q3,22,8,36.36,0.029,1.05,False
EURSEK,2025Q4,47,24,51.06,0.334,1.68,True
EURSEK,2026Q1,22,12,54.55,0.403,1.89,False
