symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
EURSEK,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,416,49.28,0.478,1.75,46.2,24.36
EURSEK,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,372,49.19,0.476,1.77,38.5,20.42
EURSEK,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,391,49.1,0.473,1.72,38.5,20.34
EURSEK,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,379,49.08,0.472,1.72,38.5,20.31
EURSEK,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,352,48.58,0.457,1.71,38.5,19.81
EURSEK,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1465,46.42,0.392,1.52,38.5,17.65
EURSEK,OR,f_candle|f_ema,10,1,0.9,NY08-12,1372,46.36,0.391,1.51,38.5,17.59
EURSEK,OR,f_candle|f_ema,10,1,0.9,NY08-13,1442,45.84,0.375,1.47,38.5,17.07
EURSEK,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1551,45.84,0.375,1.48,38.5,17.07
EURSEK,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,368,49.18,0.476,1.72,30.8,16.57
EURSEK,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,339,48.97,0.469,1.75,30.8,16.35
EURSEK,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,515,46.99,0.41,1.57,30.8,14.37
EURSEK,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,617,45.71,0.371,1.51,30.8,13.09
EURSEK,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,331,48.64,0.459,1.72,23.1,12.18
EURSEK,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,458,47.38,0.421,1.6,23.1,10.92
EURSEK,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,547,46.44,0.393,1.56,23.1,9.97
EURSEK,OR,f_candle|f_ema,10,1,0.9,NY07-16,1824,45.01,0.35,1.43,23.1,8.55
EURSEK,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1957,44.97,0.349,1.44,23.1,8.51
