symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
EURSEK,{},416,49.28,0.478,1.75,46.2,24.36
EURSEK,{'add_vol_confirm': True},518,48.65,0.459,1.71,38.5,19.88
EURSEK,{'adx_min': 18.0},372,48.66,0.46,1.69,30.8,16.04
EURSEK,{'require_h1_rsi_align': True},333,51.65,0.55,1.92,15.4,11.34
EURSEK,"{'adx_min': 18.0, 'add_vol_confirm': True}",471,47.13,0.414,1.6,23.1,10.67
EURSEK,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",293,50.51,0.515,1.81,15.4,10.2
EURSEK,{'adx_min': 22.0},303,51.16,0.535,1.86,7.7,7.0
EURSEK,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",181,53.04,0.591,1.87,0.0,5.04
EURSEK,{'require_macd_align': True},301,48.84,0.465,1.59,7.7,4.68
EURSEK,"{'adx_min': 18.0, 'require_macd_align': True}",256,48.83,0.465,1.57,7.7,4.67
EURSEK,"{'require_h1_rsi_align': True, 'require_macd_align': True}",248,51.21,0.536,1.8,0.0,3.21
