entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:20:00,2023-01-03 16:20:00,S,11.14956,11.15301,11.15301,11.14265,-1.0,sl,-0.74,0.73,-1.47,-1.47
2023-01-03 16:30:00,2023-01-03 18:10:00,S,11.14709,11.12375,11.15876,11.12375,2.0,tp,4.98,0.73,4.25,2.78
2023-01-04 17:05:00,2023-01-05 01:05:00,S,11.15567,11.13968,11.17813,11.11074,0.712,time,3.41,0.73,2.68,5.46
2023-01-06 14:05:00,2023-01-06 14:05:00,L,11.2609,11.24932,11.24932,11.28406,-1.0,sl,-2.47,0.73,-3.2,2.26
2023-01-06 14:35:00,2023-01-06 14:45:00,L,11.25117,11.26506,11.24423,11.26506,2.0,tp,2.97,0.73,2.24,4.5
2023-01-06 15:00:00,2023-01-06 15:30:00,L,11.26443,11.24407,11.24407,11.30515,-1.0,sl,-4.35,0.73,-5.08,-0.58
2023-01-06 16:40:00,2023-01-06 17:35:00,L,11.23903,11.21675,11.21675,11.2836,-1.0,sl,-4.76,0.73,-5.49,-6.07
2023-01-09 14:55:00,2023-01-09 15:25:00,S,11.19587,11.18413,11.20174,11.18413,2.0,tp,2.51,0.73,1.78,-4.29
2023-01-09 15:30:00,2023-01-09 17:45:00,S,11.18446,11.14975,11.20182,11.14975,2.0,tp,7.41,0.73,6.68,2.39
2023-01-09 21:00:00,2023-01-09 22:40:00,S,11.15656,11.16725,11.16725,11.13518,-1.0,sl,-2.28,0.73,-3.01,-0.62
2023-01-10 16:40:00,2023-01-11 00:00:00,L,11.1826,11.1698,11.1698,11.2082,-1.0,sl,-2.73,0.73,-3.46,-4.08
2023-01-11 21:45:00,2023-01-12 00:05:00,L,11.24375,11.23535,11.23535,11.26056,-1.0,sl,-1.79,0.73,-2.52,-6.6
2023-01-12 16:15:00,2023-01-13 00:15:00,L,11.2709,11.26314,11.22498,11.36274,-0.169,time,-1.66,0.73,-2.39,-8.99
2023-01-16 20:35:00,2023-01-17 00:05:00,L,11.273,11.25916,11.25916,11.30068,-1.0,sl,-2.95,0.73,-3.68,-12.67
2023-01-18 20:55:00,2023-01-18 21:00:00,S,11.1549,11.15733,11.15733,11.15004,-1.0,sl,-0.52,0.73,-1.25,-13.92
2023-01-18 21:35:00,2023-01-19 00:55:00,S,11.15471,11.13625,11.16394,11.13625,2.0,tp,3.94,0.73,3.21,-10.71
2023-01-19 15:55:00,2023-01-19 17:10:00,S,11.14676,11.16056,11.16056,11.11917,-1.0,sl,-2.95,0.73,-3.68,-14.39
