entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-18 15:20:00,2026-02-18 16:15:00,L,10.61565,10.62824,10.60935,10.62824,2.0,tp,2.69,0.73,1.96,1.96
2026-02-19 17:55:00,2026-02-19 18:35:00,L,10.6732,10.65896,10.65896,10.70169,-1.0,sl,-3.04,0.73,-3.77,-1.81
2026-02-19 18:50:00,2026-02-20 02:50:00,L,10.66726,10.67641,10.65553,10.69072,0.78,time,1.95,0.73,1.22,-0.59
2026-02-20 17:05:00,2026-02-23 01:20:00,L,10.67182,10.66314,10.58549,10.84448,-0.101,time,-1.85,0.73,-2.58,-3.17
2026-02-23 17:35:00,2026-02-23 19:35:00,L,10.67548,10.69353,10.66646,10.69353,2.0,tp,3.85,0.73,3.12,-0.05
2026-02-26 15:55:00,2026-02-26 17:20:00,L,10.66923,10.69019,10.65875,10.69019,2.0,tp,4.47,0.73,3.74,3.69
2026-02-27 15:10:00,2026-02-27 15:40:00,L,10.66266,10.67804,10.65497,10.67804,2.0,tp,3.28,0.73,2.55,6.24
2026-02-27 15:50:00,2026-02-27 17:55:00,L,10.6803,10.6549,10.6549,10.7311,-1.0,sl,-5.42,0.73,-6.15,0.09
2026-03-02 15:20:00,2026-03-02 23:20:00,L,10.6958,10.70492,10.67466,10.73809,0.431,time,1.95,0.73,1.22,1.31
2026-03-03 15:50:00,2026-03-03 16:00:00,L,10.73375,10.71785,10.71785,10.76555,-1.0,sl,-3.39,0.73,-4.12,-2.81
2026-03-09 15:15:00,2026-03-09 18:55:00,S,10.68507,10.64198,10.70661,10.64198,2.0,tp,9.2,0.73,8.47,5.66
2026-03-11 16:35:00,2026-03-12 00:35:00,L,10.65403,10.66587,10.63647,10.68915,0.674,time,2.53,0.73,1.8,7.46
2026-03-13 15:05:00,2026-03-13 15:45:00,L,10.74876,10.73486,10.73486,10.77656,-1.0,sl,-2.97,0.73,-3.7,3.76
2026-03-13 16:15:00,2026-03-13 18:05:00,L,10.74649,10.7826,10.72844,10.7826,2.0,tp,7.71,0.73,6.98,10.74
2026-03-19 16:40:00,2026-03-19 16:45:00,L,10.78113,10.76887,10.76887,10.80566,-1.0,sl,-2.62,0.73,-3.35,7.39
2026-03-19 17:00:00,2026-03-19 17:05:00,L,10.772,10.76279,10.76279,10.79043,-1.0,sl,-1.97,0.73,-2.7,4.69
2026-03-19 17:35:00,2026-03-19 21:05:00,L,10.78187,10.75392,10.75392,10.83777,-1.0,sl,-5.97,0.73,-6.7,-2.01
2026-03-23 17:40:00,2026-03-24 01:40:00,L,10.8007,10.8318,10.77352,10.85507,1.144,time,6.64,0.73,5.91,3.9
2026-03-27 15:55:00,2026-03-27 17:10:00,L,10.85966,10.87911,10.84994,10.87911,2.0,tp,4.15,0.73,3.42,7.32
2026-03-31 15:15:00,2026-03-31 15:40:00,L,10.95348,10.93675,10.93675,10.98693,-1.0,sl,-3.57,0.73,-4.3,3.02
2026-03-31 15:55:00,2026-03-31 16:25:00,L,10.93592,10.94628,10.93074,10.94628,2.0,tp,2.21,0.73,1.48,4.5
2026-03-31 16:30:00,2026-03-31 16:55:00,L,10.9462,10.93076,10.93076,10.97707,-1.0,sl,-3.3,0.73,-4.03,0.47
2026-03-31 17:10:00,2026-03-31 23:55:00,L,10.9553,10.92343,10.92343,11.01904,-1.0,sl,-6.8,0.73,-7.53,-7.06
2026-04-22 16:05:00,2026-04-22 19:20:00,S,10.77363,10.78494,10.78494,10.75101,-1.0,sl,-2.41,0.73,-3.14,-10.2
2026-04-23 15:25:00,2026-04-23 23:25:00,L,10.79449,10.81597,10.77568,10.8321,1.142,time,4.59,0.73,3.86,-6.34
2026-04-24 15:20:00,2026-04-24 18:45:00,L,10.8256,10.80526,10.80526,10.86628,-1.0,sl,-4.34,0.73,-5.07,-11.41
2026-04-24 19:30:00,2026-04-24 21:30:00,L,10.8131,10.80115,10.80115,10.837,-1.0,sl,-2.55,0.73,-3.28,-14.69
2026-04-29 15:35:00,2026-04-29 16:35:00,L,10.8437,10.86771,10.83169,10.86771,2.0,tp,5.13,0.73,4.4,-10.29
2026-04-30 15:30:00,2026-04-30 23:30:00,L,10.8394,10.83204,10.81838,10.88145,-0.35,time,-1.57,0.73,-2.3,-12.59
2026-05-04 17:10:00,2026-05-04 18:20:00,L,10.82704,10.84737,10.81687,10.84737,2.0,tp,4.34,0.73,3.61,-8.98
2026-05-06 15:05:00,2026-05-06 23:05:00,L,10.8323,10.85614,10.81446,10.86797,1.337,time,5.09,0.73,4.36,-4.62
2026-05-12 15:05:00,2026-05-12 16:45:00,L,10.88769,10.90734,10.87787,10.90734,2.0,tp,4.19,0.73,3.46,-1.16
2026-05-13 20:00:00,2026-05-14 00:05:00,L,10.9113,10.90118,10.90118,10.93155,-1.0,sl,-2.16,0.73,-2.89,-4.05
2026-05-14 19:25:00,2026-05-14 20:55:00,L,10.90833,10.91361,10.90569,10.91361,2.0,tp,1.13,0.73,0.4,-3.65
