entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:20:00,2023-01-03 16:20:00,S,11.14956,11.15301,11.15301,11.14265,-1.0,sl,-0.74,0.73,-1.47,-1.47
2023-01-03 16:30:00,2023-01-03 18:10:00,S,11.14709,11.12375,11.15876,11.12375,2.0,tp,4.98,0.73,4.25,2.78
2023-01-04 17:05:00,2023-01-05 01:05:00,S,11.15567,11.13968,11.17813,11.11074,0.712,time,3.41,0.73,2.68,5.46
2023-01-06 15:20:00,2023-01-06 15:30:00,L,11.26068,11.24403,11.24403,11.29397,-1.0,sl,-3.55,0.73,-4.28,1.18
2023-01-06 16:40:00,2023-01-06 17:35:00,L,11.23903,11.21675,11.21675,11.2836,-1.0,sl,-4.76,0.73,-5.49,-4.31
2023-01-09 15:30:00,2023-01-09 17:45:00,S,11.18446,11.14975,11.20182,11.14975,2.0,tp,7.41,0.73,6.68,2.37
2023-01-10 16:40:00,2023-01-11 00:00:00,L,11.1826,11.1698,11.1698,11.2082,-1.0,sl,-2.73,0.73,-3.46,-1.09
2023-01-12 16:15:00,2023-01-13 00:15:00,L,11.2709,11.26314,11.22498,11.36274,-0.169,time,-1.66,0.73,-2.39,-3.48
2023-01-19 15:55:00,2023-01-19 17:10:00,S,11.14676,11.16056,11.16056,11.11917,-1.0,sl,-2.95,0.73,-3.68,-7.16
2023-01-19 19:05:00,2023-01-20 00:05:00,S,11.18001,11.14189,11.19907,11.14189,2.0,tp,8.14,0.73,7.41,0.25
2023-01-20 17:15:00,2023-01-23 00:50:00,S,11.17111,11.1195,11.19691,11.1195,2.0,tp,11.02,0.73,10.29,10.54
2023-01-24 17:15:00,2023-01-25 01:15:00,S,11.11147,11.10686,11.13125,11.07192,0.233,time,0.98,0.73,0.25,10.79
2023-01-31 18:30:00,2023-02-01 00:15:00,L,11.35303,11.33887,11.33887,11.38134,-1.0,sl,-3.02,0.73,-3.75,7.04
2023-02-01 15:05:00,2023-02-01 16:35:00,L,11.344,11.37197,11.33001,11.37197,2.0,tp,5.97,0.73,5.24,12.28
2023-02-06 15:35:00,2023-02-06 17:30:00,L,11.36955,11.40936,11.34964,11.40936,2.0,tp,8.5,0.73,7.77,20.05
2023-02-10 15:10:00,2023-02-10 15:40:00,S,11.1583,11.13753,11.16868,11.13753,2.0,tp,4.43,0.73,3.7,23.75
2023-02-14 17:05:00,2023-02-15 01:05:00,S,11.10161,11.11567,11.14834,11.00814,-0.301,time,-3.0,0.73,-3.73,20.02
