exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 16:35:00,-0.14,-0.14,999.86,0.0
2023-01-04 00:20:00,0.59,0.45,1000.45,0.0
2023-01-06 17:05:00,-0.34,0.11,1000.11,-0.03
2023-01-11 00:05:00,-0.35,-0.24,999.76,-0.07
2023-01-11 16:25:00,0.25,0.01,1000.01,-0.04
2023-01-16 01:15:00,-0.15,-0.14,999.86,-0.06
2023-01-18 15:50:00,0.32,0.18,1000.18,-0.03
2023-01-19 17:40:00,-0.2,-0.02,999.98,-0.05
2023-01-19 18:55:00,0.15,0.13,1000.13,-0.03
2023-01-20 17:05:00,0.16,0.29,1000.29,-0.02
2023-01-25 01:20:00,0.24,0.53,1000.53,0.0
2023-01-26 17:35:00,-0.33,0.2,1000.2,-0.03
2023-01-30 16:20:00,-0.12,0.08,1000.08,-0.04
2023-01-30 16:30:00,0.09,0.17,1000.17,-0.04
2023-01-30 17:35:00,-0.23,-0.06,999.94,-0.06
2023-02-09 19:40:00,-0.23,-0.29,999.71,-0.08
2023-02-14 17:50:00,-0.31,-0.6,999.4,-0.11
2023-02-16 19:20:00,-0.2,-0.8,999.2,-0.13
2023-02-22 02:10:00,0.53,-0.27,999.73,-0.08
2023-02-22 18:55:00,0.28,0.01,1000.01,-0.05
2023-02-23 23:40:00,0.04,0.05,1000.05,-0.05
2023-03-02 00:00:00,-0.19,-0.14,999.86,-0.07
2023-03-03 21:05:00,-0.33,-0.47,999.53,-0.1
2023-03-08 17:20:00,-0.25,-0.72,999.28,-0.12
2023-03-09 02:15:00,0.09,-0.63,999.37,-0.12
2023-03-14 16:10:00,0.19,-0.44,999.56,-0.1
2023-03-15 00:20:00,0.05,-0.39,999.61,-0.09
2023-03-21 17:50:00,-0.19,-0.58,999.42,-0.11
2023-03-21 23:15:00,-0.34,-0.92,999.08,-0.14
2023-03-22 15:35:00,-0.12,-1.04,998.96,-0.16
2023-03-22 16:40:00,0.08,-0.96,999.04,-0.15
