symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
EURTRY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,508,36.42,0.093,1.03,7.7,-7.74
EURTRY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,560,36.25,0.088,1.03,7.7,-7.9
EURTRY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,493,36.11,0.083,1.03,7.7,-8.05
EURTRY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,563,35.88,0.076,1.0,7.7,-8.27
EURTRY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2051,35.88,0.077,1.0,7.7,-8.27
EURTRY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,551,35.75,0.073,1.01,7.7,-8.4
EURTRY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,624,35.74,0.072,1.0,7.7,-8.42
EURTRY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,494,35.63,0.069,0.99,7.7,-8.53
EURTRY,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,763,35.52,0.066,0.97,7.7,-8.64
EURTRY,OR,f_candle|f_ema,10,1,0.9,NY07-16,1898,35.51,0.065,0.97,7.7,-8.64
EURTRY,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,677,35.16,0.055,0.95,7.7,-9.0
EURTRY,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,947,34.85,0.045,0.96,7.7,-9.31
EURTRY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,443,36.12,0.084,1.02,0.0,-11.88
EURTRY,OR,f_candle|f_ema,10,1,0.9,NY08-12,1372,35.5,0.065,0.95,0.0,-12.5
EURTRY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1467,35.45,0.063,0.96,0.0,-12.55
EURTRY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1616,35.15,0.054,0.95,0.0,-12.85
EURTRY,OR,f_candle|f_ema,10,1,0.9,NY08-13,1501,34.98,0.049,0.93,0.0,-13.02
EURTRY,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,854,34.54,0.036,0.95,0.0,-13.46
