entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:20:00,2023-01-03 16:35:00,S,19.80375,19.82083,19.82083,19.76959,-1.0,sl,-0.1,0.04,-0.14,-0.14
2023-01-03 17:10:00,2023-01-04 00:20:00,S,19.80764,19.70289,19.86002,19.70289,2.0,tp,0.63,0.04,0.59,0.45
2023-01-06 16:20:00,2023-01-06 17:05:00,S,19.7456,19.79539,19.79539,19.64603,-1.0,sl,-0.3,0.04,-0.34,0.11
2023-01-10 15:00:00,2023-01-10 15:30:00,L,20.12905,20.12171,20.12171,20.14374,-1.0,sl,-0.04,0.04,-0.08,0.03
2023-01-10 15:35:00,2023-01-10 15:35:00,L,20.12949,20.11986,20.11986,20.14875,-1.0,sl,-0.06,0.04,-0.1,-0.07
2023-01-10 15:45:00,2023-01-10 16:00:00,L,20.12732,20.14939,20.11629,20.14939,2.0,tp,0.13,0.04,0.09,0.02
2023-01-10 16:05:00,2023-01-11 00:05:00,L,20.16691,20.1159,20.1159,20.26893,-1.0,sl,-0.31,0.04,-0.35,-0.33
2023-01-11 14:35:00,2023-01-11 15:20:00,L,20.15475,20.18105,20.1416,20.18105,2.0,tp,0.16,0.04,0.12,-0.21
2023-01-11 19:35:00,2023-01-12 00:20:00,L,20.17674,20.13969,20.13969,20.25083,-1.0,sl,-0.22,0.04,-0.26,-0.47
2023-01-13 14:20:00,2023-01-13 14:30:00,L,20.3168,20.30466,20.30466,20.34108,-1.0,sl,-0.07,0.04,-0.11,-0.58
2023-01-13 14:40:00,2023-01-13 15:25:00,L,20.30885,20.32947,20.29854,20.32947,2.0,tp,0.12,0.04,0.08,-0.5
2023-01-13 16:20:00,2023-01-16 00:30:00,L,20.29613,20.34036,20.25359,20.38121,1.04,time,0.27,0.04,0.23,-0.27
2023-01-16 15:35:00,2023-01-16 17:05:00,L,20.32128,20.35166,20.30609,20.35166,2.0,tp,0.18,0.04,0.14,-0.13
2023-01-18 14:15:00,2023-01-18 15:30:00,L,20.34894,20.40686,20.31998,20.40686,2.0,tp,0.35,0.04,0.31,0.18
2023-01-19 16:00:00,2023-01-19 17:40:00,L,20.31544,20.28948,20.28948,20.36736,-1.0,sl,-0.16,0.04,-0.2,-0.02
2023-01-19 18:10:00,2023-01-19 18:55:00,L,20.28583,20.31715,20.27017,20.31715,2.0,tp,0.19,0.04,0.15,0.13
2023-01-20 16:25:00,2023-01-20 17:05:00,L,20.32445,20.35715,20.3081,20.35715,2.0,tp,0.2,0.04,0.16,0.29
2023-01-23 14:25:00,2023-01-23 14:30:00,L,20.44917,20.43917,20.43917,20.46916,-1.0,sl,-0.06,0.04,-0.1,0.19
2023-01-23 14:40:00,2023-01-23 15:35:00,L,20.44972,20.43513,20.43513,20.47891,-1.0,sl,-0.09,0.04,-0.13,0.06
2023-01-23 16:15:00,2023-01-23 16:20:00,L,20.40523,20.39928,20.39928,20.41713,-1.0,sl,-0.04,0.04,-0.08,-0.02
2023-01-23 16:25:00,2023-01-23 16:50:00,L,20.40902,20.43543,20.39581,20.43543,2.0,tp,0.16,0.04,0.12,0.1
2023-01-23 16:55:00,2023-01-24 00:00:00,L,20.43155,20.39571,20.39571,20.50324,-1.0,sl,-0.22,0.04,-0.26,-0.16
2023-01-24 17:15:00,2023-01-25 01:20:00,L,20.40984,20.45667,20.37307,20.48337,1.274,time,0.28,0.04,0.24,0.08
2023-01-25 14:15:00,2023-01-25 16:45:00,L,20.44443,20.49514,20.41908,20.49514,2.0,tp,0.3,0.04,0.26,0.34
2023-01-26 14:55:00,2023-01-26 15:30:00,L,20.51173,20.48429,20.48429,20.5666,-1.0,sl,-0.16,0.04,-0.2,0.14
2023-01-30 16:05:00,2023-01-30 16:20:00,L,20.4783,20.46519,20.46519,20.50453,-1.0,sl,-0.08,0.04,-0.12,0.02
2023-01-30 16:30:00,2023-01-30 16:30:00,L,20.47117,20.49319,20.46016,20.49319,2.0,tp,0.13,0.04,0.09,0.11
2023-01-30 16:35:00,2023-01-30 17:35:00,L,20.49264,20.46014,20.46014,20.55763,-1.0,sl,-0.19,0.04,-0.23,-0.12
2023-02-01 20:00:00,2023-02-01 20:05:00,L,20.50998,20.52118,20.50438,20.52118,2.0,tp,0.07,0.04,0.03,-0.09
2023-02-01 20:10:00,2023-02-01 21:00:00,L,20.52274,20.50435,20.50435,20.55952,-1.0,sl,-0.11,0.04,-0.15,-0.24
2023-02-01 21:30:00,2023-02-01 21:40:00,L,20.52417,20.62652,20.473,20.62652,2.0,tp,0.61,0.04,0.57,0.33
2023-02-02 15:45:00,2023-02-02 15:50:00,L,20.67381,20.63334,20.63334,20.75475,-1.0,sl,-0.24,0.04,-0.28,0.05
2023-02-02 17:40:00,2023-02-02 23:55:00,L,20.55128,20.48209,20.48209,20.68965,-1.0,sl,-0.42,0.04,-0.46,-0.41
2023-02-06 15:05:00,2023-02-06 16:50:00,S,20.28463,20.23706,20.30841,20.23706,2.0,tp,0.29,0.04,0.25,-0.16
2023-02-06 21:20:00,2023-02-06 21:25:00,S,20.21132,20.22531,20.22531,20.18334,-1.0,sl,-0.08,0.04,-0.12,-0.28
