entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-18 15:20:00,2026-02-18 15:40:00,S,51.8522,51.80815,51.87422,51.80815,2.0,tp,0.26,0.04,0.22,0.22
2026-02-25 16:25:00,2026-02-25 19:10:00,L,51.72484,51.82555,51.67449,51.82555,2.0,tp,0.6,0.04,0.56,0.78
2026-02-26 18:00:00,2026-02-26 19:15:00,L,51.8801,51.7982,51.7982,52.0439,-1.0,sl,-0.49,0.04,-0.53,0.25
2026-02-27 16:15:00,2026-02-27 18:30:00,L,51.90704,52.00267,51.85923,52.00267,2.0,tp,0.57,0.04,0.53,0.78
2026-03-06 15:55:00,2026-03-06 17:00:00,S,51.00228,51.15011,51.15011,50.70662,-1.0,sl,-0.89,0.04,-0.93,-0.15
2026-03-13 16:00:00,2026-03-13 17:20:00,S,50.76918,50.65805,50.82475,50.65805,2.0,tp,0.67,0.04,0.63,0.48
2026-03-23 18:35:00,2026-03-23 20:30:00,L,51.38893,51.51512,51.32584,51.51512,2.0,tp,0.76,0.04,0.72,1.2
2026-03-26 16:45:00,2026-03-26 21:10:00,S,51.34965,51.23892,51.40501,51.23892,2.0,tp,0.66,0.04,0.62,1.82
2026-03-27 15:55:00,2026-03-27 16:20:00,S,51.2942,51.33338,51.33338,51.21585,-1.0,sl,-0.24,0.04,-0.28,1.54
2026-03-27 17:50:00,2026-03-30 00:05:00,S,51.3217,51.17056,51.39727,51.17056,2.0,tp,0.91,0.04,0.87,2.41
2026-04-06 15:05:00,2026-04-06 17:00:00,L,51.5255,51.58776,51.49437,51.58776,2.0,tp,0.37,0.04,0.33,2.74
2026-04-06 18:40:00,2026-04-06 20:00:00,L,51.49148,51.46835,51.46835,51.53773,-1.0,sl,-0.14,0.04,-0.18,2.56
2026-04-08 18:25:00,2026-04-08 19:00:00,L,52.06011,52.01472,52.01472,52.1509,-1.0,sl,-0.27,0.04,-0.31,2.25
2026-04-13 15:20:00,2026-04-13 16:45:00,L,52.29945,52.37321,52.26257,52.37321,2.0,tp,0.44,0.04,0.4,2.65
2026-04-16 18:05:00,2026-04-16 19:10:00,L,52.8025,52.84656,52.78047,52.84656,2.0,tp,0.26,0.04,0.22,2.87
2026-04-17 18:35:00,2026-04-17 18:40:00,L,52.98933,52.95356,52.95356,53.06086,-1.0,sl,-0.21,0.04,-0.25,2.62
2026-04-20 15:35:00,2026-04-20 16:35:00,L,52.81969,52.88518,52.78695,52.88518,2.0,tp,0.39,0.04,0.35,2.97
2026-04-29 17:15:00,2026-04-29 17:50:00,L,52.83285,52.87532,52.81161,52.87532,2.0,tp,0.25,0.04,0.21,3.18
2026-04-29 17:55:00,2026-04-29 19:45:00,L,52.89821,52.81144,52.81144,53.07174,-1.0,sl,-0.52,0.04,-0.56,2.62
2026-05-01 17:00:00,2026-05-01 19:20:00,L,53.15072,53.08334,53.08334,53.28549,-1.0,sl,-0.4,0.04,-0.44,2.18
2026-05-06 15:45:00,2026-05-06 16:05:00,L,53.22392,53.16437,53.16437,53.34301,-1.0,sl,-0.36,0.04,-0.4,1.78
2026-05-06 16:15:00,2026-05-06 16:30:00,L,53.19846,53.1506,53.1506,53.29418,-1.0,sl,-0.29,0.04,-0.33,1.45
2026-05-06 16:35:00,2026-05-06 17:05:00,L,53.17401,53.14249,53.14249,53.23705,-1.0,sl,-0.19,0.04,-0.23,1.22
2026-05-06 17:10:00,2026-05-06 17:40:00,L,53.1624,53.20953,53.13884,53.20953,2.0,tp,0.28,0.04,0.24,1.46
