entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:20:00,2023-01-03 16:35:00,S,19.80375,19.82083,19.82083,19.76959,-1.0,sl,-0.1,0.04,-0.14,-0.14
2023-01-03 17:10:00,2023-01-04 00:20:00,S,19.80764,19.70289,19.86002,19.70289,2.0,tp,0.63,0.04,0.59,0.45
2023-01-06 16:20:00,2023-01-06 17:05:00,S,19.7456,19.79539,19.79539,19.64603,-1.0,sl,-0.3,0.04,-0.34,0.11
2023-01-10 16:05:00,2023-01-11 00:05:00,L,20.16691,20.1159,20.1159,20.26893,-1.0,sl,-0.31,0.04,-0.35,-0.24
2023-01-11 15:05:00,2023-01-11 16:25:00,L,20.16621,20.21537,20.14163,20.21537,2.0,tp,0.29,0.04,0.25,0.01
2023-01-13 17:05:00,2023-01-16 01:15:00,L,20.33929,20.32014,20.25389,20.5101,-0.224,time,-0.11,0.04,-0.15,-0.14
2023-01-18 15:05:00,2023-01-18 15:50:00,L,20.36424,20.42426,20.33423,20.42426,2.0,tp,0.36,0.04,0.32,0.18
2023-01-19 16:00:00,2023-01-19 17:40:00,L,20.31544,20.28948,20.28948,20.36736,-1.0,sl,-0.16,0.04,-0.2,-0.02
2023-01-19 18:10:00,2023-01-19 18:55:00,L,20.28583,20.31715,20.27017,20.31715,2.0,tp,0.19,0.04,0.15,0.13
2023-01-20 16:25:00,2023-01-20 17:05:00,L,20.32445,20.35715,20.3081,20.35715,2.0,tp,0.2,0.04,0.16,0.29
2023-01-24 17:15:00,2023-01-25 01:20:00,L,20.40984,20.45667,20.37307,20.48337,1.274,time,0.28,0.04,0.24,0.53
2023-01-26 15:40:00,2023-01-26 17:35:00,L,20.5091,20.45997,20.45997,20.60736,-1.0,sl,-0.29,0.04,-0.33,0.2
2023-01-30 16:05:00,2023-01-30 16:20:00,L,20.4783,20.46519,20.46519,20.50453,-1.0,sl,-0.08,0.04,-0.12,0.08
2023-01-30 16:30:00,2023-01-30 16:30:00,L,20.47117,20.49319,20.46016,20.49319,2.0,tp,0.13,0.04,0.09,0.17
2023-01-30 16:35:00,2023-01-30 17:35:00,L,20.49264,20.46014,20.46014,20.55763,-1.0,sl,-0.19,0.04,-0.23,-0.06
2023-02-09 19:00:00,2023-02-09 19:40:00,L,20.26725,20.2348,20.2348,20.33214,-1.0,sl,-0.19,0.04,-0.23,-0.29
2023-02-14 16:40:00,2023-02-14 17:50:00,L,20.2208,20.17542,20.17542,20.31156,-1.0,sl,-0.27,0.04,-0.31,-0.6
2023-02-16 19:00:00,2023-02-16 19:20:00,S,20.15729,20.1839,20.1839,20.10406,-1.0,sl,-0.16,0.04,-0.2,-0.8
2023-02-21 18:15:00,2023-02-22 02:10:00,S,20.14157,20.0469,20.1889,20.0469,2.0,tp,0.57,0.04,0.53,-0.27
2023-02-22 17:15:00,2023-02-22 18:55:00,S,20.09571,20.04197,20.12258,20.04197,2.0,tp,0.32,0.04,0.28,0.01
2023-02-23 15:35:00,2023-02-23 23:40:00,S,20.01798,20.00501,20.05061,19.95271,0.397,time,0.08,0.04,0.04,0.05
2023-03-01 17:35:00,2023-03-02 00:00:00,L,20.12685,20.10227,20.10227,20.17601,-1.0,sl,-0.15,0.04,-0.19,-0.14
2023-03-03 17:05:00,2023-03-03 21:05:00,S,20.03527,20.08405,20.08405,19.93771,-1.0,sl,-0.29,0.04,-0.33,-0.47
2023-03-08 17:05:00,2023-03-08 17:20:00,S,19.97555,20.01013,20.01013,19.90639,-1.0,sl,-0.21,0.04,-0.25,-0.72
2023-03-08 17:40:00,2023-03-09 02:15:00,S,19.99688,19.97449,20.02968,19.93128,0.683,time,0.13,0.04,0.09,-0.63
2023-03-14 16:00:00,2023-03-14 16:10:00,L,20.31382,20.35207,20.2947,20.35207,2.0,tp,0.23,0.04,0.19,-0.44
2023-03-14 16:15:00,2023-03-15 00:20:00,L,20.35332,20.36755,20.2947,20.47056,0.243,time,0.09,0.04,0.05,-0.39
2023-03-21 16:45:00,2023-03-21 17:50:00,L,20.52125,20.49655,20.49655,20.57064,-1.0,sl,-0.15,0.04,-0.19,-0.58
2023-03-21 18:30:00,2023-03-21 23:15:00,L,20.51784,20.4683,20.4683,20.61692,-1.0,sl,-0.3,0.04,-0.34,-0.92
2023-03-22 15:05:00,2023-03-22 15:35:00,L,20.54643,20.53245,20.53245,20.57439,-1.0,sl,-0.08,0.04,-0.12,-1.04
2023-03-22 16:15:00,2023-03-22 16:40:00,L,20.53423,20.55499,20.52385,20.55499,2.0,tp,0.12,0.04,0.08,-0.96
2023-03-22 16:45:00,2023-03-22 20:00:00,L,20.55346,20.52376,20.52376,20.61287,-1.0,sl,-0.18,0.04,-0.22,-1.18
2023-03-28 17:40:00,2023-03-28 22:45:00,L,20.70045,20.75267,20.67434,20.75267,2.0,tp,0.31,0.04,0.27,-0.91
2023-03-29 15:50:00,2023-03-29 18:55:00,L,20.7783,20.74643,20.74643,20.84204,-1.0,sl,-0.19,0.04,-0.23,-1.14
2023-03-31 15:35:00,2023-03-31 18:00:00,L,20.9085,20.85255,20.85255,21.02039,-1.0,sl,-0.34,0.04,-0.38,-1.52
