symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
EURUSD,2023Q1,51,24,47.06,0.288,1.58,False
EURUSD,2023Q2,38,19,50.0,0.2,1.43,True
EURUSD,2023Q3,40,20,50.0,0.215,1.47,True
EURUSD,2023Q4,30,16,53.33,0.315,1.71,True
EURUSD,2024Q1,32,14,43.75,0.154,1.29,False
EURUSD,2024Q2,37,16,43.24,0.059,1.11,False
EURUSD,2024Q3,44,23,52.27,0.432,1.96,True
EURUSD,2024Q4,38,22,57.89,0.507,2.29,True
EURUSD,2025Q1,39,19,48.72,0.281,1.55,True
EURUSD,2025Q2,44,23,52.27,0.351,1.73,True
EURUSD,2025Q3,39,21,53.85,0.394,2.03,True
EURUSD,2025Q4,40,20,50.0,0.365,1.75,True
EURUSD,2026Q1,14,9,64.29,0.901,3.72,False
