symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
EURUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,486,50.62,0.519,1.68,69.2,37.23
EURUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,494,50.2,0.506,1.66,69.2,36.82
EURUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,436,50.69,0.521,1.7,53.8,29.61
EURUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,433,50.58,0.517,1.7,53.8,29.5
EURUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,438,50.46,0.514,1.68,53.8,29.38
EURUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,439,49.89,0.497,1.65,53.8,28.81
EURUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,385,50.91,0.527,1.74,38.5,22.14
EURUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,769,46.94,0.408,1.53,46.2,22.02
EURUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,387,50.65,0.519,1.72,38.5,21.88
EURUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,687,48.18,0.445,1.62,38.5,19.41
EURUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,605,48.1,0.443,1.64,38.5,19.33
EURUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,679,46.69,0.401,1.54,38.5,17.92
EURUSD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1488,46.3,0.389,1.48,30.8,13.69
EURUSD,OR,f_candle|f_ema,10,1,0.9,NY08-12,1397,46.03,0.381,1.47,23.1,9.57
EURUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1602,46.0,0.38,1.48,23.1,9.54
EURUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1493,45.81,0.374,1.47,23.1,9.35
EURUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2144,43.66,0.31,1.38,15.4,3.35
EURUSD,OR,f_candle|f_ema,10,1,0.9,NY07-16,1982,44.0,0.32,1.39,7.7,-0.16
