entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:20:00,2023-01-03 16:30:00,S,1.05658,1.05748,1.05748,1.05477,-1.0,sl,-1.81,0.26,-2.07,-2.07
2023-01-03 17:10:00,2023-01-04 01:10:00,S,1.057,1.05499,1.05977,1.05146,0.725,time,4.02,0.26,3.76,1.69
2023-01-06 16:20:00,2023-01-06 17:05:00,S,1.05251,1.05458,1.05458,1.04836,-1.0,sl,-4.15,0.26,-4.41,-2.72
2023-01-10 14:25:00,2023-01-10 14:40:00,L,1.07253,1.07217,1.07217,1.07324,-1.0,sl,-0.71,0.26,-0.97,-3.69
2023-01-10 15:00:00,2023-01-10 15:30:00,L,1.07189,1.07145,1.07145,1.07276,-1.0,sl,-0.87,0.26,-1.13,-4.82
2023-01-10 15:35:00,2023-01-10 15:35:00,L,1.07182,1.07129,1.07129,1.07288,-1.0,sl,-1.06,0.26,-1.32,-6.14
2023-01-10 15:45:00,2023-01-10 16:00:00,L,1.07176,1.07304,1.07112,1.07304,2.0,tp,2.55,0.26,2.29,-3.85
2023-01-10 16:05:00,2023-01-11 00:05:00,L,1.07399,1.07329,1.0711,1.07977,-0.242,time,-1.4,0.26,-1.66,-5.51
2023-01-11 14:50:00,2023-01-11 16:15:00,L,1.07359,1.07533,1.07272,1.07533,2.0,tp,3.48,0.26,3.22,-2.29
2023-01-11 19:35:00,2023-01-11 20:10:00,L,1.07437,1.07601,1.07355,1.07601,2.0,tp,3.27,0.26,3.01,0.72
2023-01-13 14:20:00,2023-01-13 14:30:00,L,1.08133,1.08061,1.08061,1.08277,-1.0,sl,-1.44,0.26,-1.7,-0.98
2023-01-13 14:55:00,2023-01-13 15:45:00,L,1.08082,1.08023,1.08023,1.082,-1.0,sl,-1.18,0.26,-1.44,-2.42
2023-01-13 16:10:00,2023-01-13 17:45:00,L,1.07976,1.08346,1.07791,1.08346,2.0,tp,7.39,0.26,7.13,4.71
2023-01-16 16:10:00,2023-01-17 00:10:00,L,1.08176,1.08175,1.08051,1.08426,-0.008,time,-0.02,0.26,-0.28,4.43
2023-01-18 14:15:00,2023-01-18 15:30:00,L,1.08257,1.08559,1.08106,1.08559,2.0,tp,6.04,0.26,5.78,10.21
2023-01-19 16:20:00,2023-01-19 17:30:00,L,1.08154,1.07941,1.07941,1.0858,-1.0,sl,-4.26,0.26,-4.52,5.69
2023-01-20 16:25:00,2023-01-20 17:05:00,L,1.08098,1.08269,1.08012,1.08269,2.0,tp,3.43,0.26,3.17,8.86
2023-01-23 14:40:00,2023-01-23 15:35:00,L,1.08732,1.08659,1.08659,1.08877,-1.0,sl,-1.45,0.26,-1.71,7.15
2023-01-23 16:00:00,2023-01-23 16:00:00,L,1.08585,1.08522,1.08522,1.08712,-1.0,sl,-1.27,0.26,-1.53,5.62
