entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-18 15:10:00,2026-02-18 15:25:00,S,1.18441,1.18353,1.18485,1.18353,2.0,tp,1.77,0.26,1.51,1.51
2026-02-18 15:30:00,2026-02-18 18:55:00,S,1.18355,1.18094,1.18486,1.18094,2.0,tp,5.22,0.26,4.96,6.47
2026-02-20 15:35:00,2026-02-20 17:00:00,S,1.17605,1.17841,1.17841,1.17132,-1.0,sl,-4.73,0.26,-4.99,1.48
2026-02-20 18:25:00,2026-02-23 01:10:00,S,1.17804,1.18039,1.18039,1.17335,-1.0,sl,-4.69,0.26,-4.95,-3.47
2026-02-23 17:35:00,2026-02-24 01:35:00,S,1.17992,1.1792,1.18101,1.17774,0.662,time,1.44,0.26,1.18,-2.29
2026-02-24 19:20:00,2026-02-24 22:05:00,S,1.17854,1.17759,1.17901,1.17759,2.0,tp,1.9,0.26,1.64,-0.65
2026-02-25 15:30:00,2026-02-25 17:05:00,S,1.17831,1.17902,1.17902,1.17688,-1.0,sl,-1.43,0.26,-1.69,-2.34
2026-03-06 15:55:00,2026-03-06 18:05:00,S,1.15591,1.15936,1.15936,1.14901,-1.0,sl,-6.9,0.26,-7.16,-9.5
2026-03-09 16:10:00,2026-03-09 17:40:00,S,1.15547,1.15884,1.15884,1.14873,-1.0,sl,-6.74,0.26,-7.0,-16.5
2026-03-13 15:05:00,2026-03-13 15:45:00,S,1.14768,1.14889,1.14889,1.14527,-1.0,sl,-2.41,0.26,-2.67,-19.17
2026-03-13 15:50:00,2026-03-13 16:00:00,S,1.14851,1.14748,1.14902,1.14748,2.0,tp,2.06,0.26,1.8,-17.37
2026-03-13 16:05:00,2026-03-13 17:40:00,S,1.14732,1.14391,1.14903,1.14391,2.0,tp,6.82,0.26,6.56,-10.81
2026-03-26 16:45:00,2026-03-26 22:10:00,S,1.15427,1.15552,1.15552,1.15176,-1.0,sl,-2.51,0.26,-2.77,-13.58
2026-03-27 15:55:00,2026-03-27 16:15:00,S,1.15246,1.15331,1.15331,1.15075,-1.0,sl,-1.71,0.26,-1.97,-15.55
2026-03-27 16:55:00,2026-03-27 17:20:00,S,1.15292,1.15357,1.15357,1.15162,-1.0,sl,-1.3,0.26,-1.56,-17.11
2026-03-27 17:55:00,2026-03-30 01:25:00,S,1.1529,1.14907,1.15482,1.14907,2.0,tp,7.67,0.26,7.41,-9.7
2026-04-02 18:20:00,2026-04-03 02:20:00,S,1.15505,1.15409,1.15643,1.15228,0.694,time,1.92,0.26,1.66,-8.04
2026-04-13 15:20:00,2026-04-13 16:40:00,L,1.16871,1.17019,1.16797,1.17019,2.0,tp,2.95,0.26,2.69,-5.35
2026-04-14 19:15:00,2026-04-15 03:15:00,L,1.17917,1.17938,1.17867,1.18016,0.422,time,0.42,0.26,0.16,-5.19
2026-04-17 19:15:00,2026-04-17 20:05:00,L,1.1799,1.17909,1.17909,1.18151,-1.0,sl,-1.61,0.26,-1.87,-7.06
2026-04-20 16:10:00,2026-04-20 18:20:00,L,1.17645,1.17838,1.17549,1.17838,2.0,tp,3.86,0.26,3.6,-3.46
2026-04-29 15:15:00,2026-04-29 15:50:00,S,1.17036,1.1693,1.17089,1.1693,2.0,tp,2.12,0.26,1.86,-1.6
2026-05-06 15:45:00,2026-05-06 16:05:00,L,1.17605,1.17508,1.17508,1.178,-1.0,sl,-1.95,0.26,-2.21,-3.81
2026-05-06 16:15:00,2026-05-06 17:05:00,L,1.17553,1.17454,1.17454,1.1775,-1.0,sl,-1.97,0.26,-2.23,-6.04
2026-05-06 17:10:00,2026-05-06 17:40:00,L,1.17492,1.17591,1.17443,1.17591,2.0,tp,1.98,0.26,1.72,-4.32
2026-05-07 19:55:00,2026-05-07 20:15:00,L,1.17604,1.17557,1.17557,1.17699,-1.0,sl,-0.95,0.26,-1.21,-5.53
2026-05-08 15:20:00,2026-05-08 15:30:00,L,1.17652,1.17587,1.17587,1.17782,-1.0,sl,-1.3,0.26,-1.56,-7.09
2026-05-08 15:35:00,2026-05-08 23:35:00,L,1.17771,1.17862,1.17566,1.18181,0.444,time,1.82,0.26,1.56,-5.53
2026-05-11 15:15:00,2026-05-11 16:00:00,L,1.17666,1.17742,1.17628,1.17742,2.0,tp,1.51,0.26,1.25,-4.28
