entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:20:00,2023-01-03 16:30:00,S,1.05658,1.05748,1.05748,1.05477,-1.0,sl,-1.81,0.26,-2.07,-2.07
2023-01-03 17:10:00,2023-01-04 01:10:00,S,1.057,1.05499,1.05977,1.05146,0.725,time,4.02,0.26,3.76,1.69
2023-01-06 16:20:00,2023-01-06 17:05:00,S,1.05251,1.05458,1.05458,1.04836,-1.0,sl,-4.15,0.26,-4.41,-2.72
2023-01-10 15:10:00,2023-01-10 15:30:00,L,1.07195,1.07145,1.07145,1.07294,-1.0,sl,-0.99,0.26,-1.25,-3.97
2023-01-10 15:35:00,2023-01-10 15:35:00,L,1.07182,1.07129,1.07129,1.07288,-1.0,sl,-1.06,0.26,-1.32,-5.29
2023-01-10 15:45:00,2023-01-10 16:00:00,L,1.07176,1.07304,1.07112,1.07304,2.0,tp,2.55,0.26,2.29,-3.0
2023-01-10 16:05:00,2023-01-11 00:05:00,L,1.07399,1.07329,1.0711,1.07977,-0.242,time,-1.4,0.26,-1.66,-4.66
2023-01-11 15:05:00,2023-01-11 16:45:00,L,1.07413,1.07695,1.07272,1.07695,2.0,tp,5.64,0.26,5.38,0.72
2023-01-11 19:35:00,2023-01-11 20:10:00,L,1.07437,1.07601,1.07355,1.07601,2.0,tp,3.27,0.26,3.01,3.73
2023-01-13 16:10:00,2023-01-13 17:45:00,L,1.07976,1.08346,1.07791,1.08346,2.0,tp,7.39,0.26,7.13,10.86
2023-01-16 16:10:00,2023-01-17 00:10:00,L,1.08176,1.08175,1.08051,1.08426,-0.008,time,-0.02,0.26,-0.28,10.58
2023-01-18 15:05:00,2023-01-18 15:50:00,L,1.0834,1.08663,1.08178,1.08663,2.0,tp,6.46,0.26,6.2,16.78
2023-01-19 16:20:00,2023-01-19 17:30:00,L,1.08154,1.07941,1.07941,1.0858,-1.0,sl,-4.26,0.26,-4.52,12.26
2023-01-20 16:25:00,2023-01-20 17:05:00,L,1.08098,1.08269,1.08012,1.08269,2.0,tp,3.43,0.26,3.17,15.43
2023-01-23 15:05:00,2023-01-23 15:35:00,L,1.08764,1.08659,1.08659,1.08974,-1.0,sl,-2.1,0.26,-2.36,13.07
2023-01-23 16:00:00,2023-01-23 16:00:00,L,1.08585,1.08522,1.08522,1.08712,-1.0,sl,-1.27,0.26,-1.53,11.54
2023-01-23 16:15:00,2023-01-23 16:20:00,L,1.08532,1.08469,1.08469,1.08657,-1.0,sl,-1.25,0.26,-1.51,10.03
2023-01-23 16:25:00,2023-01-23 16:50:00,L,1.08523,1.08666,1.08452,1.08666,2.0,tp,2.86,0.26,2.6,12.63
2023-01-23 16:55:00,2023-01-24 00:55:00,L,1.0865,1.08699,1.08451,1.09048,0.246,time,0.98,0.26,0.72,13.35
