exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 19:55:00,1.36,1.36,1001.36,0.0
2023-01-04 03:10:00,-5.28,-3.92,996.08,-0.53
2023-01-04 19:25:00,-3.75,-7.67,992.33,-0.9
2023-01-05 00:00:00,-6.13,-13.8,986.2,-1.51
2023-01-06 15:20:00,-3.07,-16.87,983.13,-1.82
2023-01-06 23:30:00,3.88,-12.99,987.01,-1.43
2023-01-09 19:05:00,-5.37,-18.36,981.64,-1.97
2023-01-11 17:00:00,-4.43,-22.79,977.21,-2.41
2023-01-11 18:10:00,4.88,-17.91,982.09,-1.92
2023-01-12 14:45:00,3.8,-14.11,985.89,-1.54
2023-01-19 17:55:00,7.48,-6.63,993.37,-0.8
2023-01-23 16:10:00,-1.92,-8.55,991.45,-0.99
2023-01-23 16:45:00,3.25,-5.3,994.7,-0.67
2023-01-23 17:55:00,9.93,4.63,1004.63,0.0
2023-01-25 15:40:00,-3.68,0.95,1000.95,-0.37
2023-01-25 15:55:00,-1.97,-1.02,998.98,-0.56
2023-02-01 17:00:00,-4.4,-5.42,994.58,-1.0
2023-02-01 17:45:00,2.92,-2.5,997.5,-0.71
2023-02-01 21:55:00,7.82,5.32,1005.32,0.0
2023-02-03 00:15:00,6.57,11.89,1011.89,0.0
2023-02-07 19:45:00,8.96,20.85,1020.85,0.0
2023-02-13 17:05:00,-2.52,18.33,1018.33,-0.25
2023-02-16 15:30:00,-3.21,15.12,1015.12,-0.56
2023-02-16 17:00:00,-2.78,12.34,1012.34,-0.83
2023-02-22 00:50:00,4.79,17.13,1017.13,-0.36
2023-02-22 18:30:00,-2.95,14.18,1014.18,-0.65
2023-02-22 19:35:00,-2.23,11.95,1011.95,-0.87
2023-02-23 02:55:00,-4.7,7.25,1007.25,-1.33
2023-02-24 17:25:00,7.75,15.0,1015.0,-0.57
2023-02-27 00:00:00,-3.66,11.34,1011.34,-0.93
2023-02-28 19:00:00,-3.19,8.15,1008.15,-1.24
2023-03-06 16:10:00,-1.62,6.53,1006.53,-1.4
2023-03-06 17:00:00,2.01,8.54,1008.54,-1.21
2023-03-07 01:05:00,1.54,10.08,1010.08,-1.06
2023-03-07 19:20:00,-3.32,6.76,1006.76,-1.38
2023-03-10 20:45:00,12.92,19.68,1019.68,-0.11
2023-03-13 19:25:00,11.93,31.61,1031.61,0.0
2023-03-21 16:00:00,2.64,34.25,1034.25,0.0
2023-03-22 00:05:00,-3.09,31.16,1031.16,-0.3
2023-03-22 17:55:00,-4.06,27.1,1027.1,-0.69
2023-03-23 05:05:00,-0.51,26.59,1026.59,-0.74
2023-03-29 16:15:00,-3.1,23.49,1023.49,-1.04
2023-03-31 16:50:00,1.11,24.6,1024.6,-0.93
2023-04-05 16:55:00,-3.4,21.2,1021.2,-1.26
2023-04-05 17:00:00,-3.0,18.2,1018.2,-1.55
2023-04-05 17:35:00,-5.47,12.73,1012.73,-2.08
2023-04-06 00:00:00,-3.81,8.92,1008.92,-2.45
2023-04-10 01:10:00,0.53,9.45,1009.45,-2.4
2023-04-19 23:45:00,2.48,11.93,1011.93,-2.16
2023-04-21 18:30:00,5.87,17.8,1017.8,-1.59
2023-04-25 15:45:00,-1.54,16.26,1016.26,-1.74
2023-04-25 16:55:00,3.24,19.5,1019.5,-1.43
2023-04-25 20:40:00,6.22,25.72,1025.72,-0.82
2023-04-26 18:10:00,-2.24,23.48,1023.48,-1.04
2023-04-26 21:55:00,3.12,26.6,1026.6,-0.74
2023-05-03 22:25:00,5.57,32.17,1032.17,-0.2
2023-05-11 01:05:00,-4.25,27.92,1027.92,-0.61
2023-05-11 22:05:00,-3.81,24.11,1024.11,-0.98
2023-05-12 15:55:00,0.98,25.09,1025.09,-0.89
2023-05-12 16:35:00,-2.47,22.62,1022.62,-1.12
2023-05-12 17:30:00,5.97,28.59,1028.59,-0.55
2023-05-15 02:05:00,-2.18,26.41,1026.41,-0.76
2023-05-17 00:55:00,0.06,26.47,1026.47,-0.75
2023-05-18 15:55:00,3.35,29.82,1029.82,-0.43
2023-05-24 17:45:00,8.61,38.43,1038.43,0.0
2023-05-31 22:10:00,-2.47,35.96,1035.96,-0.24
2023-06-01 03:40:00,3.31,39.27,1039.27,0.0
2023-06-09 22:05:00,2.44,41.71,1041.71,0.0
2023-06-14 21:00:00,-5.48,36.23,1036.23,-0.53
2023-06-19 19:30:00,-3.37,32.86,1032.86,-0.85
2023-06-20 22:35:00,-0.24,32.62,1032.62,-0.87
2023-06-21 15:45:00,8.3,40.92,1040.92,-0.08
2023-06-23 20:00:00,1.76,42.68,1042.68,0.0
2023-06-26 23:05:00,1.0,43.68,1043.68,0.0
2023-06-27 16:05:00,-3.25,40.43,1040.43,-0.31
2023-06-27 17:10:00,4.93,45.36,1045.36,0.0
2023-06-28 16:40:00,-2.86,42.5,1042.5,-0.27
2023-06-28 17:45:00,-3.59,38.91,1038.91,-0.62
2023-06-28 21:55:00,5.7,44.61,1044.61,-0.07
2023-07-05 16:35:00,1.61,46.22,1046.22,0.0
2023-07-06 00:40:00,1.58,47.8,1047.8,0.0
2023-07-07 17:10:00,-3.59,44.21,1044.21,-0.34
2023-07-07 19:25:00,-3.8,40.41,1040.41,-0.71
2023-07-10 16:45:00,-2.66,37.75,1037.75,-0.96
2023-07-11 01:30:00,4.41,42.16,1042.16,-0.54
2023-07-17 15:10:00,1.3,43.46,1043.46,-0.41
2023-07-17 16:40:00,3.92,47.38,1047.38,-0.04
2023-07-21 15:25:00,-4.1,43.28,1043.28,-0.43
2023-07-27 05:00:00,-4.45,38.83,1038.83,-0.86
2023-07-28 01:05:00,2.51,41.34,1041.34,-0.62
2023-08-01 15:40:00,2.35,43.69,1043.69,-0.39
2023-08-02 15:15:00,-4.34,39.35,1039.35,-0.81
2023-08-02 15:30:00,-2.19,37.16,1037.16,-1.02
2023-08-02 15:50:00,-2.25,34.91,1034.91,-1.23
2023-08-02 16:05:00,-1.94,32.97,1032.97,-1.42
2023-08-02 17:40:00,5.23,38.2,1038.2,-0.92
2023-08-08 20:55:00,-3.44,34.76,1034.76,-1.24
2023-08-15 15:00:00,2.05,36.81,1036.81,-1.05
2023-08-15 15:30:00,-4.71,32.1,1032.1,-1.5
2023-08-15 23:35:00,5.05,37.15,1037.15,-1.02
2023-08-17 19:00:00,5.99,43.14,1043.14,-0.44
2023-08-29 17:35:00,-7.14,36.0,1036.0,-1.13
2023-08-30 20:45:00,8.96,44.96,1044.96,-0.27
2023-09-06 00:00:00,-3.21,41.75,1041.75,-0.58
2023-09-15 17:40:00,3.33,45.08,1045.08,-0.26
2023-09-18 16:35:00,-2.74,42.34,1042.34,-0.52
2023-09-20 21:00:00,-3.97,38.37,1038.37,-0.9
2023-09-20 22:25:00,-6.13,32.24,1032.24,-1.49
2023-09-26 16:15:00,3.56,35.8,1035.8,-1.15
2023-09-29 15:30:00,3.51,39.31,1039.31,-0.81
2023-09-29 17:45:00,-5.3,34.01,1034.01,-1.32
2023-10-11 00:05:00,4.3,38.31,1038.31,-0.91
2023-10-13 15:55:00,-2.98,35.33,1035.33,-1.19
2023-10-16 16:25:00,-2.75,32.58,1032.58,-1.45
2023-10-17 01:05:00,-4.85,27.73,1027.73,-1.92
2023-10-23 17:20:00,2.9,30.63,1030.63,-1.64
2023-10-24 01:50:00,4.34,34.97,1034.97,-1.22
2023-10-25 16:30:00,-3.42,31.55,1031.55,-1.55
2023-10-26 15:30:00,-1.84,29.71,1029.71,-1.73
2023-10-26 16:55:00,-3.85,25.86,1025.86,-2.09
2023-10-26 18:15:00,-5.14,20.72,1020.72,-2.58
2023-10-27 18:30:00,-2.84,17.88,1017.88,-2.86
2023-10-27 23:40:00,-1.95,15.93,1015.93,-3.04
2023-10-30 17:45:00,-1.94,13.99,1013.99,-3.23
2023-10-30 20:55:00,-2.53,11.46,1011.46,-3.47
2023-11-02 14:50:00,4.04,15.5,1015.5,-3.08
2023-11-02 20:15:00,-7.34,8.16,1008.16,-3.78
2023-11-03 14:30:00,3.89,12.05,1012.05,-3.41
2023-11-03 16:05:00,-10.05,2.0,1002.0,-4.37
2023-11-09 15:00:00,-1.9,0.1,1000.1,-4.55
2023-11-16 16:05:00,-3.85,-3.75,996.25,-4.92
2023-11-21 01:35:00,0.59,-3.16,996.84,-4.86
2023-11-28 17:15:00,-2.68,-5.84,994.16,-5.12
2023-11-29 01:30:00,-0.67,-6.51,993.49,-5.18
2023-12-05 20:00:00,-1.93,-8.44,991.56,-5.37
2023-12-08 15:00:00,-2.7,-11.14,988.86,-5.63
2023-12-15 17:50:00,11.36,0.22,1000.22,-4.54
2023-12-18 17:10:00,-2.0,-1.78,998.22,-4.73
2023-12-19 03:00:00,0.93,-0.85,999.15,-4.64
2023-12-19 16:30:00,3.28,2.43,1002.43,-4.33
2023-12-20 17:10:00,2.05,4.48,1004.48,-4.13
2023-12-20 18:35:00,-4.29,0.19,1000.19,-4.54
2023-12-21 16:40:00,7.98,8.17,1008.17,-3.78
2023-12-22 16:30:00,5.51,13.68,1013.68,-3.26
2023-12-26 19:15:00,2.1,15.78,1015.78,-3.06
2023-12-27 15:20:00,-3.65,12.13,1012.13,-3.4
2024-01-02 20:30:00,-3.97,8.16,1008.16,-3.78
2024-01-11 15:30:00,-2.15,6.01,1006.01,-3.99
2024-01-11 23:35:00,3.38,9.39,1009.39,-3.67
2024-01-15 01:25:00,3.7,13.09,1013.09,-3.31
2024-01-17 15:10:00,-2.12,10.97,1010.97,-3.51
2024-01-17 16:40:00,3.04,14.01,1014.01,-3.22
2024-01-18 23:35:00,-0.07,13.94,1013.94,-3.23
2024-01-24 15:25:00,-3.5,10.44,1010.44,-3.57
2024-01-24 21:55:00,5.22,15.66,1015.66,-3.07
2024-01-25 15:25:00,-2.92,12.74,1012.74,-3.35
2024-01-30 17:50:00,4.41,17.15,1017.15,-2.93
2024-02-01 06:05:00,2.2,19.35,1019.35,-2.72
2024-02-01 17:55:00,-2.49,16.86,1016.86,-2.95
2024-02-01 18:45:00,-2.65,14.21,1014.21,-3.21
2024-02-02 15:30:00,4.06,18.27,1018.27,-2.82
2024-02-07 22:05:00,1.33,19.6,1019.6,-2.69
2024-02-13 23:35:00,10.07,29.67,1029.67,-1.73
2024-02-22 18:35:00,7.39,37.06,1037.06,-1.03
2024-02-23 15:40:00,0.54,37.6,1037.6,-0.97
2024-02-23 17:20:00,2.81,40.41,1040.41,-0.71
2024-02-23 23:30:00,-1.58,38.83,1038.83,-0.86
2024-03-05 17:00:00,3.66,42.49,1042.49,-0.51
2024-03-06 02:20:00,2.25,44.74,1044.74,-0.29
2024-03-14 14:20:00,-2.11,42.63,1042.63,-0.49
2024-03-14 14:30:00,0.81,43.44,1043.44,-0.42
2024-03-14 14:40:00,-3.65,39.79,1039.79,-0.76
2024-03-15 18:45:00,0.98,40.77,1040.77,-0.67
2024-03-18 02:55:00,-0.34,40.43,1040.43,-0.7
2024-03-19 17:20:00,-1.52,38.91,1038.91,-0.85
2024-03-19 18:20:00,2.18,41.09,1041.09,-0.64
2024-03-20 02:45:00,-0.81,40.28,1040.28,-0.72
2024-03-20 20:00:00,-2.73,37.55,1037.55,-0.98
2024-03-21 18:00:00,4.96,42.51,1042.51,-0.5
2024-03-27 23:00:00,-2.46,40.05,1040.05,-0.74
2024-03-28 15:45:00,-2.66,37.39,1037.39,-0.99
2024-03-28 16:10:00,-2.27,35.12,1035.12,-1.21
2024-03-28 16:30:00,-1.51,33.61,1033.61,-1.35
2024-03-28 17:20:00,-1.71,31.9,1031.9,-1.52
2024-04-02 00:00:00,-4.37,27.53,1027.53,-1.93
2024-04-04 22:00:00,-1.59,25.94,1025.94,-2.09
2024-04-10 02:45:00,1.7,27.64,1027.64,-1.92
2024-04-11 23:35:00,1.36,29.0,1029.0,-1.79
2024-04-12 15:25:00,-4.44,24.56,1024.56,-2.22
2024-04-15 16:50:00,3.7,28.26,1028.26,-1.86
2024-04-16 20:15:00,-1.67,26.59,1026.59,-2.02
2024-04-17 19:35:00,-3.36,23.23,1023.23,-2.34
2024-04-22 19:55:00,-1.79,21.44,1021.44,-2.52
2024-04-24 14:30:00,1.31,22.75,1022.75,-2.39
2024-04-24 15:55:00,-4.04,18.71,1018.71,-2.78
2024-04-26 14:35:00,1.37,20.08,1020.08,-2.65
2024-04-26 15:55:00,3.27,23.35,1023.35,-2.33
2024-05-01 21:50:00,5.54,28.89,1028.89,-1.8
2024-05-02 15:15:00,3.32,32.21,1032.21,-1.49
2024-05-09 22:05:00,1.73,33.94,1033.94,-1.32
2024-05-14 23:45:00,-1.91,32.03,1032.03,-1.51
2024-05-15 16:50:00,-9.24,22.79,1022.79,-2.39
2024-05-16 00:05:00,8.36,31.15,1031.15,-1.59
2024-05-22 14:55:00,1.98,33.13,1033.13,-1.4
2024-05-23 16:05:00,-2.69,30.44,1030.44,-1.66
2024-05-23 16:50:00,2.49,32.93,1032.93,-1.42
2024-05-24 00:55:00,3.44,36.37,1036.37,-1.09
2024-05-27 02:25:00,-0.71,35.66,1035.66,-1.16
2024-05-31 18:25:00,-3.59,32.07,1032.07,-1.5
2024-06-03 04:15:00,1.57,33.64,1033.64,-1.35
2024-06-10 22:05:00,-1.07,32.57,1032.57,-1.45
2024-06-17 00:00:00,2.13,34.7,1034.7,-1.25
2024-06-19 14:55:00,-1.98,32.72,1032.72,-1.44
2024-06-19 15:45:00,1.0,33.72,1033.72,-1.34
2024-06-19 23:50:00,1.31,35.03,1035.03,-1.22
2024-06-21 02:55:00,3.64,38.67,1038.67,-0.87
2024-06-21 17:25:00,-2.4,36.27,1036.27,-1.1
2024-06-26 14:25:00,0.79,37.06,1037.06,-1.03
2024-06-26 14:55:00,-2.53,34.53,1034.53,-1.27
2024-06-26 16:35:00,-2.76,31.77,1031.77,-1.53
2024-06-27 15:30:00,-3.15,28.62,1028.62,-1.83
2024-06-27 18:25:00,-4.29,24.33,1024.33,-2.24
2024-07-04 17:50:00,-1.65,22.68,1022.68,-2.4
2024-07-04 18:35:00,0.8,23.48,1023.48,-2.32
2024-07-05 02:40:00,-1.24,22.24,1022.24,-2.44
2024-07-11 20:40:00,4.91,27.15,1027.15,-1.97
2024-07-22 02:15:00,-0.4,26.75,1026.75,-2.01
2024-07-23 16:35:00,5.57,32.32,1032.32,-1.48
2024-07-24 20:50:00,4.13,36.45,1036.45,-1.08
2024-07-25 19:20:00,-2.43,34.02,1034.02,-1.32
2024-07-30 16:05:00,-1.62,32.4,1032.4,-1.47
2024-07-30 16:45:00,2.01,34.41,1034.41,-1.28
2024-07-30 17:25:00,-4.94,29.47,1029.47,-1.75
2024-07-30 20:20:00,-2.57,26.9,1026.9,-1.99
2024-08-05 16:05:00,-6.02,20.88,1020.88,-2.57
2024-08-13 15:30:00,-3.86,17.02,1017.02,-2.94
2024-09-02 17:40:00,-1.41,15.61,1015.61,-3.07
2024-09-04 14:10:00,-1.38,14.23,1014.23,-3.2
2024-09-04 16:05:00,-1.73,12.5,1012.5,-3.37
2024-09-04 21:55:00,6.52,19.02,1019.02,-2.75
2024-09-06 01:15:00,-1.44,17.58,1017.58,-2.88
2024-09-06 15:30:00,-3.34,14.24,1014.24,-3.2
2024-09-09 23:40:00,-4.77,9.47,1009.47,-3.66
2024-09-10 15:35:00,-2.05,7.42,1007.42,-3.85
2024-09-11 01:05:00,2.58,10.0,1010.0,-3.61
2024-09-16 17:50:00,3.01,13.01,1013.01,-3.32
2024-09-19 05:10:00,-8.99,4.02,1004.02,-4.18
2024-09-26 18:10:00,-3.32,0.7,1000.7,-4.5
2024-09-26 19:55:00,-2.73,-2.03,997.97,-4.76
2024-09-27 15:30:00,5.09,3.06,1003.06,-4.27
2024-09-30 00:45:00,2.76,5.82,1005.82,-4.01
2024-09-30 15:40:00,4.75,10.57,1010.57,-3.55
2024-10-01 05:55:00,0.47,11.04,1011.04,-3.51
2024-10-02 00:55:00,0.8,11.84,1011.84,-3.43
2024-10-03 23:40:00,-4.3,7.54,1007.54,-3.84
2024-10-08 15:20:00,1.71,9.25,1009.25,-3.68
2024-10-08 18:55:00,-4.33,4.92,1004.92,-4.09
2024-10-08 20:25:00,-1.84,3.08,1003.08,-4.27
2024-10-08 22:50:00,-1.52,1.56,1001.56,-4.41
2024-10-09 19:40:00,0.88,2.44,1002.44,-4.33
2024-10-10 16:20:00,5.32,7.76,1007.76,-3.82
2024-10-15 00:45:00,-0.83,6.93,1006.93,-3.9
2024-10-15 23:40:00,2.24,9.17,1009.17,-3.69
2024-10-21 15:30:00,-3.14,6.03,1006.03,-3.99
2024-10-22 00:15:00,2.81,8.84,1008.84,-3.72
2024-10-25 15:30:00,-2.12,6.72,1006.72,-3.92
2024-10-25 16:30:00,0.48,7.2,1007.2,-3.87
2024-10-25 18:55:00,4.26,11.46,1011.46,-3.47
2024-10-31 16:00:00,-4.5,6.96,1006.96,-3.9
2024-11-07 17:55:00,5.9,12.86,1012.86,-3.33
2024-11-14 00:05:00,7.79,20.65,1020.65,-2.59
2024-11-15 16:40:00,2.98,23.63,1023.63,-2.31
2024-11-15 17:50:00,-6.66,16.97,1016.97,-2.94
2024-11-18 17:00:00,5.33,22.3,1022.3,-2.43
2024-11-25 00:00:00,4.36,26.66,1026.66,-2.02
2024-11-25 18:25:00,-3.29,23.37,1023.37,-2.33
