symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
GBPAUD,2023Q1,43,20,46.51,0.272,1.52,False
GBPAUD,2023Q2,36,20,55.56,0.467,2.19,True
GBPAUD,2023Q3,32,15,46.88,0.283,1.53,False
GBPAUD,2023Q4,35,13,37.14,0.015,1.02,False
GBPAUD,2024Q1,38,20,52.63,0.348,1.78,True
GBPAUD,2024Q2,38,19,50.0,0.358,1.83,True
GBPAUD,2024Q3,31,13,41.94,0.147,1.28,False
GBPAUD,2024Q4,39,20,51.28,0.42,1.91,True
GBPAUD,2025Q1,32,15,46.88,0.339,1.66,False
GBPAUD,2025Q2,33,15,45.45,0.222,1.44,False
GBPAUD,2025Q3,42,18,42.86,0.202,1.4,False
GBPAUD,2025Q4,28,17,60.71,0.801,3.27,False
GBPAUD,2026Q1,16,10,62.5,0.571,2.6,False
