symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
GBPAUD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,564,43.44,0.303,1.35,30.8,10.82
GBPAUD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,406,46.31,0.389,1.5,23.1,9.84
GBPAUD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,396,46.21,0.386,1.48,23.1,9.75
GBPAUD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,514,41.63,0.249,1.23,23.1,5.17
GBPAUD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,435,44.6,0.338,1.38,15.4,4.29
GBPAUD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,460,43.91,0.317,1.35,15.4,3.61
GBPAUD,OR,f_candle|f_ema,10,1,0.9,NY08-12,1423,42.73,0.282,1.26,15.4,2.42
GBPAUD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,713,41.23,0.237,1.25,15.4,0.93
GBPAUD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,356,44.1,0.323,1.35,7.7,-0.05
GBPAUD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,363,44.08,0.322,1.35,7.7,-0.08
GBPAUD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,650,39.54,0.186,1.15,15.4,-0.77
GBPAUD,OR,f_candle|f_ema,10,1,0.9,NY07-16,1765,43.34,0.3,1.31,7.7,-0.81
GBPAUD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1892,42.97,0.289,1.32,7.7,-1.18
GBPAUD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,388,42.27,0.268,1.25,7.7,-1.89
GBPAUD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1520,41.78,0.253,1.24,7.7,-2.38
GBPAUD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,409,41.56,0.247,1.22,7.7,-2.59
GBPAUD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1516,42.08,0.263,1.22,0.0,-5.92
GBPAUD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1620,41.23,0.237,1.21,0.0,-6.77
