entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 19:40:00,2023-01-03 19:55:00,L,1.77688,1.77829,1.77618,1.77829,2.0,tp,2.0,0.64,1.36,1.36
2023-01-03 20:05:00,2023-01-04 03:10:00,L,1.77943,1.77618,1.77618,1.78593,-1.0,sl,-4.64,0.64,-5.28,-3.92
2023-01-04 17:45:00,2023-01-04 19:25:00,S,1.75873,1.76091,1.76091,1.75436,-1.0,sl,-3.11,0.64,-3.75,-7.67
2023-01-04 20:25:00,2023-01-04 20:40:00,S,1.76034,1.76325,1.76325,1.75452,-1.0,sl,-4.15,0.64,-4.79,-12.46
2023-01-04 21:20:00,2023-01-05 00:00:00,S,1.76247,1.76632,1.76632,1.75478,-1.0,sl,-5.49,0.64,-6.13,-18.59
2023-01-05 17:40:00,2023-01-05 18:25:00,S,1.76124,1.76462,1.76462,1.75447,-1.0,sl,-4.82,0.64,-5.46,-24.05
2023-01-06 14:35:00,2023-01-06 15:05:00,S,1.76214,1.76335,1.76335,1.75972,-1.0,sl,-1.72,0.64,-2.36,-26.41
2023-01-06 15:15:00,2023-01-06 15:20:00,S,1.762,1.76371,1.76371,1.75859,-1.0,sl,-2.43,0.64,-3.07,-29.48
2023-01-09 16:40:00,2023-01-09 17:00:00,S,1.75739,1.7551,1.75854,1.7551,2.0,tp,3.27,0.64,2.63,-26.85
2023-01-09 17:05:00,2023-01-09 19:05:00,S,1.75522,1.75854,1.75854,1.74858,-1.0,sl,-4.73,0.64,-5.37,-32.22
2023-01-09 19:50:00,2023-01-09 20:35:00,S,1.75706,1.75923,1.75923,1.75271,-1.0,sl,-3.1,0.64,-3.74,-35.96
2023-01-11 14:50:00,2023-01-11 17:00:00,S,1.75924,1.76189,1.76189,1.75393,-1.0,sl,-3.79,0.64,-4.43,-40.39
2023-01-11 17:10:00,2023-01-11 17:50:00,S,1.76076,1.75799,1.76214,1.75799,2.0,tp,3.95,0.64,3.31,-37.08
2023-01-11 17:55:00,2023-01-12 01:55:00,S,1.75684,1.75966,1.76214,1.74623,-0.532,time,-4.02,0.64,-4.66,-41.74
2023-01-13 14:50:00,2023-01-13 15:00:00,S,1.75401,1.75517,1.75517,1.75169,-1.0,sl,-1.65,0.64,-2.29,-44.03
2023-01-16 19:10:00,2023-01-16 22:55:00,S,1.75401,1.75488,1.75488,1.75227,-1.0,sl,-1.24,0.64,-1.88,-45.91
2023-01-19 17:25:00,2023-01-19 17:55:00,L,1.78807,1.79376,1.78522,1.79376,2.0,tp,8.12,0.64,7.48,-38.43
2023-01-20 16:35:00,2023-01-20 17:25:00,L,1.78275,1.77918,1.77918,1.78989,-1.0,sl,-5.09,0.64,-5.73,-44.16
2023-01-23 16:05:00,2023-01-23 16:10:00,S,1.76952,1.77042,1.77042,1.76772,-1.0,sl,-1.28,0.64,-1.92,-46.08
2023-01-23 16:35:00,2023-01-23 16:45:00,S,1.77059,1.76787,1.77195,1.76787,2.0,tp,3.89,0.64,3.25,-42.83
2023-01-23 16:50:00,2023-01-23 17:55:00,S,1.76827,1.76086,1.77198,1.76086,2.0,tp,10.57,0.64,9.93,-32.9
2023-01-25 15:00:00,2023-01-25 15:40:00,S,1.7407,1.74283,1.74283,1.73644,-1.0,sl,-3.04,0.64,-3.68,-36.58
2023-01-25 15:50:00,2023-01-25 15:55:00,S,1.74233,1.74326,1.74326,1.74046,-1.0,sl,-1.33,0.64,-1.97,-38.55
2023-01-25 16:30:00,2023-01-25 16:45:00,S,1.74156,1.74403,1.74403,1.73662,-1.0,sl,-3.52,0.64,-4.16,-42.71
2023-01-25 18:05:00,2023-01-26 02:05:00,S,1.746,1.74634,1.74969,1.73862,-0.092,time,-0.48,0.64,-1.12,-43.83
2023-01-26 19:05:00,2023-01-26 20:15:00,S,1.7428,1.74559,1.74559,1.73723,-1.0,sl,-3.97,0.64,-4.61,-48.44
2023-01-26 20:40:00,2023-01-26 21:00:00,S,1.74516,1.74576,1.74576,1.74396,-1.0,sl,-0.86,0.64,-1.5,-49.94
2023-01-27 17:05:00,2023-01-27 19:20:00,S,1.74108,1.74363,1.74363,1.73599,-1.0,sl,-3.63,0.64,-4.27,-54.21
2023-02-01 14:05:00,2023-02-01 17:00:00,S,1.74066,1.7433,1.7433,1.73539,-1.0,sl,-3.76,0.64,-4.4,-58.61
2023-02-01 17:10:00,2023-02-01 17:45:00,S,1.74344,1.74094,1.74469,1.74094,2.0,tp,3.56,0.64,2.92,-55.69
2023-02-01 17:50:00,2023-02-01 21:55:00,S,1.74172,1.73579,1.74469,1.73579,2.0,tp,8.46,0.64,7.82,-47.87
2023-02-02 18:00:00,2023-02-03 00:15:00,S,1.73069,1.72563,1.73322,1.72563,2.0,tp,7.21,0.64,6.57,-41.3
2023-02-07 18:00:00,2023-02-07 19:45:00,S,1.73687,1.73014,1.74023,1.73014,2.0,tp,9.6,0.64,8.96,-32.34
2023-02-08 14:05:00,2023-02-08 15:00:00,S,1.73368,1.73521,1.73521,1.73063,-1.0,sl,-2.18,0.64,-2.82,-35.16
2023-02-13 16:05:00,2023-02-13 17:05:00,S,1.74321,1.74453,1.74453,1.74057,-1.0,sl,-1.88,0.64,-2.52,-37.68
2023-02-16 15:05:00,2023-02-16 15:30:00,S,1.74382,1.74548,1.74548,1.7405,-1.0,sl,-2.36,0.64,-3.0,-40.68
2023-02-16 15:35:00,2023-02-16 17:00:00,S,1.74431,1.74581,1.74581,1.74131,-1.0,sl,-2.14,0.64,-2.78,-43.46
2023-02-20 22:20:00,2023-02-20 22:55:00,S,1.74174,1.74122,1.742,1.74122,2.0,tp,0.75,0.64,0.11,-43.35
2023-02-20 23:00:00,2023-02-20 23:15:00,S,1.74103,1.74201,1.74201,1.73907,-1.0,sl,-1.4,0.64,-2.04,-45.39
2023-02-21 16:50:00,2023-02-22 00:50:00,L,1.76108,1.76489,1.75638,1.77047,0.811,time,5.43,0.64,4.79,-40.6
2023-02-22 18:05:00,2023-02-22 18:30:00,L,1.77063,1.76901,1.76901,1.77387,-1.0,sl,-2.31,0.64,-2.95,-43.55
2023-02-22 19:05:00,2023-02-22 19:35:00,L,1.76977,1.76866,1.76866,1.772,-1.0,sl,-1.59,0.64,-2.23,-45.78
2023-02-22 20:00:00,2023-02-22 20:55:00,L,1.76948,1.76796,1.76796,1.77253,-1.0,sl,-2.17,0.64,-2.81,-48.59
2023-02-22 21:15:00,2023-02-23 02:55:00,L,1.77002,1.76717,1.76717,1.77572,-1.0,sl,-4.06,0.64,-4.7,-53.29
2023-02-24 14:05:00,2023-02-24 17:25:00,L,1.77209,1.77798,1.76915,1.77798,2.0,tp,8.39,0.64,7.75,-45.54
2023-02-24 19:15:00,2023-02-27 00:00:00,L,1.7747,1.77258,1.77258,1.77893,-1.0,sl,-3.02,0.64,-3.66,-49.2
2023-02-28 18:35:00,2023-02-28 19:00:00,L,1.79457,1.79278,1.79278,1.79815,-1.0,sl,-2.55,0.64,-3.19,-52.39
2023-02-28 20:10:00,2023-02-28 20:35:00,L,1.79078,1.79006,1.79006,1.79222,-1.0,sl,-1.03,0.64,-1.67,-54.06
2023-02-28 21:55:00,2023-02-28 22:55:00,L,1.78966,1.78833,1.78833,1.79231,-1.0,sl,-1.89,0.64,-2.53,-56.59
2023-03-06 16:00:00,2023-03-06 16:10:00,L,1.78363,1.78294,1.78294,1.78501,-1.0,sl,-0.98,0.64,-1.62,-58.21
2023-03-06 16:35:00,2023-03-06 17:00:00,L,1.78262,1.78448,1.78169,1.78448,2.0,tp,2.65,0.64,2.01,-56.2
2023-03-06 17:05:00,2023-03-07 01:05:00,L,1.78481,1.78634,1.78167,1.7911,0.487,time,2.18,0.64,1.54,-54.66
2023-03-07 18:30:00,2023-03-07 19:20:00,L,1.79699,1.79511,1.79511,1.80075,-1.0,sl,-2.68,0.64,-3.32,-57.98
2023-03-08 18:05:00,2023-03-09 02:05:00,L,1.7907,1.79729,1.78663,1.79883,1.621,time,9.4,0.64,8.76,-49.22
2023-03-10 16:10:00,2023-03-10 20:45:00,L,1.81938,1.82889,1.81462,1.82889,2.0,tp,13.56,0.64,12.92,-36.3
2023-03-13 16:15:00,2023-03-13 17:20:00,L,1.8176,1.8127,1.8127,1.82739,-1.0,sl,-6.98,0.64,-7.62,-43.92
2023-03-13 17:40:00,2023-03-13 19:25:00,L,1.81556,1.82437,1.81115,1.82437,2.0,tp,12.57,0.64,11.93,-31.99
2023-03-14 14:10:00,2023-03-14 14:30:00,L,1.82548,1.82323,1.82323,1.82998,-1.0,sl,-3.21,0.64,-3.85,-35.84
2023-03-14 16:05:00,2023-03-14 17:20:00,L,1.82163,1.81992,1.81992,1.82505,-1.0,sl,-2.44,0.64,-3.08,-38.92
2023-03-21 15:50:00,2023-03-21 16:00:00,L,1.83038,1.83268,1.82923,1.83268,2.0,tp,3.28,0.64,2.64,-36.28
