entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 14:10:00,2026-02-17 20:35:00,S,1.92044,1.91375,1.92379,1.91375,2.0,tp,9.55,0.64,8.91,8.91
2026-02-20 16:05:00,2026-02-20 16:10:00,S,1.91229,1.91352,1.91352,1.90984,-1.0,sl,-1.75,0.64,-2.39,6.52
2026-02-20 16:30:00,2026-02-20 16:40:00,S,1.91261,1.90962,1.91411,1.90962,2.0,tp,4.27,0.64,3.63,10.15
2026-02-25 14:05:00,2026-02-25 17:45:00,S,1.90685,1.90406,1.90824,1.90406,2.0,tp,3.97,0.64,3.33,13.48
2026-02-26 14:15:00,2026-02-26 14:55:00,S,1.90192,1.90303,1.90303,1.8997,-1.0,sl,-1.58,0.64,-2.22,11.26
2026-02-26 17:30:00,2026-02-26 17:40:00,S,1.90914,1.90588,1.91077,1.90588,2.0,tp,4.65,0.64,4.01,15.27
2026-02-26 17:45:00,2026-02-26 20:35:00,S,1.9063,1.89732,1.91079,1.89732,2.0,tp,12.81,0.64,12.17,27.44
2026-02-27 23:00:00,2026-03-02 00:00:00,S,1.89351,1.89502,1.89502,1.89049,-1.0,sl,-2.15,0.64,-2.79,24.65
2026-03-09 16:05:00,2026-03-10 00:05:00,S,1.90106,1.89831,1.90491,1.89335,0.714,time,3.92,0.64,3.28,27.93
2026-03-11 19:00:00,2026-03-11 19:35:00,S,1.8746,1.87552,1.87552,1.87277,-1.0,sl,-1.3,0.64,-1.94,25.99
2026-03-11 20:15:00,2026-03-11 23:00:00,S,1.87678,1.87457,1.87788,1.87457,2.0,tp,3.15,0.64,2.51,28.5
2026-03-17 17:45:00,2026-03-17 18:05:00,S,1.88104,1.87861,1.88226,1.87861,2.0,tp,3.47,0.64,2.83,31.33
2026-03-17 18:10:00,2026-03-18 02:10:00,S,1.87852,1.87862,1.88226,1.87104,-0.027,time,-0.14,0.64,-0.78,30.55
2026-03-23 14:05:00,2026-03-23 22:05:00,L,1.91273,1.9156,1.90104,1.9361,0.246,time,4.09,0.64,3.45,34.0
2026-03-24 18:00:00,2026-03-24 19:20:00,L,1.92127,1.92506,1.91938,1.92506,2.0,tp,5.4,0.64,4.76,38.76
2026-03-25 16:55:00,2026-03-26 00:55:00,L,1.92151,1.92332,1.91959,1.92535,0.942,time,2.58,0.64,1.94,40.7
2026-03-27 15:10:00,2026-03-27 15:35:00,L,1.92905,1.93199,1.92758,1.93199,2.0,tp,4.19,0.64,3.55,44.25
2026-03-27 19:05:00,2026-03-27 19:05:00,L,1.92906,1.92807,1.92807,1.93104,-1.0,sl,-1.41,0.64,-2.05,42.2
2026-03-27 19:10:00,2026-03-30 03:40:00,L,1.92971,1.93496,1.92709,1.93496,2.0,tp,7.48,0.64,6.84,49.04
2026-04-16 14:05:00,2026-04-16 14:30:00,S,1.8894,1.88846,1.88987,1.88846,2.0,tp,1.34,0.64,0.7,49.74
2026-04-16 14:35:00,2026-04-16 17:30:00,S,1.88845,1.88561,1.88987,1.88561,2.0,tp,4.05,0.64,3.41,53.15
2026-04-16 20:40:00,2026-04-16 21:00:00,S,1.89026,1.8896,1.89059,1.8896,2.0,tp,0.94,0.64,0.3,53.45
2026-04-17 18:35:00,2026-04-17 21:20:00,S,1.88443,1.88696,1.88696,1.87938,-1.0,sl,-3.6,0.64,-4.24,49.21
2026-04-28 16:00:00,2026-04-29 00:00:00,S,1.88299,1.88214,1.88425,1.88047,0.675,time,1.21,0.64,0.57,49.78
2026-05-06 15:25:00,2026-05-06 23:25:00,S,1.87984,1.87803,1.88192,1.87568,0.87,time,2.58,0.64,1.94,51.72
2026-05-07 17:15:00,2026-05-07 23:55:00,S,1.87861,1.88042,1.88042,1.87498,-1.0,sl,-2.59,0.64,-3.23,48.49
2026-05-12 20:00:00,2026-05-12 20:30:00,S,1.8733,1.87205,1.87393,1.87205,2.0,tp,1.78,0.64,1.14,49.63
2026-05-14 14:15:00,2026-05-14 14:55:00,S,1.86571,1.86408,1.86653,1.86408,2.0,tp,2.33,0.64,1.69,51.32
2026-05-14 15:00:00,2026-05-14 15:30:00,S,1.86478,1.86656,1.86656,1.86122,-1.0,sl,-2.54,0.64,-3.18,48.14
2026-05-14 17:15:00,2026-05-14 17:55:00,S,1.86876,1.8664,1.86994,1.8664,2.0,tp,3.36,0.64,2.72,50.86
2026-05-14 18:00:00,2026-05-14 20:45:00,S,1.86542,1.85638,1.86994,1.85638,2.0,tp,12.89,0.64,12.25,63.11
