exit_time,net_$,cum_net_$,equity_$,drawdown_%
2025-01-24 17:05:00,6.28,6.28,1006.28,0.0
2025-01-27 02:25:00,2.57,8.85,1008.85,0.0
2025-01-27 17:50:00,-3.48,5.37,1005.37,-0.34
2025-01-28 01:10:00,-4.53,0.84,1000.84,-0.79
2025-01-29 15:15:00,-2.54,-1.7,998.3,-1.05
2025-01-29 16:45:00,-4.66,-6.36,993.64,-1.51
2025-01-30 01:20:00,0.89,-5.47,994.53,-1.42
2025-01-30 15:55:00,4.28,-1.19,998.81,-1.0
2025-01-30 22:35:00,7.12,5.93,1005.93,-0.29
2025-01-31 15:25:00,-3.29,2.64,1002.64,-0.62
2025-01-31 19:05:00,-5.19,-2.55,997.45,-1.13
2025-02-03 17:20:00,-8.85,-11.4,988.6,-2.01
2025-02-03 19:55:00,-15.14,-26.54,973.46,-3.51
2025-02-06 18:20:00,-3.74,-30.28,969.72,-3.88
2025-02-06 20:00:00,-1.86,-32.14,967.86,-4.06
2025-02-07 15:30:00,-2.18,-34.32,965.68,-4.28
2025-02-07 23:35:00,8.27,-26.05,973.95,-3.46
2025-02-10 15:20:00,-2.2,-28.25,971.75,-3.68
2025-02-10 20:40:00,7.19,-21.06,978.94,-2.96
2025-02-12 15:30:00,7.54,-13.52,986.48,-2.22
2025-02-12 23:35:00,-4.89,-18.41,981.59,-2.7
2025-02-14 22:00:00,-3.3,-21.71,978.29,-3.03
2025-02-17 15:50:00,-2.21,-23.92,976.08,-3.25
2025-02-17 18:05:00,2.31,-21.61,978.39,-3.02
2025-02-17 19:25:00,2.18,-19.43,980.57,-2.8
2025-02-18 15:30:00,-2.06,-21.49,978.51,-3.01
2025-02-18 20:30:00,-3.63,-25.12,974.88,-3.37
2025-02-20 01:30:00,2.87,-22.25,977.75,-3.08
2025-02-20 18:05:00,3.88,-18.37,981.63,-2.7
2025-02-21 03:05:00,0.76,-17.61,982.39,-2.62
2025-02-24 00:35:00,3.29,-14.32,985.68,-2.3
2025-02-24 17:35:00,-3.49,-17.81,982.19,-2.64
2025-02-24 22:25:00,4.71,-13.1,986.9,-2.18
2025-02-25 21:20:00,6.91,-6.19,993.81,-1.49
2025-02-26 17:30:00,3.16,-3.03,996.97,-1.18
2025-02-27 01:35:00,-1.78,-4.81,995.19,-1.35
2025-02-27 15:45:00,3.9,-0.91,999.09,-0.97
2025-02-27 23:50:00,-4.54,-5.45,994.55,-1.42
2025-02-28 17:50:00,-3.28,-8.73,991.27,-1.74
2025-03-03 20:10:00,8.6,-0.13,999.87,-0.89
2025-03-04 16:55:00,4.35,4.22,1004.22,-0.46
2025-03-04 18:45:00,7.98,12.2,1012.2,0.0
2025-03-04 23:10:00,-6.67,5.53,1005.53,-0.66
2025-03-05 17:35:00,6.71,12.24,1012.24,0.0
2025-03-06 01:40:00,-5.7,6.54,1006.54,-0.56
2025-03-06 17:05:00,-4.94,1.6,1001.6,-1.05
2025-03-07 18:10:00,8.64,10.24,1010.24,-0.2
2025-03-10 01:25:00,0.97,11.21,1011.21,-0.1
2025-03-10 20:10:00,-3.96,7.25,1007.25,-0.49
2025-03-11 16:00:00,5.53,12.78,1012.78,0.0
2025-03-12 00:05:00,-5.21,7.57,1007.57,-0.51
2025-03-12 20:30:00,-4.06,3.51,1003.51,-0.92
2025-03-13 19:15:00,8.47,11.98,1011.98,-0.08
2025-03-14 03:50:00,-2.09,9.89,1009.89,-0.29
2025-03-18 17:50:00,5.28,15.17,1015.17,0.0
2025-03-19 01:55:00,-0.94,14.23,1014.23,-0.09
2025-03-19 19:10:00,2.29,16.52,1016.52,0.0
2025-03-25 19:05:00,2.53,19.05,1019.05,0.0
2025-03-27 17:40:00,6.88,25.93,1025.93,0.0
2025-03-27 22:40:00,-6.28,19.65,1019.65,-0.61
2025-03-28 17:10:00,-4.69,14.96,1014.96,-1.07
2025-03-31 16:05:00,-2.89,12.07,1012.07,-1.35
2025-03-31 17:10:00,-2.95,9.12,1009.12,-1.64
2025-04-01 03:45:00,6.26,15.38,1015.38,-1.03
2025-04-02 23:25:00,7.78,23.16,1023.16,-0.27
2025-04-07 17:45:00,14.76,37.92,1037.92,0.0
2025-04-08 02:20:00,0.38,38.3,1038.3,0.0
2025-04-08 18:25:00,-4.99,33.31,1033.31,-0.48
2025-04-08 20:05:00,-7.24,26.07,1026.07,-1.18
2025-04-09 20:20:00,13.53,39.6,1039.6,0.0
2025-04-11 03:00:00,-1.01,38.59,1038.59,-0.1
2025-04-14 02:00:00,-0.39,38.2,1038.2,-0.13
2025-04-14 19:35:00,9.04,47.24,1047.24,0.0
2025-04-14 21:30:00,-4.6,42.64,1042.64,-0.44
2025-04-15 18:00:00,7.64,50.28,1050.28,0.0
2025-04-16 02:40:00,1.31,51.59,1051.59,0.0
2025-04-16 15:25:00,-2.3,49.29,1049.29,-0.22
2025-04-17 20:35:00,-6.38,42.91,1042.91,-0.83
2025-04-18 17:05:00,-3.97,38.94,1038.94,-1.2
2025-04-21 01:00:00,-5.33,33.61,1033.61,-1.71
2025-04-21 15:30:00,-3.13,30.48,1030.48,-2.01
2025-04-22 00:10:00,2.72,33.2,1033.2,-1.75
2025-04-22 17:55:00,-4.11,29.09,1029.09,-2.14
2025-04-24 16:20:00,-3.45,25.64,1025.64,-2.47
2025-04-25 00:45:00,1.51,27.15,1027.15,-2.32
2025-04-25 16:30:00,-2.98,24.17,1024.17,-2.61
2025-04-25 19:30:00,4.69,28.86,1028.86,-2.16
2025-04-25 20:05:00,-2.31,26.55,1026.55,-2.38
2025-04-28 17:20:00,3.25,29.8,1029.8,-2.07
2025-04-28 18:50:00,4.58,34.38,1034.38,-1.64
2025-04-29 03:30:00,2.23,36.61,1036.61,-1.42
