symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
GBPCAD,2023Q1,71,44,61.97,0.572,2.64,True
GBPCAD,2023Q2,82,43,52.44,0.255,1.59,True
GBPCAD,2023Q3,81,43,53.09,0.367,1.91,True
GBPCAD,2023Q4,69,38,55.07,0.364,2.0,True
GBPCAD,2024Q1,74,35,47.3,0.125,1.26,False
GBPCAD,2024Q2,79,41,51.9,0.371,1.94,True
GBPCAD,2024Q3,85,44,51.76,0.24,1.53,True
GBPCAD,2024Q4,77,42,54.55,0.404,1.97,True
GBPCAD,2025Q1,84,39,46.43,0.266,1.57,False
GBPCAD,2025Q2,78,39,50.0,0.294,1.64,True
GBPCAD,2025Q3,89,46,51.69,0.271,1.63,True
GBPCAD,2025Q4,67,36,53.73,0.45,2.17,True
GBPCAD,2026Q1,33,18,54.55,0.479,2.2,True
