symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
GBPCAD,OR,f_candle|f_ema,10,1,0.9,NY08-13,519,45.47,0.364,1.46,40.0,17.47
GBPCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,558,45.88,0.376,1.49,20.0,7.88
GBPCAD,OR,f_candle|f_ema,10,1,0.9,NY08-12,481,44.91,0.347,1.44,20.0,6.91
GBPCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,187,39.04,0.171,1.19,20.0,1.04
GBPCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,216,38.43,0.153,1.15,20.0,0.43
GBPCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,516,45.35,0.36,1.47,0.0,-2.65
GBPCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,699,44.21,0.326,1.39,0.0,-3.79
GBPCAD,OR,f_candle|f_ema,10,1,0.9,NY07-16,650,44.0,0.32,1.37,0.0,-4.0
GBPCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,151,40.4,0.212,1.23,0.0,-7.6
GBPCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,151,40.4,0.212,1.23,0.0,-7.6
GBPCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,132,39.39,0.182,1.18,0.0,-8.61
GBPCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,132,39.39,0.182,1.18,0.0,-8.61
GBPCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,135,39.26,0.178,1.17,0.0,-8.74
GBPCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,135,39.26,0.178,1.17,0.0,-8.74
GBPCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,210,38.1,0.143,1.14,0.0,-9.9
GBPCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,238,37.82,0.134,1.13,0.0,-10.18
GBPCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,118,38.98,0.169,1.16,0.0,-19.02
GBPCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,118,38.98,0.169,1.16,0.0,-19.02
