symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
GBPCAD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",969,52.43,0.573,1.79,84.6,46.73
GBPCAD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",697,52.37,0.571,1.66,76.9,42.83
GBPCAD,{'require_macd_align': True},1045,50.24,0.507,1.62,76.9,40.7
GBPCAD,"{'adx_min': 18.0, 'require_macd_align': True}",842,49.88,0.496,1.51,69.2,36.5
GBPCAD,{'require_h1_rsi_align': True},1420,47.89,0.437,1.56,46.2,22.96
GBPCAD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",1171,47.57,0.427,1.49,46.2,22.64
GBPCAD,{'add_vol_confirm': True},1708,47.13,0.414,1.52,46.2,22.21
GBPCAD,"{'adx_min': 18.0, 'add_vol_confirm': True}",1402,46.86,0.406,1.48,38.5,18.09
GBPCAD,{},1555,45.98,0.379,1.45,30.8,13.37
GBPCAD,{'adx_min': 22.0},1037,44.74,0.342,1.33,23.1,8.28
GBPCAD,{'adx_min': 18.0},1285,46.15,0.384,1.42,15.4,5.84
