entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-06 14:35:00,2023-01-06 15:00:00,S,1.61771,1.61976,1.61976,1.6136,-1.0,sl,-2.97,0.43,-3.4,-3.4
2023-01-06 15:30:00,2023-01-06 15:30:00,S,1.61919,1.62222,1.62222,1.61313,-1.0,sl,-4.39,0.43,-4.82,-8.22
2023-01-06 15:35:00,2023-01-06 17:15:00,S,1.61544,1.62268,1.62268,1.60096,-1.0,sl,-10.47,0.43,-10.9,-19.12
2023-01-11 17:45:00,2023-01-11 18:45:00,S,1.63056,1.62794,1.63187,1.62794,2.0,tp,3.79,0.43,3.36,-15.76
2023-01-13 14:10:00,2023-01-13 14:20:00,L,1.6289,1.63015,1.62828,1.63015,2.0,tp,1.8,0.43,1.37,-14.39
2023-01-13 14:25:00,2023-01-13 16:10:00,L,1.63035,1.63448,1.62829,1.63448,2.0,tp,5.98,0.43,5.55,-8.84
2023-01-19 16:25:00,2023-01-19 16:30:00,L,1.66338,1.66233,1.66233,1.66549,-1.0,sl,-1.52,0.43,-1.95,-10.79
2023-01-19 16:35:00,2023-01-19 17:50:00,L,1.66323,1.66618,1.66176,1.66618,2.0,tp,4.26,0.43,3.83,-6.96
2023-01-26 14:20:00,2023-01-26 15:00:00,L,1.65725,1.65652,1.65652,1.6587,-1.0,sl,-1.05,0.43,-1.48,-8.44
2023-02-03 15:25:00,2023-02-03 15:30:00,S,1.63591,1.63055,1.63859,1.63055,2.0,tp,7.75,0.43,7.32,-1.12
2023-02-06 15:05:00,2023-02-06 16:20:00,S,1.61913,1.62043,1.62043,1.61652,-1.0,sl,-1.89,0.43,-2.32,-3.44
2023-02-06 16:55:00,2023-02-06 17:45:00,S,1.62028,1.61735,1.62174,1.61735,2.0,tp,4.24,0.43,3.81,0.37
2023-02-07 16:55:00,2023-02-07 17:15:00,S,1.61062,1.61268,1.61268,1.6065,-1.0,sl,-2.98,0.43,-3.41,-3.04
2023-02-07 18:05:00,2023-02-07 19:45:00,S,1.61398,1.61622,1.61622,1.6095,-1.0,sl,-3.24,0.43,-3.67,-6.71
2023-02-07 20:20:00,2023-02-08 04:20:00,S,1.61453,1.61412,1.61907,1.60545,0.09,time,0.59,0.43,0.16,-6.55
2023-02-13 16:00:00,2023-02-13 16:45:00,S,1.61452,1.6167,1.6167,1.61017,-1.0,sl,-3.15,0.43,-3.58,-10.13
2023-02-22 18:40:00,2023-02-22 19:00:00,L,1.63358,1.63301,1.63301,1.63473,-1.0,sl,-0.83,0.43,-1.26,-11.39
2023-02-22 19:45:00,2023-02-22 20:05:00,L,1.63307,1.63417,1.63252,1.63417,2.0,tp,1.6,0.43,1.17,-10.22
2023-02-22 20:10:00,2023-02-22 20:40:00,L,1.63394,1.63252,1.63252,1.63678,-1.0,sl,-2.05,0.43,-2.48,-12.7
2023-02-23 15:05:00,2023-02-23 15:20:00,S,1.62927,1.6304,1.6304,1.627,-1.0,sl,-1.64,0.43,-2.07,-14.77
2023-02-23 15:45:00,2023-02-23 23:45:00,S,1.62942,1.62784,1.63249,1.62327,0.514,time,2.29,0.43,1.86,-12.91
2023-02-28 21:45:00,2023-02-28 22:50:00,L,1.64291,1.64157,1.64157,1.64559,-1.0,sl,-1.94,0.43,-2.37,-15.28
2023-03-14 14:20:00,2023-03-14 14:30:00,L,1.66753,1.66474,1.66474,1.67311,-1.0,sl,-4.03,0.43,-4.46,-19.74
2023-03-14 14:40:00,2023-03-14 15:35:00,L,1.66781,1.66289,1.66289,1.67765,-1.0,sl,-7.12,0.43,-7.55,-27.29
2023-03-16 15:05:00,2023-03-16 23:05:00,L,1.65817,1.66027,1.65349,1.66752,0.449,time,3.04,0.43,2.61,-24.68
2023-03-20 22:00:00,2023-03-20 23:00:00,L,1.6771,1.67601,1.67601,1.67928,-1.0,sl,-1.58,0.43,-2.01,-26.69
2023-03-21 16:05:00,2023-03-22 00:05:00,L,1.67253,1.67524,1.66913,1.67932,0.798,time,3.92,0.43,3.49,-23.2
2023-03-22 14:25:00,2023-03-22 14:50:00,L,1.68196,1.68081,1.68081,1.68425,-1.0,sl,-1.66,0.43,-2.09,-25.29
2023-03-22 15:35:00,2023-03-22 15:35:00,L,1.6802,1.67923,1.67923,1.68214,-1.0,sl,-1.41,0.43,-1.84,-27.13
2023-03-22 16:15:00,2023-03-22 19:40:00,L,1.67814,1.68253,1.67595,1.68253,2.0,tp,6.35,0.43,5.92,-21.21
2023-03-23 15:15:00,2023-03-23 16:35:00,L,1.68021,1.67701,1.67701,1.68661,-1.0,sl,-4.63,0.43,-5.06,-26.27
2023-03-24 16:05:00,2023-03-24 17:10:00,L,1.68274,1.68582,1.6812,1.68582,2.0,tp,4.46,0.43,4.03,-22.24
2023-03-27 16:20:00,2023-03-27 16:50:00,L,1.67915,1.68165,1.6779,1.68165,2.0,tp,3.62,0.43,3.19,-19.05
2023-03-28 16:00:00,2023-03-28 16:00:00,L,1.6817,1.68032,1.68032,1.68446,-1.0,sl,-2.0,0.43,-2.43,-21.48
2023-03-28 16:15:00,2023-03-28 16:45:00,L,1.68016,1.68199,1.67924,1.68199,2.0,tp,2.65,0.43,2.22,-19.26
2023-03-28 16:50:00,2023-03-28 17:10:00,L,1.68154,1.67925,1.67925,1.68612,-1.0,sl,-3.31,0.43,-3.74,-23.0
2023-03-30 15:05:00,2023-03-30 15:25:00,L,1.67059,1.67235,1.66971,1.67235,2.0,tp,2.54,0.43,2.11,-20.89
2023-03-30 15:35:00,2023-03-30 23:35:00,L,1.67311,1.67499,1.66967,1.67999,0.546,time,2.72,0.43,2.29,-18.6
2023-04-05 14:15:00,2023-04-05 14:20:00,L,1.67886,1.67803,1.67803,1.68053,-1.0,sl,-1.21,0.43,-1.64,-20.24
2023-04-05 14:40:00,2023-04-05 15:10:00,L,1.6796,1.67758,1.67758,1.68364,-1.0,sl,-2.92,0.43,-3.35,-23.59
2023-04-05 15:25:00,2023-04-05 16:20:00,L,1.6792,1.67707,1.67707,1.68346,-1.0,sl,-3.09,0.43,-3.52,-27.11
2023-04-05 16:45:00,2023-04-05 17:20:00,L,1.67743,1.67607,1.67607,1.68015,-1.0,sl,-1.97,0.43,-2.4,-29.51
2023-04-11 17:30:00,2023-04-11 17:40:00,L,1.67599,1.67487,1.67487,1.67823,-1.0,sl,-1.62,0.43,-2.05,-31.56
2023-04-11 17:50:00,2023-04-11 18:15:00,L,1.67574,1.67468,1.67468,1.67785,-1.0,sl,-1.53,0.43,-1.96,-33.52
2023-04-17 15:05:00,2023-04-17 15:20:00,S,1.66051,1.66154,1.66154,1.65845,-1.0,sl,-1.49,0.43,-1.92,-35.44
2023-04-17 15:45:00,2023-04-17 17:50:00,S,1.66077,1.65693,1.66269,1.65693,2.0,tp,5.55,0.43,5.12,-30.32
2023-04-20 15:35:00,2023-04-20 23:35:00,L,1.67651,1.67635,1.67263,1.68427,-0.041,time,-0.23,0.43,-0.66,-30.98
2023-04-25 14:50:00,2023-04-25 14:50:00,L,1.69115,1.69059,1.69059,1.69226,-1.0,sl,-0.81,0.43,-1.24,-32.22
2023-04-25 15:35:00,2023-04-25 15:45:00,L,1.68982,1.68884,1.68884,1.69179,-1.0,sl,-1.42,0.43,-1.85,-34.07
2023-04-25 16:55:00,2023-04-25 20:50:00,L,1.68855,1.69231,1.68667,1.69231,2.0,tp,5.44,0.43,5.01,-29.06
2023-04-26 15:25:00,2023-04-26 15:30:00,L,1.69776,1.69919,1.69705,1.69919,2.0,tp,2.06,0.43,1.63,-27.43
2023-04-26 15:35:00,2023-04-26 16:20:00,L,1.69919,1.70349,1.69704,1.70349,2.0,tp,6.22,0.43,5.79,-21.64
2023-04-26 19:55:00,2023-04-26 20:00:00,L,1.69821,1.69657,1.69657,1.7015,-1.0,sl,-2.38,0.43,-2.81,-24.45
2023-04-26 20:10:00,2023-04-26 21:55:00,L,1.69775,1.70034,1.69646,1.70034,2.0,tp,3.75,0.43,3.32,-21.13
2023-04-27 14:20:00,2023-04-27 15:55:00,L,1.69916,1.69558,1.69558,1.70632,-1.0,sl,-5.18,0.43,-5.61,-26.74
