entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 17:50:00,2026-02-17 19:25:00,S,1.84762,1.84953,1.84953,1.84379,-1.0,sl,-2.77,0.43,-3.2,-3.2
2026-02-18 16:10:00,2026-02-18 19:50:00,S,1.85172,1.8492,1.85298,1.8492,2.0,tp,3.64,0.43,3.21,0.01
2026-02-19 16:15:00,2026-02-19 17:05:00,S,1.84222,1.84395,1.84395,1.83876,-1.0,sl,-2.5,0.43,-2.93,-2.92
2026-02-19 17:45:00,2026-02-20 01:45:00,S,1.8422,1.84223,1.8449,1.8368,-0.011,time,-0.04,0.43,-0.47,-3.39
2026-02-26 17:15:00,2026-02-26 17:25:00,S,1.85357,1.85107,1.85482,1.85107,2.0,tp,3.62,0.43,3.19,-0.2
2026-02-26 17:45:00,2026-02-26 18:45:00,S,1.85225,1.8472,1.85478,1.8472,2.0,tp,7.31,0.43,6.88,6.68
2026-02-27 15:05:00,2026-02-27 15:25:00,S,1.84119,1.83844,1.84257,1.83844,2.0,tp,3.98,0.43,3.55,10.23
2026-02-27 15:40:00,2026-02-27 17:55:00,S,1.83936,1.83379,1.84215,1.83379,2.0,tp,8.06,0.43,7.63,17.86
2026-03-02 15:05:00,2026-03-02 16:05:00,S,1.82974,1.83241,1.83241,1.82441,-1.0,sl,-3.86,0.43,-4.29,13.57
2026-03-02 17:25:00,2026-03-02 18:55:00,S,1.83251,1.83538,1.83538,1.82678,-1.0,sl,-4.15,0.43,-4.58,8.99
2026-03-03 15:10:00,2026-03-03 16:30:00,S,1.822,1.82403,1.82403,1.81795,-1.0,sl,-2.93,0.43,-3.36,5.63
2026-03-03 17:20:00,2026-03-03 21:40:00,S,1.82264,1.82569,1.82569,1.81654,-1.0,sl,-4.41,0.43,-4.84,0.79
2026-03-04 17:05:00,2026-03-05 01:05:00,S,1.8264,1.82309,1.83139,1.81641,0.663,time,4.79,0.43,4.36,5.15
2026-03-05 15:05:00,2026-03-05 16:00:00,S,1.82023,1.82242,1.82242,1.81585,-1.0,sl,-3.17,0.43,-3.6,1.55
2026-03-05 16:55:00,2026-03-05 17:35:00,S,1.82027,1.82304,1.82304,1.81474,-1.0,sl,-4.0,0.43,-4.43,-2.88
2026-03-06 16:00:00,2026-03-08 23:05:00,S,1.82025,1.81461,1.82548,1.80979,1.078,time,8.16,0.43,7.73,4.85
