entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 20:00:00,2023-01-04 04:00:00,L,1.63503,1.63646,1.63292,1.63926,0.677,time,2.07,0.43,1.64,1.64
2023-01-04 15:10:00,2023-01-04 18:10:00,S,1.63127,1.62607,1.63387,1.62607,2.0,tp,7.53,0.43,7.1,8.74
2023-01-04 18:40:00,2023-01-05 02:40:00,S,1.62766,1.62708,1.63082,1.62133,0.183,time,0.84,0.43,0.41,9.15
2023-01-05 16:35:00,2023-01-05 17:15:00,S,1.61246,1.61569,1.61569,1.606,-1.0,sl,-4.67,0.43,-5.1,4.05
2023-01-05 19:50:00,2023-01-05 20:50:00,S,1.61671,1.61823,1.61823,1.61368,-1.0,sl,-2.2,0.43,-2.63,1.42
2023-01-06 15:35:00,2023-01-06 17:15:00,S,1.61544,1.62268,1.62268,1.60096,-1.0,sl,-10.47,0.43,-10.9,-9.48
2023-01-10 15:10:00,2023-01-10 16:05:00,S,1.62755,1.62908,1.62908,1.62449,-1.0,sl,-2.21,0.43,-2.64,-12.12
2023-01-11 15:10:00,2023-01-11 16:00:00,S,1.62702,1.62347,1.62879,1.62347,2.0,tp,5.13,0.43,4.7,-7.42
2023-01-11 17:55:00,2023-01-12 01:05:00,S,1.62872,1.63188,1.63188,1.62241,-1.0,sl,-4.57,0.43,-5.0,-12.42
2023-01-12 16:45:00,2023-01-13 00:45:00,S,1.62767,1.63163,1.63499,1.61302,-0.541,time,-5.73,0.43,-6.16,-18.58
2023-01-13 15:05:00,2023-01-13 16:50:00,L,1.63122,1.63709,1.62829,1.63709,2.0,tp,8.49,0.43,8.06,-10.52
2023-01-13 17:05:00,2023-01-16 01:10:00,L,1.63808,1.63727,1.63225,1.64974,-0.139,time,-1.17,0.43,-1.6,-12.12
2023-01-17 16:20:00,2023-01-17 18:55:00,L,1.6443,1.64023,1.64023,1.65244,-1.0,sl,-5.89,0.43,-6.32,-18.44
2023-01-17 19:50:00,2023-01-17 22:55:00,L,1.64147,1.64423,1.64009,1.64423,2.0,tp,4.0,0.43,3.57,-14.87
2023-01-18 15:05:00,2023-01-18 19:55:00,L,1.65633,1.66364,1.65268,1.66364,2.0,tp,10.58,0.43,10.15,-4.72
2023-01-19 17:00:00,2023-01-20 01:00:00,L,1.66456,1.66831,1.66175,1.67018,1.334,time,5.43,0.43,5.0,0.28
2023-01-25 16:45:00,2023-01-25 17:00:00,L,1.64785,1.65287,1.64534,1.65287,2.0,tp,7.26,0.43,6.83,7.11
2023-01-30 16:10:00,2023-01-30 16:20:00,L,1.65146,1.65064,1.65064,1.6531,-1.0,sl,-1.19,0.43,-1.62,5.49
2023-01-30 16:35:00,2023-01-30 16:45:00,L,1.65199,1.65052,1.65052,1.65493,-1.0,sl,-2.12,0.43,-2.55,2.94
2023-01-30 16:55:00,2023-01-30 17:05:00,L,1.65219,1.65032,1.65032,1.65592,-1.0,sl,-2.7,0.43,-3.13,-0.19
2023-01-30 17:35:00,2023-01-31 01:35:00,L,1.65164,1.65322,1.64918,1.65655,0.643,time,2.29,0.43,1.86,1.67
2023-01-31 15:35:00,2023-01-31 16:50:00,S,1.65443,1.64971,1.65679,1.64971,2.0,tp,6.83,0.43,6.4,8.07
2023-01-31 17:45:00,2023-02-01 01:45:00,S,1.64495,1.6377,1.6518,1.63125,1.059,time,10.49,0.43,10.06,18.13
2023-02-02 15:05:00,2023-02-02 23:05:00,S,1.63436,1.62922,1.64047,1.62213,0.841,time,7.44,0.43,7.01,25.14
2023-02-03 15:25:00,2023-02-03 15:30:00,S,1.63591,1.63055,1.63859,1.63055,2.0,tp,7.75,0.43,7.32,32.46
2023-02-03 17:05:00,2023-02-06 01:10:00,S,1.62128,1.61509,1.62722,1.6094,1.042,time,8.96,0.43,8.53,40.99
2023-02-06 15:20:00,2023-02-06 16:20:00,S,1.61837,1.62045,1.62045,1.61422,-1.0,sl,-3.0,0.43,-3.43,37.56
2023-02-06 17:15:00,2023-02-06 17:50:00,S,1.61981,1.61595,1.62174,1.61595,2.0,tp,5.59,0.43,5.16,42.72
2023-02-06 19:10:00,2023-02-06 22:15:00,S,1.61422,1.61727,1.61727,1.60812,-1.0,sl,-4.41,0.43,-4.84,37.88
2023-02-07 15:25:00,2023-02-07 15:45:00,S,1.60804,1.61043,1.61043,1.60326,-1.0,sl,-3.46,0.43,-3.89,33.99
2023-02-07 18:25:00,2023-02-07 19:45:00,S,1.61377,1.6162,1.6162,1.60891,-1.0,sl,-3.51,0.43,-3.94,30.05
2023-02-10 15:20:00,2023-02-10 15:30:00,S,1.62574,1.62092,1.62815,1.62092,2.0,tp,6.98,0.43,6.55,36.6
2023-02-10 16:35:00,2023-02-10 19:40:00,S,1.61807,1.61024,1.62199,1.61024,2.0,tp,11.33,0.43,10.9,47.5
2023-02-15 15:35:00,2023-02-15 23:35:00,S,1.61276,1.61183,1.61693,1.60442,0.223,time,1.35,0.43,0.92,48.42
2023-02-16 15:05:00,2023-02-16 15:30:00,S,1.6126,1.60944,1.61418,1.60944,2.0,tp,4.57,0.43,4.14,52.56
2023-02-16 15:35:00,2023-02-16 15:50:00,S,1.61232,1.60863,1.61417,1.60863,2.0,tp,5.34,0.43,4.91,57.47
2023-02-16 16:00:00,2023-02-16 17:10:00,S,1.60887,1.61418,1.61418,1.59825,-1.0,sl,-7.68,0.43,-8.11,49.36
2023-02-21 15:25:00,2023-02-21 15:30:00,L,1.62935,1.63248,1.62779,1.63248,2.0,tp,4.52,0.43,4.09,53.45
2023-02-21 15:35:00,2023-02-21 23:35:00,L,1.6338,1.63944,1.62836,1.64467,1.038,time,8.16,0.43,7.73,61.18
2023-02-22 15:05:00,2023-02-22 17:45:00,L,1.63783,1.63642,1.63642,1.64065,-1.0,sl,-2.04,0.43,-2.47,58.71
2023-02-23 16:15:00,2023-02-24 00:15:00,S,1.63002,1.62734,1.63248,1.6251,1.089,time,3.88,0.43,3.45,62.16
2023-02-24 17:10:00,2023-02-24 17:20:00,S,1.62853,1.63195,1.63195,1.62169,-1.0,sl,-4.95,0.43,-5.38,56.78
2023-02-24 17:55:00,2023-02-27 02:00:00,S,1.62913,1.62495,1.63296,1.62147,1.091,time,6.05,0.43,5.62,62.4
2023-02-27 15:45:00,2023-02-27 19:55:00,L,1.62963,1.63635,1.62627,1.63635,2.0,tp,9.72,0.43,9.29,71.69
2023-02-28 15:35:00,2023-02-28 22:55:00,L,1.64533,1.64142,1.64142,1.65314,-1.0,sl,-5.65,0.43,-6.08,65.61
2023-03-02 15:30:00,2023-03-02 23:30:00,S,1.62829,1.62465,1.63101,1.62285,1.338,time,5.27,0.43,4.84,70.45
