exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 21:55:00,-4.92,-4.92,995.08,0.0
2023-01-09 17:00:00,2.75,-2.17,997.83,0.0
2023-01-10 00:00:00,-5.02,-7.19,992.81,-0.5
2023-01-12 15:25:00,-3.93,-11.12,988.88,-0.9
2023-01-12 17:05:00,-15.85,-26.97,973.03,-2.49
2023-01-12 17:20:00,-4.65,-31.62,968.38,-2.95
2023-01-12 17:30:00,-1.85,-33.47,966.53,-3.14
2023-01-13 02:20:00,3.89,-29.58,970.42,-2.75
2023-01-13 17:10:00,4.0,-25.58,974.42,-2.35
2023-01-13 18:25:00,-2.57,-28.15,971.85,-2.6
2023-01-16 02:50:00,3.18,-24.97,975.03,-2.28
2023-01-26 20:20:00,7.48,-17.49,982.51,-1.54
2023-02-01 17:45:00,5.53,-11.96,988.04,-0.98
2023-02-02 01:50:00,8.4,-3.56,996.44,-0.14
2023-02-02 22:10:00,3.77,0.21,1000.21,0.0
2023-02-06 16:20:00,-2.59,-2.38,997.62,-0.26
2023-02-06 17:30:00,4.69,2.31,1002.31,0.0
2023-02-07 20:45:00,4.91,7.22,1007.22,0.0
2023-02-08 04:55:00,-6.88,0.34,1000.34,-0.68
2023-02-17 00:00:00,5.49,5.83,1005.83,-0.14
2023-02-20 17:05:00,2.7,8.53,1008.53,0.0
2023-02-21 01:15:00,-0.13,8.4,1008.4,-0.01
2023-02-27 01:10:00,3.87,12.27,1012.27,0.0
2023-02-28 16:30:00,1.75,14.02,1014.02,0.0
2023-02-28 20:45:00,-3.72,10.3,1010.3,-0.37
2023-03-07 17:05:00,4.14,14.44,1014.44,0.0
2023-03-08 01:10:00,6.57,21.01,1021.01,0.0
2023-03-09 14:15:00,-2.04,18.97,1018.97,-0.2
2023-03-13 17:50:00,-3.09,15.88,1015.88,-0.5
2023-03-13 18:10:00,4.21,20.09,1020.09,-0.09
2023-03-13 19:50:00,-7.08,13.01,1013.01,-0.78
2023-03-14 17:50:00,8.32,21.33,1021.33,0.0
2023-03-15 16:05:00,-8.31,13.02,1013.02,-0.81
2023-03-16 15:40:00,5.56,18.58,1018.58,-0.27
2023-03-29 18:00:00,-4.07,14.51,1014.51,-0.67
2023-03-29 21:15:00,-4.35,10.16,1010.16,-1.09
2023-03-31 16:05:00,-2.32,7.84,1007.84,-1.32
2023-04-04 16:55:00,-2.3,5.54,1005.54,-1.55
2023-04-04 17:20:00,-4.8,0.74,1000.74,-2.02
2023-04-04 18:05:00,-4.23,-3.49,996.51,-2.43
2023-04-11 00:00:00,-6.73,-10.22,989.78,-3.09
2023-04-11 15:50:00,1.45,-8.77,991.23,-2.95
2023-04-11 18:25:00,5.5,-3.27,996.73,-2.41
2023-04-14 15:55:00,-4.11,-7.38,992.62,-2.81
2023-04-14 16:30:00,3.18,-4.2,995.8,-2.5
2023-04-17 00:45:00,4.35,0.15,1000.15,-2.07
2023-04-17 15:20:00,-2.38,-2.23,997.77,-2.31
2023-04-17 15:45:00,-2.76,-4.99,995.01,-2.58
2023-04-18 00:40:00,-1.58,-6.57,993.43,-2.73
2023-04-25 00:00:00,2.32,-4.25,995.75,-2.5
2023-04-25 20:05:00,-1.87,-6.12,993.88,-2.69
2023-05-03 20:00:00,-2.09,-8.21,991.79,-2.89
2023-05-03 21:00:00,-3.58,-11.79,988.21,-3.24
2023-05-04 05:05:00,1.22,-10.57,989.43,-3.12
2023-05-08 19:05:00,-1.7,-12.27,987.73,-3.29
2023-05-09 16:20:00,1.29,-10.98,989.02,-3.16
2023-05-09 17:35:00,-3.04,-14.02,985.98,-3.46
2023-05-09 19:40:00,-2.57,-16.59,983.41,-3.71
2023-05-11 00:00:00,-4.11,-20.7,979.3,-4.12
2023-05-11 23:05:00,12.38,-8.32,991.68,-2.9
2023-05-12 14:25:00,-2.66,-10.98,989.02,-3.16
2023-05-12 22:50:00,2.67,-8.31,991.69,-2.9
2023-05-15 19:35:00,2.3,-6.01,993.99,-2.68
2023-05-16 16:30:00,-1.69,-7.7,992.3,-2.84
2023-05-17 01:10:00,1.5,-6.2,993.8,-2.7
2023-05-17 17:55:00,-4.26,-10.46,989.54,-3.11
2023-05-17 18:15:00,2.42,-8.04,991.96,-2.88
2023-05-18 02:20:00,-1.63,-9.67,990.33,-3.04
2023-05-22 16:05:00,0.8,-8.87,991.13,-2.96
2023-05-23 00:20:00,0.51,-8.36,991.64,-2.91
2023-05-25 00:00:00,5.84,-2.52,997.48,-2.34
2023-05-29 18:55:00,-1.64,-4.16,995.84,-2.5
2023-06-02 16:45:00,2.05,-2.11,997.89,-2.3
2023-06-02 17:45:00,-4.74,-6.85,993.15,-2.76
2023-06-12 17:50:00,2.87,-3.98,996.02,-2.48
2023-06-13 00:00:00,-5.29,-9.27,990.73,-3.0
2023-06-14 20:00:00,-3.21,-12.48,987.52,-3.31
2023-06-15 15:15:00,-4.01,-16.49,983.51,-3.7
2023-06-19 14:35:00,-2.21,-18.7,981.3,-3.92
2023-06-19 14:55:00,-1.86,-20.56,979.44,-4.1
2023-06-19 19:35:00,-3.95,-24.51,975.49,-4.49
2023-06-27 17:00:00,7.24,-17.27,982.73,-3.78
2023-06-30 21:25:00,-4.09,-21.36,978.64,-4.18
2023-07-04 00:00:00,-3.04,-24.4,975.6,-4.48
2023-07-14 17:30:00,1.62,-22.78,977.22,-4.32
2023-07-17 00:00:00,6.03,-16.75,983.25,-3.73
2023-07-17 16:45:00,-2.18,-18.93,981.07,-3.94
2023-07-17 18:35:00,2.63,-16.3,983.7,-3.68
2023-07-18 15:30:00,4.91,-11.39,988.61,-3.2
2023-07-19 20:00:00,-5.02,-16.41,983.59,-3.7
2023-07-20 17:05:00,-2.38,-18.79,981.21,-3.93
2023-07-20 17:20:00,-1.51,-20.3,979.7,-4.08
2023-07-20 18:50:00,-4.15,-24.45,975.55,-4.48
2023-07-21 18:45:00,-1.95,-26.4,973.6,-4.67
2023-07-24 18:35:00,-1.94,-28.34,971.66,-4.86
2023-07-24 19:10:00,-1.15,-29.49,970.51,-4.98
2023-07-26 15:00:00,-1.67,-31.16,968.84,-5.14
2023-07-26 15:45:00,1.63,-29.53,970.47,-4.98
2023-07-26 16:35:00,-4.75,-34.28,965.72,-5.44
2023-08-04 02:10:00,-0.34,-34.62,965.38,-5.48
2023-08-11 18:45:00,2.88,-31.74,968.26,-5.2
2023-08-23 19:05:00,-1.9,-33.64,966.36,-5.38
2023-08-23 20:40:00,-2.63,-36.27,963.73,-5.64
2023-08-23 21:10:00,-1.41,-37.68,962.32,-5.78
2023-08-24 00:00:00,5.13,-32.55,967.45,-5.28
2023-08-28 23:20:00,-0.87,-33.42,966.58,-5.36
2023-08-29 22:45:00,-1.28,-34.7,965.3,-5.49
2023-09-05 15:10:00,-2.41,-37.11,962.89,-5.72
2023-09-05 16:20:00,-1.83,-38.94,961.06,-5.9
2023-09-05 16:45:00,1.58,-37.36,962.64,-5.75
2023-09-05 18:50:00,-3.75,-41.11,958.89,-6.11
2023-09-06 16:25:00,1.8,-39.31,960.69,-5.94
2023-09-06 20:55:00,6.6,-32.71,967.29,-5.29
2023-09-07 16:05:00,-1.28,-33.99,966.01,-5.42
2023-09-07 16:15:00,-2.02,-36.01,963.99,-5.61
2023-09-07 16:30:00,-1.76,-37.77,962.23,-5.79
2023-09-07 17:55:00,-2.37,-40.14,959.86,-6.02
2023-09-07 18:30:00,-1.72,-41.86,958.14,-6.19
2023-09-08 03:10:00,0.45,-41.41,958.59,-6.14
2023-09-08 20:05:00,3.57,-37.84,962.16,-5.79
2023-09-12 16:25:00,-2.5,-40.34,959.66,-6.04
2023-09-12 16:50:00,-2.47,-42.81,957.19,-6.28
2023-09-14 21:55:00,1.62,-41.19,958.81,-6.12
2023-09-18 15:50:00,-3.36,-44.55,955.45,-6.45
2023-09-18 16:25:00,-1.65,-46.2,953.8,-6.61
2023-09-19 00:00:00,3.35,-42.85,957.15,-6.28
2023-09-20 21:00:00,4.6,-38.25,961.75,-5.83
2023-09-22 15:25:00,3.34,-34.91,965.09,-5.51
2023-09-22 18:35:00,-6.65,-41.56,958.44,-6.16
2023-09-26 18:05:00,1.84,-39.72,960.28,-5.98
2023-09-29 16:55:00,-2.68,-42.4,957.6,-6.24
2023-09-29 17:15:00,-2.02,-44.42,955.58,-6.44
2023-10-02 16:05:00,-2.86,-47.28,952.72,-6.72
2023-10-02 17:15:00,-2.64,-49.92,950.08,-6.98
2023-10-02 20:00:00,4.2,-45.72,954.28,-6.56
2023-10-03 18:00:00,3.93,-41.79,958.21,-6.18
2023-10-09 19:10:00,1.05,-40.74,959.26,-6.08
2023-10-12 15:00:00,-2.09,-42.83,957.17,-6.28
2023-10-12 15:15:00,-0.96,-43.79,956.21,-6.38
2023-10-12 16:30:00,4.09,-39.7,960.3,-5.98
2023-10-13 00:35:00,3.33,-36.37,963.63,-5.65
2023-10-16 15:15:00,0.98,-35.39,964.61,-5.55
2023-10-16 17:50:00,-3.38,-38.77,961.23,-5.88
2023-10-16 21:55:00,-2.48,-41.25,958.75,-6.13
2023-10-18 04:15:00,4.28,-36.97,963.03,-5.71
2023-10-19 18:20:00,3.34,-33.63,966.37,-5.38
2023-10-20 15:30:00,-2.6,-36.23,963.77,-5.64
2023-10-20 16:45:00,-2.36,-38.59,961.41,-5.87
2023-10-20 16:50:00,1.61,-36.98,963.02,-5.71
2023-10-20 20:15:00,-4.21,-41.19,958.81,-6.12
2023-10-25 17:25:00,-2.86,-44.05,955.95,-6.4
2023-10-25 17:40:00,-1.27,-45.32,954.68,-6.53
2023-10-25 18:00:00,-3.64,-48.96,951.04,-6.88
2023-10-26 00:00:00,4.79,-44.17,955.83,-6.41
2023-11-06 16:50:00,-3.68,-47.85,952.15,-6.77
2023-11-06 17:10:00,-1.93,-49.78,950.22,-6.96
2023-11-10 01:50:00,3.72,-46.06,953.94,-6.6
2023-11-13 21:40:00,2.33,-43.73,956.27,-6.37
2023-11-14 23:35:00,5.04,-38.69,961.31,-5.88
2023-11-16 18:00:00,-2.63,-41.32,958.68,-6.13
2023-11-16 18:15:00,1.24,-40.08,959.92,-6.01
2023-11-17 00:00:00,6.06,-34.02,965.98,-5.42
2023-11-21 17:15:00,-2.94,-36.96,963.04,-5.71
2023-11-21 19:40:00,3.91,-33.05,966.95,-5.32
2023-11-23 16:40:00,-1.59,-34.64,965.36,-5.48
2023-11-23 22:10:00,1.94,-32.7,967.3,-5.29
2023-11-28 17:20:00,3.53,-29.17,970.83,-4.94
2023-11-30 22:25:00,-1.92,-31.09,968.91,-5.13
2023-12-01 00:20:00,3.52,-27.57,972.43,-4.79
2023-12-01 16:30:00,2.79,-24.78,975.22,-4.51
2023-12-08 15:05:00,-2.5,-27.28,972.72,-4.76
2023-12-08 17:55:00,-4.42,-31.7,968.3,-5.19
2023-12-13 02:15:00,-0.95,-32.65,967.35,-5.29
2023-12-13 16:30:00,1.76,-30.89,969.11,-5.11
2023-12-13 17:30:00,-3.82,-34.71,965.29,-5.49
2023-12-13 22:20:00,-4.6,-39.31,960.69,-5.94
2023-12-14 22:05:00,3.13,-36.18,963.82,-5.63
