symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
GBPCHF,2023Q1,37,20,54.05,0.368,1.81,True
GBPCHF,2023Q2,46,18,39.13,0.042,1.07,False
GBPCHF,2023Q3,49,18,36.73,0.048,1.08,False
GBPCHF,2023Q4,56,26,46.43,0.294,1.58,False
GBPCHF,2024Q1,42,17,40.48,0.148,1.25,False
GBPCHF,2024Q2,52,22,42.31,0.203,1.36,False
GBPCHF,2024Q3,52,35,67.31,0.851,3.91,True
GBPCHF,2024Q4,70,27,38.57,0.053,1.09,False
GBPCHF,2025Q1,56,22,39.29,0.064,1.12,False
GBPCHF,2025Q2,48,25,52.08,0.418,1.9,True
GBPCHF,2025Q3,32,15,46.88,0.389,1.84,False
GBPCHF,2025Q4,51,25,49.02,0.284,1.56,True
GBPCHF,2026Q1,30,18,60.0,0.733,3.0,True
