symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
GBPCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,543,45.67,0.37,1.44,30.8,13.06
GBPCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,422,48.1,0.443,1.56,23.1,11.64
GBPCHF,OR,f_candle|f_ema,10,1,0.9,NY08-12,1430,44.06,0.322,1.37,30.8,11.44
GBPCHF,OR,f_candle|f_ema,10,1,0.9,NY08-13,1533,44.03,0.321,1.36,30.8,11.42
GBPCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,431,47.8,0.434,1.55,23.1,11.33
GBPCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1545,44.34,0.33,1.41,23.1,7.88
GBPCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,385,48.05,0.442,1.58,15.4,7.74
GBPCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,385,48.05,0.442,1.58,15.4,7.74
GBPCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1662,44.16,0.325,1.4,23.1,7.7
GBPCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,657,43.23,0.297,1.33,23.1,6.77
GBPCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,370,45.14,0.354,1.39,15.4,4.83
GBPCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,378,44.97,0.349,1.39,15.4,4.67
GBPCHF,OR,f_candle|f_ema,10,1,0.9,NY07-16,1898,44.47,0.334,1.4,15.4,4.16
GBPCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,475,42.95,0.288,1.31,15.4,2.64
GBPCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,336,45.24,0.357,1.4,7.7,1.08
GBPCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,336,45.24,0.357,1.4,7.7,1.08
GBPCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,581,40.96,0.229,1.23,15.4,0.66
GBPCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2057,44.39,0.332,1.42,7.7,0.23
