entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 20:20:00,2023-01-03 21:55:00,L,1.12212,1.12042,1.12042,1.12552,-1.0,sl,-4.33,0.59,-4.92,-4.92
2023-01-09 16:05:00,2023-01-09 17:00:00,L,1.11893,1.12024,1.11827,1.12024,2.0,tp,3.34,0.59,2.75,-2.17
2023-01-09 18:05:00,2023-01-10 00:00:00,L,1.1196,1.11786,1.11786,1.12308,-1.0,sl,-4.43,0.59,-5.02,-7.19
2023-01-12 15:10:00,2023-01-12 15:25:00,L,1.13335,1.13197,1.13197,1.13611,-1.0,sl,-3.52,0.59,-4.11,-11.3
2023-01-12 15:35:00,2023-01-12 17:05:00,L,1.13494,1.12895,1.12895,1.14692,-1.0,sl,-15.26,0.59,-15.85,-27.15
2023-01-12 18:10:00,2023-01-13 02:20:00,L,1.13076,1.13252,1.12759,1.1371,0.555,time,4.48,0.59,3.89,-23.26
2023-01-13 15:10:00,2023-01-13 17:10:00,L,1.13171,1.13351,1.13081,1.13351,2.0,tp,4.59,0.59,4.0,-19.26
2023-01-13 18:25:00,2023-01-13 18:25:00,L,1.13105,1.13027,1.13027,1.1326,-1.0,sl,-1.98,0.59,-2.57,-21.83
2023-01-13 18:45:00,2023-01-16 02:50:00,L,1.13151,1.13299,1.13013,1.13427,1.074,time,3.77,0.59,3.18,-18.65
2023-01-20 22:50:00,2023-01-20 22:50:00,L,1.14065,1.14015,1.14015,1.14165,-1.0,sl,-1.27,0.59,-1.86,-20.51
2023-02-01 17:10:00,2023-02-01 17:50:00,S,1.12957,1.12672,1.13099,1.12672,2.0,tp,7.25,0.59,6.66,-13.85
2023-02-02 14:10:00,2023-02-02 22:10:00,S,1.11924,1.11753,1.12566,1.10641,0.267,time,4.36,0.59,3.77,-10.08
2023-02-06 14:45:00,2023-02-06 16:20:00,S,1.11609,1.11687,1.11687,1.11452,-1.0,sl,-2.0,0.59,-2.59,-12.67
2023-02-06 17:15:00,2023-02-07 01:15:00,S,1.11686,1.11572,1.1184,1.11377,0.738,time,2.9,0.59,2.31,-10.36
2023-02-07 20:20:00,2023-02-08 04:20:00,S,1.10952,1.11044,1.11187,1.10483,-0.392,time,-2.34,0.59,-2.93,-13.29
2023-02-16 18:20:00,2023-02-17 02:20:00,S,1.11074,1.11004,1.11264,1.10694,0.368,time,1.78,0.59,1.19,-12.1
2023-02-20 16:10:00,2023-02-20 17:05:00,S,1.11215,1.11086,1.1128,1.11086,2.0,tp,3.29,0.59,2.7,-9.4
2023-02-23 20:20:00,2023-02-24 00:00:00,L,1.12136,1.12037,1.12037,1.12334,-1.0,sl,-2.52,0.59,-3.11,-12.51
2023-02-28 16:25:00,2023-02-28 16:30:00,L,1.13326,1.13418,1.1328,1.13418,2.0,tp,2.34,0.59,1.75,-10.76
2023-02-28 16:35:00,2023-02-28 20:45:00,L,1.13402,1.13279,1.13279,1.13648,-1.0,sl,-3.13,0.59,-3.72,-14.48
2023-03-07 16:50:00,2023-03-07 17:05:00,S,1.12024,1.11838,1.12117,1.11838,2.0,tp,4.73,0.59,4.14,-10.34
