entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 17:50:00,2026-02-17 17:55:00,S,1.04443,1.04489,1.04489,1.04351,-1.0,sl,-1.18,0.59,-1.77,-1.77
2026-02-17 18:15:00,2026-02-17 23:55:00,S,1.0448,1.04404,1.04518,1.04404,2.0,tp,1.93,0.59,1.34,-0.43
2026-02-25 16:55:00,2026-02-25 17:45:00,L,1.04566,1.04512,1.04512,1.04674,-1.0,sl,-1.38,0.59,-1.97,-2.4
2026-02-25 17:55:00,2026-02-25 19:05:00,L,1.04578,1.04729,1.04502,1.04729,2.0,tp,3.86,0.59,3.27,0.87
2026-03-04 17:15:00,2026-03-04 17:50:00,S,1.04399,1.04253,1.04472,1.04253,2.0,tp,3.73,0.59,3.14,4.01
2026-03-05 16:05:00,2026-03-05 16:30:00,S,1.04275,1.0415,1.04337,1.0415,2.0,tp,3.17,0.59,2.58,6.59
2026-03-05 16:35:00,2026-03-05 20:40:00,S,1.04132,1.04337,1.04337,1.03721,-1.0,sl,-5.23,0.59,-5.82,0.77
2026-03-06 16:10:00,2026-03-08 23:15:00,S,1.04241,1.03937,1.04456,1.03811,1.413,time,7.75,0.59,7.16,7.93
2026-03-11 14:55:00,2026-03-11 14:55:00,L,1.0443,1.04386,1.04386,1.04518,-1.0,sl,-1.13,0.59,-1.72,6.21
2026-03-11 15:05:00,2026-03-11 23:00:00,L,1.04482,1.04377,1.04377,1.04693,-1.0,sl,-2.68,0.59,-3.27,2.94
2026-03-17 17:55:00,2026-03-17 18:05:00,L,1.04831,1.04791,1.04791,1.04911,-1.0,sl,-1.02,0.59,-1.61,1.33
2026-03-17 20:00:00,2026-03-17 22:55:00,L,1.0484,1.04764,1.04764,1.04991,-1.0,sl,-1.93,0.59,-2.52,-1.19
2026-03-18 14:40:00,2026-03-18 15:05:00,L,1.04885,1.04998,1.04828,1.04998,2.0,tp,2.88,0.59,2.29,1.1
2026-03-18 15:10:00,2026-03-18 19:35:00,L,1.05014,1.05391,1.04825,1.05391,2.0,tp,9.62,0.59,9.03,10.13
2026-03-18 22:30:00,2026-03-18 22:35:00,L,1.05192,1.05165,1.05165,1.05246,-1.0,sl,-0.69,0.59,-1.28,8.85
2026-03-19 21:25:00,2026-03-19 23:25:00,L,1.05886,1.0577,1.0577,1.06117,-1.0,sl,-2.95,0.59,-3.54,5.31
2026-03-23 17:40:00,2026-03-23 17:55:00,L,1.05445,1.0538,1.0538,1.05576,-1.0,sl,-1.67,0.59,-2.26,3.05
2026-03-23 18:00:00,2026-03-23 19:50:00,L,1.05433,1.05626,1.05337,1.05626,2.0,tp,4.91,0.59,4.32,7.37
2026-03-25 16:30:00,2026-03-25 17:00:00,L,1.05733,1.05829,1.05685,1.05829,2.0,tp,2.46,0.59,1.87,9.24
2026-03-25 17:05:00,2026-03-26 01:05:00,L,1.05842,1.05749,1.05685,1.06155,-0.594,time,-2.37,0.59,-2.96,6.28
2026-03-27 16:05:00,2026-03-27 17:10:00,L,1.05877,1.06149,1.05741,1.06149,2.0,tp,6.94,0.59,6.35,12.63
2026-03-27 20:05:00,2026-03-27 21:25:00,L,1.05853,1.05995,1.05782,1.05995,2.0,tp,3.61,0.59,3.02,15.65
2026-04-09 17:05:00,2026-04-10 01:05:00,L,1.05993,1.06163,1.05873,1.06233,1.418,time,4.33,0.59,3.74,19.39
2026-04-10 17:15:00,2026-04-10 17:20:00,L,1.05929,1.05866,1.05866,1.06056,-1.0,sl,-1.61,0.59,-2.2,17.19
2026-04-10 17:35:00,2026-04-10 17:35:00,L,1.05891,1.05854,1.05854,1.05966,-1.0,sl,-0.95,0.59,-1.54,15.65
2026-04-10 17:50:00,2026-04-13 00:00:00,L,1.05988,1.05825,1.05825,1.06315,-1.0,sl,-4.16,0.59,-4.75,10.9
2026-04-13 14:35:00,2026-04-13 17:15:00,L,1.06143,1.06046,1.06046,1.06338,-1.0,sl,-2.48,0.59,-3.07,7.83
2026-04-15 17:15:00,2026-04-15 17:55:00,L,1.05968,1.06056,1.05924,1.06056,2.0,tp,2.25,0.59,1.66,9.49
2026-04-15 18:00:00,2026-04-16 02:00:00,L,1.06035,1.06025,1.05923,1.06259,-0.089,time,-0.25,0.59,-0.84,8.65
2026-04-16 18:05:00,2026-04-17 02:05:00,L,1.06034,1.05986,1.05816,1.06469,-0.22,time,-1.22,0.59,-1.81,6.84
2026-04-23 19:25:00,2026-04-24 00:00:00,L,1.05842,1.05777,1.05777,1.05971,-1.0,sl,-1.65,0.59,-2.24,4.6
2026-04-27 16:15:00,2026-04-28 00:15:00,L,1.06254,1.06236,1.06181,1.064,-0.246,time,-0.46,0.59,-1.05,3.55
2026-04-28 14:50:00,2026-04-28 15:40:00,L,1.06484,1.06589,1.06431,1.06589,2.0,tp,2.68,0.59,2.09,5.64
2026-04-29 17:20:00,2026-04-29 18:10:00,L,1.06577,1.06535,1.06535,1.06661,-1.0,sl,-1.06,0.59,-1.65,3.99
2026-05-05 18:15:00,2026-05-05 23:55:00,L,1.06074,1.05994,1.05994,1.06234,-1.0,sl,-2.04,0.59,-2.63,1.36
2026-05-11 14:05:00,2026-05-11 17:55:00,L,1.05825,1.05989,1.05743,1.05989,2.0,tp,4.18,0.59,3.59,4.95
