entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 20:20:00,2023-01-03 21:55:00,L,1.12212,1.12042,1.12042,1.12552,-1.0,sl,-4.33,0.59,-4.92,-4.92
2023-01-09 16:05:00,2023-01-09 17:00:00,L,1.11893,1.12024,1.11827,1.12024,2.0,tp,3.34,0.59,2.75,-2.17
2023-01-09 18:05:00,2023-01-10 00:00:00,L,1.1196,1.11786,1.11786,1.12308,-1.0,sl,-4.43,0.59,-5.02,-7.19
2023-01-12 15:05:00,2023-01-12 15:25:00,L,1.13328,1.13197,1.13197,1.1359,-1.0,sl,-3.34,0.59,-3.93,-11.12
2023-01-12 15:35:00,2023-01-12 17:05:00,L,1.13494,1.12895,1.12895,1.14692,-1.0,sl,-15.26,0.59,-15.85,-26.97
2023-01-12 17:20:00,2023-01-12 17:20:00,L,1.12974,1.12815,1.12815,1.13293,-1.0,sl,-4.06,0.59,-4.65,-31.62
2023-01-12 17:30:00,2023-01-12 17:30:00,L,1.12831,1.12781,1.12781,1.1293,-1.0,sl,-1.26,0.59,-1.85,-33.47
2023-01-12 18:10:00,2023-01-13 02:20:00,L,1.13076,1.13252,1.12759,1.1371,0.555,time,4.48,0.59,3.89,-29.58
2023-01-13 15:10:00,2023-01-13 17:10:00,L,1.13171,1.13351,1.13081,1.13351,2.0,tp,4.59,0.59,4.0,-25.58
2023-01-13 18:25:00,2023-01-13 18:25:00,L,1.13105,1.13027,1.13027,1.1326,-1.0,sl,-1.98,0.59,-2.57,-28.15
2023-01-13 18:45:00,2023-01-16 02:50:00,L,1.13151,1.13299,1.13013,1.13427,1.074,time,3.77,0.59,3.18,-24.97
2023-01-26 17:05:00,2023-01-26 20:20:00,L,1.13771,1.14088,1.13613,1.14088,2.0,tp,8.07,0.59,7.48,-17.49
2023-02-01 17:05:00,2023-02-01 17:45:00,S,1.12979,1.12739,1.13099,1.12739,2.0,tp,6.12,0.59,5.53,-11.96
2023-02-01 17:50:00,2023-02-02 01:50:00,S,1.12726,1.12373,1.13101,1.11976,0.941,time,8.99,0.59,8.4,-3.56
2023-02-02 14:10:00,2023-02-02 22:10:00,S,1.11924,1.11753,1.12566,1.10641,0.267,time,4.36,0.59,3.77,0.21
2023-02-06 14:45:00,2023-02-06 16:20:00,S,1.11609,1.11687,1.11687,1.11452,-1.0,sl,-2.0,0.59,-2.59,-2.38
2023-02-06 16:55:00,2023-02-06 17:30:00,S,1.11737,1.1153,1.11841,1.1153,2.0,tp,5.28,0.59,4.69,2.31
2023-02-07 20:05:00,2023-02-07 20:45:00,S,1.11079,1.10863,1.11187,1.10863,2.0,tp,5.5,0.59,4.91,7.22
2023-02-07 20:55:00,2023-02-08 04:55:00,S,1.10869,1.11116,1.11186,1.10236,-0.78,time,-6.29,0.59,-6.88,0.34
2023-02-16 18:05:00,2023-02-17 00:00:00,S,1.11146,1.10907,1.11265,1.10907,2.0,tp,6.08,0.59,5.49,5.83
2023-02-20 16:10:00,2023-02-20 17:05:00,S,1.11215,1.11086,1.1128,1.11086,2.0,tp,3.29,0.59,2.7,8.53
2023-02-20 17:15:00,2023-02-21 01:15:00,S,1.11126,1.11108,1.11212,1.10954,0.209,time,0.46,0.59,-0.13,8.4
