exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 15:15:00,-4.24,-4.24,995.76,0.0
2023-01-03 15:35:00,-2.31,-6.55,993.45,-0.23
2023-01-03 16:35:00,-1.91,-8.46,991.54,-0.42
2023-01-03 17:15:00,-3.68,-12.14,987.86,-0.79
2023-01-03 17:50:00,1.83,-10.31,989.69,-0.61
2023-01-04 01:55:00,-2.07,-12.38,987.62,-0.82
2023-01-05 18:35:00,-2.28,-14.66,985.34,-1.05
2023-01-05 19:15:00,-2.61,-17.27,982.73,-1.31
2023-01-06 17:35:00,5.29,-11.98,988.02,-0.78
2023-01-09 15:50:00,-2.44,-14.42,985.58,-1.02
2023-01-09 16:25:00,2.0,-12.42,987.58,-0.82
2023-01-10 00:30:00,-0.63,-13.05,986.95,-0.88
2023-01-16 18:40:00,-2.87,-15.92,984.08,-1.17
2023-01-18 15:55:00,-3.56,-19.48,980.52,-1.53
2023-01-18 16:25:00,-2.76,-22.24,977.76,-1.81
2023-01-18 16:35:00,3.05,-19.19,980.81,-1.5
2023-01-19 00:40:00,-0.25,-19.44,980.56,-1.53
2023-01-31 00:25:00,-1.09,-20.53,979.47,-1.64
2023-02-03 16:10:00,-2.69,-23.22,976.78,-1.91
2023-02-03 16:30:00,-2.93,-26.15,973.85,-2.2
2023-02-03 16:45:00,1.35,-24.8,975.2,-2.06
2023-02-03 17:00:00,-2.86,-27.66,972.34,-2.35
2023-02-10 17:05:00,-2.36,-30.02,969.98,-2.59
2023-02-10 17:30:00,1.42,-28.6,971.4,-2.45
2023-02-13 01:45:00,1.94,-26.66,973.34,-2.25
2023-02-16 19:20:00,-2.42,-29.08,970.92,-2.49
2023-02-17 20:45:00,4.92,-24.16,975.84,-2.0
2023-02-28 17:45:00,-2.96,-27.12,972.88,-2.3
2023-02-28 18:40:00,-3.08,-30.2,969.8,-2.61
2023-03-07 01:05:00,0.62,-29.58,970.42,-2.54
2023-03-10 16:20:00,-5.04,-34.62,965.38,-3.05
2023-03-10 17:00:00,2.68,-31.94,968.06,-2.78
2023-03-22 01:55:00,4.9,-27.04,972.96,-2.29
2023-03-22 16:35:00,-3.0,-30.04,969.96,-2.59
2023-03-22 17:35:00,-3.12,-33.16,966.84,-2.9
