symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
GBPJPY,2023Q1,48,17,35.42,-0.029,0.95,False
GBPJPY,2023Q2,47,27,57.45,0.472,2.16,True
GBPJPY,2023Q3,30,16,53.33,0.414,2.1,True
GBPJPY,2023Q4,44,17,38.64,0.142,1.26,False
GBPJPY,2024Q1,34,20,58.82,0.335,1.81,True
GBPJPY,2024Q2,54,27,50.0,0.215,1.45,True
GBPJPY,2024Q3,46,21,45.65,0.161,1.3,False
GBPJPY,2024Q4,35,18,51.43,0.385,1.86,True
GBPJPY,2025Q1,43,25,58.14,0.536,2.34,True
GBPJPY,2025Q2,30,9,30.0,-0.118,0.81,False
GBPJPY,2025Q3,31,11,35.48,-0.132,0.8,False
GBPJPY,2025Q4,53,29,54.72,0.457,2.13,True
GBPJPY,2026Q1,20,11,55.0,0.453,2.01,False
