symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
GBPJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,435,47.13,0.414,1.46,46.2,22.2
GBPJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,461,46.64,0.399,1.43,46.2,21.71
GBPJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,575,46.61,0.398,1.46,46.2,21.69
GBPJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,391,46.8,0.404,1.44,38.5,18.03
GBPJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,525,46.48,0.394,1.45,38.5,17.71
GBPJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,413,46.25,0.387,1.41,38.5,17.48
GBPJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,705,45.82,0.374,1.45,38.5,17.05
GBPJPY,OR,f_candle|f_ema,10,1,0.9,NY07-16,1842,45.55,0.366,1.43,38.5,16.78
GBPJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,399,47.62,0.429,1.5,30.8,15.0
GBPJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,357,47.06,0.412,1.47,30.8,14.44
GBPJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,366,46.99,0.41,1.46,30.8,14.38
GBPJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,411,47.45,0.423,1.48,23.1,10.98
GBPJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,644,45.5,0.365,1.44,23.1,9.04
GBPJPY,OR,f_candle|f_ema,10,1,0.9,NY08-12,1410,44.96,0.349,1.4,23.1,8.5
GBPJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1963,44.98,0.349,1.41,15.4,4.67
GBPJPY,OR,f_candle|f_ema,10,1,0.9,NY08-13,1504,44.68,0.34,1.38,15.4,4.37
GBPJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1507,44.13,0.324,1.36,15.4,3.82
GBPJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1607,44.0,0.32,1.35,15.4,3.69
