entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 14:20:00,2023-01-03 14:30:00,S,156.526,156.6474,156.6474,156.2832,-1.0,sl,-1.52,0.5,-2.02,-2.02
2023-01-03 15:05:00,2023-01-03 15:15:00,S,156.451,156.74852,156.74852,155.85597,-1.0,sl,-3.74,0.5,-4.24,-6.26
2023-01-03 15:50:00,2023-01-03 16:35:00,S,156.775,156.88705,156.88705,156.5509,-1.0,sl,-1.41,0.5,-1.91,-8.17
2023-01-03 16:50:00,2023-01-03 17:15:00,S,156.861,157.11388,157.11388,156.35523,-1.0,sl,-3.18,0.5,-3.68,-11.85
2023-01-03 17:55:00,2023-01-04 01:55:00,S,156.974,157.099,157.33372,156.25456,-0.347,time,-1.57,0.5,-2.07,-13.92
2023-01-05 14:15:00,2023-01-05 15:10:00,L,159.299,159.65428,159.12136,159.65428,2.0,tp,4.46,0.5,3.96,-9.96
2023-01-05 18:30:00,2023-01-05 18:35:00,L,158.992,158.84989,158.84989,159.27623,-1.0,sl,-1.78,0.5,-2.28,-12.24
2023-01-05 18:45:00,2023-01-05 19:15:00,L,158.953,158.7848,158.7848,159.28941,-1.0,sl,-2.11,0.5,-2.61,-14.85
2023-01-05 20:45:00,2023-01-06 02:50:00,L,158.722,159.1729,158.49655,159.1729,2.0,tp,5.66,0.5,5.16,-9.69
2023-01-06 16:05:00,2023-01-06 17:35:00,L,159.095,159.55615,158.86442,159.55615,2.0,tp,5.79,0.5,5.29,-4.4
2023-01-09 15:25:00,2023-01-09 15:50:00,L,160.552,160.39763,160.39763,160.86074,-1.0,sl,-1.94,0.5,-2.44,-6.84
2023-01-09 16:05:00,2023-01-09 16:25:00,L,160.393,160.59202,160.29349,160.59202,2.0,tp,2.5,0.5,2.0,-4.84
2023-01-09 16:30:00,2023-01-10 00:30:00,L,160.633,160.623,160.29414,161.31072,-0.03,time,-0.13,0.5,-0.63,-5.47
2023-01-16 17:00:00,2023-01-16 18:40:00,S,156.74,156.92891,156.92891,156.36217,-1.0,sl,-2.37,0.5,-2.87,-8.34
2023-01-16 19:55:00,2023-01-17 01:00:00,S,156.9,156.60315,157.04843,156.60315,2.0,tp,3.73,0.5,3.23,-5.11
2023-01-18 16:15:00,2023-01-18 16:25:00,L,158.815,158.63514,158.63514,159.17472,-1.0,sl,-2.26,0.5,-2.76,-7.87
2023-01-18 16:30:00,2023-01-18 16:35:00,L,158.714,158.99639,158.5728,158.99639,2.0,tp,3.55,0.5,3.05,-4.82
2023-01-18 17:05:00,2023-01-19 01:05:00,L,159.144,158.909,158.57376,160.28447,-0.412,time,-2.95,0.5,-3.45,-8.27
2023-01-20 20:50:00,2023-01-23 02:00:00,L,160.623,160.42567,160.42567,161.01766,-1.0,sl,-2.48,0.5,-2.98,-11.25
2023-01-30 16:00:00,2023-01-30 16:30:00,L,161.033,161.21169,160.94366,161.21169,2.0,tp,2.24,0.5,1.74,-9.51
2023-01-30 16:35:00,2023-01-31 00:35:00,L,161.176,161.014,160.94231,161.64339,-0.693,time,-2.03,0.5,-2.53,-12.04
2023-02-03 16:05:00,2023-02-03 16:10:00,S,157.55,157.72413,157.72413,157.20174,-1.0,sl,-2.19,0.5,-2.69,-14.73
2023-02-03 16:30:00,2023-02-03 16:30:00,S,157.906,158.09964,158.09964,157.51873,-1.0,sl,-2.43,0.5,-2.93,-17.66
2023-02-07 21:55:00,2023-02-08 03:45:00,S,157.764,158.0147,158.0147,157.26261,-1.0,sl,-3.15,0.5,-3.65,-21.31
2023-02-10 17:00:00,2023-02-10 17:05:00,S,158.658,158.80584,158.80584,158.36233,-1.0,sl,-1.86,0.5,-2.36,-23.67
2023-02-10 17:40:00,2023-02-13 01:45:00,S,158.753,158.559,158.95605,158.3469,0.955,time,2.44,0.5,1.94,-21.73
2023-02-13 22:50:00,2023-02-13 22:55:00,L,160.622,160.55328,160.55328,160.75945,-1.0,sl,-0.86,0.5,-1.36,-23.09
2023-02-15 14:25:00,2023-02-15 15:30:00,L,161.067,160.84111,160.84111,161.51879,-1.0,sl,-2.84,0.5,-3.34,-26.43
2023-02-16 17:10:00,2023-02-16 19:20:00,L,160.96,160.80729,160.80729,161.26542,-1.0,sl,-1.92,0.5,-2.42,-28.85
2023-02-17 14:45:00,2023-02-17 14:50:00,L,160.905,160.99204,160.86148,160.99204,2.0,tp,1.09,0.5,0.59,-28.26
2023-02-17 14:55:00,2023-02-17 16:10:00,L,160.999,161.27351,160.86175,161.27351,2.0,tp,3.45,0.5,2.95,-25.31
2023-02-22 14:05:00,2023-02-22 15:00:00,L,162.914,162.77148,162.77148,163.19904,-1.0,sl,-1.79,0.5,-2.29,-27.6
2023-02-24 14:05:00,2023-02-24 15:30:00,L,162.315,162.06402,162.06402,162.81696,-1.0,sl,-3.15,0.5,-3.65,-31.25
2023-02-28 17:35:00,2023-02-28 17:45:00,L,165.453,165.25736,165.25736,165.84428,-1.0,sl,-2.46,0.5,-2.96,-34.21
2023-02-28 18:35:00,2023-02-28 18:40:00,L,164.973,164.78525,164.78525,165.3485,-1.0,sl,-2.36,0.5,-2.86,-37.07
2023-02-28 21:05:00,2023-02-28 21:05:00,L,164.052,163.98821,163.98821,164.17958,-1.0,sl,-0.8,0.5,-1.3,-38.37
2023-02-28 21:35:00,2023-02-28 22:55:00,L,163.973,163.86231,163.86231,164.19438,-1.0,sl,-1.39,0.5,-1.89,-40.26
2023-03-06 17:20:00,2023-03-07 01:20:00,L,163.299,163.422,162.96472,163.96755,0.368,time,1.54,0.5,1.04,-39.22
2023-03-14 18:20:00,2023-03-15 02:20:00,L,163.365,163.46,162.95844,164.17812,0.234,time,1.19,0.5,0.69,-38.53
2023-03-15 21:25:00,2023-03-16 05:25:00,S,160.795,160.28,161.54404,159.29693,0.688,time,6.47,0.5,5.97,-32.56
2023-03-21 17:55:00,2023-03-22 01:55:00,L,161.413,161.843,160.98982,162.25935,1.016,time,5.4,0.5,4.9,-27.66
2023-03-22 16:30:00,2023-03-22 16:35:00,L,162.395,162.19605,162.19605,162.7929,-1.0,sl,-2.5,0.5,-3.0,-30.66
2023-03-22 17:05:00,2023-03-22 17:35:00,L,162.264,162.05564,162.05564,162.68072,-1.0,sl,-2.62,0.5,-3.12,-33.78
2023-03-22 17:40:00,2023-03-22 18:00:00,L,162.121,162.29326,162.03487,162.29326,2.0,tp,2.16,0.5,1.66,-32.12
