entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-19 17:40:00,2026-02-19 18:05:00,S,208.723,208.37398,208.89751,208.37398,2.0,tp,4.38,0.5,3.88,3.88
2026-02-23 17:05:00,2026-02-23 19:10:00,S,208.809,208.19781,209.11459,208.19781,2.0,tp,7.68,0.5,7.18,11.06
2026-02-25 16:50:00,2026-02-25 19:15:00,L,211.611,211.91616,211.45842,211.91616,2.0,tp,3.83,0.5,3.33,14.39
2026-02-26 17:00:00,2026-02-26 17:00:00,L,211.205,211.10427,211.10427,211.40646,-1.0,sl,-1.27,0.5,-1.77,12.62
2026-03-02 19:00:00,2026-03-03 03:00:00,L,210.872,211.175,210.48838,211.63923,0.79,time,3.81,0.5,3.31,15.93
2026-03-05 19:05:00,2026-03-06 01:30:00,L,210.009,210.4872,209.7699,210.4872,2.0,tp,6.01,0.5,5.51,21.44
2026-03-11 15:10:00,2026-03-11 16:50:00,L,212.636,213.0353,212.43635,213.0353,2.0,tp,5.02,0.5,4.52,25.96
2026-03-17 15:05:00,2026-03-17 23:05:00,L,212.131,212.351,211.8624,212.6682,0.819,time,2.76,0.5,2.26,28.22
2026-03-20 18:05:00,2026-03-20 20:05:00,L,211.976,212.4279,211.75005,212.4279,2.0,tp,5.68,0.5,5.18,33.4
2026-03-23 18:15:00,2026-03-23 18:35:00,L,212.469,212.69078,212.35811,212.69078,2.0,tp,2.79,0.5,2.29,35.69
2026-03-23 18:40:00,2026-03-24 02:40:00,L,212.671,212.527,212.35897,213.29505,-0.461,time,-1.81,0.5,-2.31,33.38
2026-03-24 16:05:00,2026-03-24 16:50:00,L,212.528,212.79973,212.39214,212.79973,2.0,tp,3.41,0.5,2.91,36.29
2026-03-25 16:15:00,2026-03-25 19:30:00,L,212.794,213.11473,212.63363,213.11473,2.0,tp,4.03,0.5,3.53,39.82
2026-03-31 15:20:00,2026-03-31 16:45:00,S,211.074,210.79922,211.21139,210.79922,2.0,tp,3.45,0.5,2.95,42.77
2026-04-02 17:35:00,2026-04-02 17:35:00,L,210.66,210.85279,210.5636,210.85279,2.0,tp,2.42,0.5,1.92,44.69
2026-04-02 17:40:00,2026-04-03 01:40:00,L,210.812,210.962,210.5631,211.30981,0.603,time,1.88,0.5,1.38,46.07
2026-04-07 15:10:00,2026-04-07 16:30:00,L,211.695,211.56728,211.56728,211.95043,-1.0,sl,-1.6,0.5,-2.1,43.97
2026-04-08 16:10:00,2026-04-08 17:45:00,L,212.829,212.71135,212.71135,213.0643,-1.0,sl,-1.48,0.5,-1.98,41.99
2026-04-08 18:00:00,2026-04-08 19:10:00,L,212.863,212.65672,212.65672,213.27556,-1.0,sl,-2.59,0.5,-3.09,38.9
2026-04-15 19:45:00,2026-04-15 20:50:00,L,215.594,215.84892,215.46654,215.84892,2.0,tp,3.2,0.5,2.7,41.6
2026-04-22 16:05:00,2026-04-22 18:40:00,L,215.061,215.36468,214.90916,215.36468,2.0,tp,3.81,0.5,3.31,44.91
2026-04-23 16:25:00,2026-04-23 16:50:00,L,215.17,215.36157,215.07422,215.36157,2.0,tp,2.41,0.5,1.91,46.82
2026-04-23 17:05:00,2026-04-23 19:05:00,L,215.337,215.07243,215.07243,215.86613,-1.0,sl,-3.32,0.5,-3.82,43.0
2026-04-24 15:05:00,2026-04-24 15:05:00,L,215.159,215.08685,215.08685,215.30331,-1.0,sl,-0.91,0.5,-1.41,41.59
2026-04-24 15:25:00,2026-04-24 15:55:00,L,215.189,215.41747,215.07477,215.41747,2.0,tp,2.87,0.5,2.37,43.96
2026-04-24 16:00:00,2026-04-27 00:05:00,L,215.409,215.538,215.07323,216.08055,0.384,time,1.62,0.5,1.12,45.08
2026-05-04 16:05:00,2026-05-04 17:25:00,S,212.907,213.06306,213.06306,212.59488,-1.0,sl,-1.96,0.5,-2.46,42.62
2026-05-04 17:35:00,2026-05-04 18:25:00,S,212.972,212.69227,213.11187,212.69227,2.0,tp,3.51,0.5,3.01,45.63
2026-05-08 16:20:00,2026-05-08 16:25:00,L,213.2,213.13294,213.13294,213.33411,-1.0,sl,-0.84,0.5,-1.34,44.29
2026-05-08 16:35:00,2026-05-08 17:55:00,L,213.198,213.39816,213.09792,213.39816,2.0,tp,2.51,0.5,2.01,46.3
