entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 15:05:00,2023-01-03 15:15:00,S,156.451,156.74852,156.74852,155.85597,-1.0,sl,-3.74,0.5,-4.24,-4.24
2023-01-03 15:25:00,2023-01-03 15:35:00,S,156.668,156.81238,156.81238,156.37923,-1.0,sl,-1.81,0.5,-2.31,-6.55
2023-01-03 15:50:00,2023-01-03 16:35:00,S,156.775,156.88705,156.88705,156.5509,-1.0,sl,-1.41,0.5,-1.91,-8.46
2023-01-03 16:50:00,2023-01-03 17:15:00,S,156.861,157.11388,157.11388,156.35523,-1.0,sl,-3.18,0.5,-3.68,-12.14
2023-01-03 17:50:00,2023-01-03 17:50:00,S,157.241,157.05537,157.33381,157.05537,2.0,tp,2.33,0.5,1.83,-10.31
2023-01-03 17:55:00,2023-01-04 01:55:00,S,156.974,157.099,157.33372,156.25456,-0.347,time,-1.57,0.5,-2.07,-12.38
2023-01-05 18:30:00,2023-01-05 18:35:00,L,158.992,158.84989,158.84989,159.27623,-1.0,sl,-1.78,0.5,-2.28,-14.66
2023-01-05 18:45:00,2023-01-05 19:15:00,L,158.953,158.7848,158.7848,159.28941,-1.0,sl,-2.11,0.5,-2.61,-17.27
2023-01-06 16:05:00,2023-01-06 17:35:00,L,159.095,159.55615,158.86442,159.55615,2.0,tp,5.79,0.5,5.29,-11.98
2023-01-09 15:25:00,2023-01-09 15:50:00,L,160.552,160.39763,160.39763,160.86074,-1.0,sl,-1.94,0.5,-2.44,-14.42
2023-01-09 16:05:00,2023-01-09 16:25:00,L,160.393,160.59202,160.29349,160.59202,2.0,tp,2.5,0.5,2.0,-12.42
2023-01-09 16:30:00,2023-01-10 00:30:00,L,160.633,160.623,160.29414,161.31072,-0.03,time,-0.13,0.5,-0.63,-13.05
2023-01-16 17:00:00,2023-01-16 18:40:00,S,156.74,156.92891,156.92891,156.36217,-1.0,sl,-2.37,0.5,-2.87,-15.92
2023-01-18 15:50:00,2023-01-18 15:55:00,L,159.222,158.97846,158.97846,159.70908,-1.0,sl,-3.06,0.5,-3.56,-19.48
2023-01-18 16:15:00,2023-01-18 16:25:00,L,158.815,158.63514,158.63514,159.17472,-1.0,sl,-2.26,0.5,-2.76,-22.24
2023-01-18 16:30:00,2023-01-18 16:35:00,L,158.714,158.99639,158.5728,158.99639,2.0,tp,3.55,0.5,3.05,-19.19
2023-01-18 16:40:00,2023-01-19 00:40:00,L,159.014,159.034,158.57194,159.89812,0.045,time,0.25,0.5,-0.25,-19.44
2023-01-30 16:25:00,2023-01-31 00:25:00,L,161.114,161.067,160.94265,161.4567,-0.274,time,-0.59,0.5,-1.09,-20.53
2023-02-03 16:05:00,2023-02-03 16:10:00,S,157.55,157.72413,157.72413,157.20174,-1.0,sl,-2.19,0.5,-2.69,-23.22
2023-02-03 16:30:00,2023-02-03 16:30:00,S,157.906,158.09964,158.09964,157.51873,-1.0,sl,-2.43,0.5,-2.93,-26.15
2023-02-03 16:40:00,2023-02-03 16:45:00,S,158.133,157.98574,158.20663,157.98574,2.0,tp,1.85,0.5,1.35,-24.8
2023-02-03 16:50:00,2023-02-03 17:00:00,S,158.019,158.2065,158.2065,157.644,-1.0,sl,-2.36,0.5,-2.86,-27.66
2023-02-10 17:00:00,2023-02-10 17:05:00,S,158.658,158.80584,158.80584,158.36233,-1.0,sl,-1.86,0.5,-2.36,-30.02
2023-02-10 17:20:00,2023-02-10 17:30:00,S,158.881,158.72777,158.95762,158.72777,2.0,tp,1.92,0.5,1.42,-28.6
2023-02-10 17:40:00,2023-02-13 01:45:00,S,158.753,158.559,158.95605,158.3469,0.955,time,2.44,0.5,1.94,-26.66
2023-02-16 17:10:00,2023-02-16 19:20:00,L,160.96,160.80729,160.80729,161.26542,-1.0,sl,-1.92,0.5,-2.42,-29.08
2023-02-17 15:10:00,2023-02-17 20:45:00,L,161.077,161.50848,160.86126,161.50848,2.0,tp,5.42,0.5,4.92,-24.16
2023-02-28 17:35:00,2023-02-28 17:45:00,L,165.453,165.25736,165.25736,165.84428,-1.0,sl,-2.46,0.5,-2.96,-27.12
2023-02-28 18:05:00,2023-02-28 18:40:00,L,164.988,164.78247,164.78247,165.39906,-1.0,sl,-2.58,0.5,-3.08,-30.2
2023-03-06 17:05:00,2023-03-07 01:05:00,L,163.327,163.416,162.96536,164.05029,0.246,time,1.12,0.5,0.62,-29.58
2023-03-10 15:45:00,2023-03-10 16:20:00,L,163.691,163.32961,163.32961,164.41379,-1.0,sl,-4.54,0.5,-5.04,-34.62
2023-03-10 16:55:00,2023-03-10 17:00:00,L,162.735,162.98839,162.60831,162.98839,2.0,tp,3.18,0.5,2.68,-31.94
2023-03-21 17:55:00,2023-03-22 01:55:00,L,161.413,161.843,160.98982,162.25935,1.016,time,5.4,0.5,4.9,-27.04
2023-03-22 16:30:00,2023-03-22 16:35:00,L,162.395,162.19605,162.19605,162.7929,-1.0,sl,-2.5,0.5,-3.0,-30.04
2023-03-22 17:05:00,2023-03-22 17:35:00,L,162.264,162.05564,162.05564,162.68072,-1.0,sl,-2.62,0.5,-3.12,-33.16
2023-03-22 17:40:00,2023-03-22 18:00:00,L,162.121,162.29326,162.03487,162.29326,2.0,tp,2.16,0.5,1.66,-31.5
2023-03-22 18:05:00,2023-03-22 20:00:00,L,162.295,162.02807,162.02807,162.82886,-1.0,sl,-3.35,0.5,-3.85,-35.35
2023-03-23 15:05:00,2023-03-23 20:40:00,S,161.381,160.42004,161.86148,160.42004,2.0,tp,12.07,0.5,11.57,-23.78
2023-03-24 15:35:00,2023-03-24 16:00:00,S,159.205,159.47336,159.47336,158.66827,-1.0,sl,-3.37,0.5,-3.87,-27.65
2023-03-24 16:10:00,2023-03-24 16:30:00,S,159.486,159.6534,159.6534,159.15121,-1.0,sl,-2.1,0.5,-2.6,-30.25
2023-03-24 17:00:00,2023-03-24 18:00:00,S,159.479,159.78053,159.78053,158.87594,-1.0,sl,-3.79,0.5,-4.29,-34.54
2023-03-24 18:20:00,2023-03-24 18:40:00,S,159.679,159.91892,159.91892,159.19916,-1.0,sl,-3.01,0.5,-3.51,-38.05
2023-03-24 19:20:00,2023-03-24 21:20:00,S,159.687,159.99545,159.99545,159.0701,-1.0,sl,-3.87,0.5,-4.37,-42.42
2023-03-28 16:05:00,2023-03-28 17:10:00,L,160.951,161.41006,160.72147,161.41006,2.0,tp,5.77,0.5,5.27,-37.15
2023-03-30 15:05:00,2023-03-30 23:05:00,L,163.76,164.3,163.2282,164.82359,1.015,time,6.78,0.5,6.28,-30.87
2023-03-31 15:40:00,2023-03-31 15:55:00,L,164.612,164.89697,164.46952,164.89697,2.0,tp,3.58,0.5,3.08,-27.79
2023-03-31 16:00:00,2023-03-31 17:50:00,L,164.898,164.46786,164.46786,165.75828,-1.0,sl,-5.4,0.5,-5.9,-33.69
2023-03-31 18:00:00,2023-03-31 18:30:00,L,164.515,164.32769,164.32769,164.88961,-1.0,sl,-2.35,0.5,-2.85,-36.54
2023-04-03 18:05:00,2023-04-03 18:05:00,L,164.039,163.95191,163.95191,164.21318,-1.0,sl,-1.09,0.5,-1.59,-38.13
