exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 19:10:00,1.7,1.7,1001.7,0.0
2023-01-03 19:25:00,-4.43,-2.73,997.27,-0.44
2023-01-03 19:45:00,-2.33,-5.06,994.94,-0.67
2023-01-05 01:05:00,11.52,6.46,1006.46,0.0
2023-01-06 15:25:00,4.3,10.76,1010.76,0.0
2023-01-06 23:30:00,-4.47,6.29,1006.29,-0.44
2023-01-10 17:30:00,-7.26,-0.97,999.03,-1.16
2023-01-11 16:50:00,3.86,2.89,1002.89,-0.78
2023-01-12 00:55:00,-4.31,-1.42,998.58,-1.21
2023-01-12 16:25:00,4.56,3.14,1003.14,-0.75
2023-01-12 17:25:00,-6.96,-3.82,996.18,-1.44
2023-01-16 00:00:00,-3.95,-7.77,992.23,-1.83
2023-01-19 17:40:00,2.91,-4.86,995.14,-1.55
2023-01-19 20:25:00,6.56,1.7,1001.7,-0.9
2023-01-23 16:20:00,-2.91,-1.21,998.79,-1.18
2023-01-23 17:55:00,6.87,5.66,1005.66,-0.5
2023-02-03 01:50:00,4.53,10.19,1010.19,-0.06
2023-02-03 15:30:00,-3.3,6.89,1006.89,-0.38
2023-02-07 15:25:00,-2.37,4.52,1004.52,-0.62
2023-02-07 15:50:00,-2.09,2.43,1002.43,-0.82
2023-02-07 16:15:00,-2.13,0.3,1000.3,-1.03
2023-02-07 19:45:00,1.97,2.27,1002.27,-0.84
2023-02-10 15:30:00,-1.78,0.49,1000.49,-1.02
2023-02-10 16:15:00,-1.85,-1.36,998.64,-1.2
2023-02-10 16:40:00,1.39,0.03,1000.03,-1.06
2023-02-13 16:40:00,0.94,0.97,1000.97,-0.97
2023-02-13 17:05:00,-3.58,-2.61,997.39,-1.32
2023-02-16 17:40:00,5.05,2.44,1002.44,-0.82
2023-02-20 14:20:00,0.7,3.14,1003.14,-0.75
2023-02-20 17:50:00,-4.42,-1.28,998.72,-1.19
2023-02-22 14:25:00,-2.18,-3.46,996.54,-1.41
2023-02-22 15:20:00,2.39,-1.07,998.93,-1.17
2023-02-22 17:05:00,-5.62,-6.69,993.31,-1.73
2023-02-24 22:05:00,1.79,-4.9,995.1,-1.55
